"AnimalID","DOB","Natal","Group","NatalGroup","From","To","Duration","Age_From","Age_To","GroupCount","ImmigrationCount","Group_From","Group_To","Away_Period","GroupCount_DB_SeqMiss"
"Neuchatel",NA,"Yes","BD","No",2014-06-09,2020-12-14,2380,NA,NA,2,1,"NH",NA,32,"No"
"Newmale",NA,"No","LT","No",2017-06-22,2017-07-07,15,NA,NA,2,1,NA,NA,NA,NA
"Newton",NA,"No","LT","No",2011-07-09,2014-01-25,931,NA,NA,2,1,NA,NA,NA,NA
"Ngenakubo",2016-11-18,"Yes","AK","Yes",2016-11-18,2021-11-12,1820,0,5,1,0,NA,"BD",NA,NA
"Ngubu",2011-11-26,"Yes","AK","Yes",2011-11-26,2013-07-06,588,0,1.61,1,0,NA,NA,NA,NA
"Nil",NA,"No","KB","No",2011-11-05,2014-11-17,1108,NA,NA,2,1,NA,NA,NA,NA
"Noah",NA,"Yes","LT","Yes",2013-02-09,2018-02-20,1837,NA,NA,1,0,NA,"LTsplit",NA,NA
"Noktober",2011-10-26,"Yes","BD","Yes",2011-10-26,2016-06-11,1690,0,4.64,1,0,NA,"CR",NA,NA
"Nonnitgie",2018-11-22,"Yes","BD","Yes",2018-11-22,2022-11-17,1456,0,4,1,0,NA,NA,NA,NA
"Nuuskierig",2017-10-16,"Yes","BD","Yes",2017-10-16,2022-11-17,1858,0,5.1,1,0,NA,NA,NA,NA
"Nyoni",2012-10-22,"Yes","AK","Yes",2012-10-22,2017-05-16,1667,0,4.58,1,0,NA,"BD",NA,NA
"Nyoni",2012-10-22,"Yes","BD","No",2017-05-16,2018-11-19,552,4.58,6.09,2,1,"AK",NA,0,"No"
"Obelisk",2014-11-15,"Yes","BD","Yes",2014-11-15,2019-06-13,1671,0,4.59,1,0,NA,"CR",NA,NA
"Ogies",2011-11-02,"Yes","BD","Yes",2011-11-02,2016-06-03,1675,0,4.6,1,0,NA,"CR",NA,NA
"Okavango",NA,"No","KB","No",2015-05-04,2015-10-29,178,NA,NA,2,1,NA,NA,NA,NA
"Okuncane",NA,"Yes","AK","Yes",2011-01-18,2013-02-15,759,NA,NA,1,0,NA,"BD",NA,NA
"Okuncane",NA,"Yes","BD","No",2013-02-19,2014-09-08,566,NA,NA,2,1,"AK",NA,4,"No"
"Oliver",2009-12-01,"Yes","LT","Yes",2009-12-01,2014-06-03,1645,0,4.52,1,0,NA,NA,NA,NA
"Olona",NA,"No","KB","No",2015-04-03,2015-05-25,52,NA,NA,2,1,NA,NA,NA,NA
"Onbeskof",2012-10-19,"Yes","BD","Yes",2012-10-19,2016-03-11,1239,0,3.4,1,0,NA,NA,NA,NA
"Oom",NA,"No","BD","No",2010-12-24,2012-11-19,696,NA,NA,2,1,NA,NA,NA,NA
"Oscar",NA,"No","LT","No",2018-06-07,2019-02-06,244,NA,NA,2,1,NA,NA,NA,NA
"Ouagadougou",NA,"No","NH","No",2019-06-03,2020-11-30,546,NA,NA,2,1,NA,NA,NA,NA
"Oupa",2020-11-13,"Yes","BD","Yes",2020-11-13,2022-11-17,734,0,2.02,1,0,NA,NA,NA,NA
"Pale",NA,"Yes","BD","No",2016-12-07,2022-03-01,1910,NA,NA,2,1,"CR",NA,6,"No"
"Pik",NA,"No","BD","No",2010-11-09,2012-09-21,682,NA,NA,2,1,NA,NA,NA,NA
"Pikito",NA,"Yes","KB","Yes",2012-05-09,2014-01-28,629,NA,NA,1,0,NA,NA,NA,NA
"Pixsel",2018-12-20,"Yes","BD","Yes",2018-12-20,2022-11-17,1428,0,3.92,1,0,NA,NA,NA,NA
"Poeding",2011-11-11,"Yes","BD","Yes",2011-11-11,2016-06-11,1674,0,4.6,1,0,NA,"CR",NA,NA
"Pomelo",2017-10-19,"Yes","BD","Yes",2017-10-19,2022-11-17,1855,0,5.09,1,0,NA,NA,NA,NA
"Propriano",2014-11-19,"Yes","NH","Yes",2014-11-19,2019-06-01,1655,0,4.54,1,0,NA,"BD",NA,NA
"Propriano",2014-11-19,"Yes","BD","No",2019-07-13,2022-04-16,1008,4.66,7.43,2,1,"NH","CR",42,"No"
"Pruszkow",2015-11-23,"Yes","NH","Yes",2015-11-23,2020-11-30,1834,0,5.04,1,0,NA,"IFamily",NA,NA
"Puerto",2011-12-27,"Yes","NH","Yes",2011-12-27,2016-06-21,1638,0,4.5,1,0,NA,"5males",NA,NA
"Puntag",NA,"No","BD","No",2018-03-02,2018-07-24,144,NA,NA,2,1,NA,NA,NA,NA
"Pyeongchang",2017-10-23,"Yes","NH","Yes",2017-10-23,2020-02-24,854,0,2.34,1,0,NA,NA,NA,NA
"Quito",NA,"Yes","NH","Yes",2010-12-15,2011-11-19,339,NA,NA,1,0,NA,"LT",NA,NA
"Quito",NA,"Yes","LT","No",2011-11-19,2015-11-12,1454,NA,NA,2,1,"NH","AK",0,"No"
"Quito",NA,"Yes","AK","No",2012-05-08,2013-10-28,538,NA,NA,3,2,"LT","LT",-1283,"No"
"Quito",NA,"Yes","LT","No",2014-02-25,2015-11-12,625,NA,NA,4,3,"AK",NA,120,"No"
"Rakker",2012-11-16,"Yes","BD","Yes",2012-11-16,2018-05-08,1999,0,5.49,1,0,NA,NA,NA,NA
"Rambouillet",2018-11-09,"Yes","NH","Yes",2018-11-09,2022-11-17,1469,0,4.03,1,0,NA,NA,NA,NA
"Ratel",2015-11-30,"Yes","BD","Yes",2015-11-30,2021-04-29,1977,0,5.43,1,0,NA,"LT",NA,NA
"Reenval",2020-11-24,"Yes","BD","Yes",2020-11-24,2022-11-17,723,0,1.98,1,0,NA,NA,NA,NA
"Reno",2019-11-12,"Yes","NH","Yes",2019-11-12,2022-11-17,1101,0,3.02,1,0,NA,NA,NA,NA
"Revdanda",2017-11-16,"Yes","NH","Yes",2017-11-16,2019-01-28,438,0,1.2,1,0,NA,NA,NA,NA
"Reykjavik",2015-11-23,"Yes","NH","Yes",2015-11-23,2020-11-30,1834,0,5.04,1,0,NA,"IFamily",NA,NA
"Rheban",2012-10-27,"Yes","NH","Yes",2012-10-27,2017-12-05,1865,0,5.12,1,0,NA,"BD",NA,NA
"Rheban",2012-10-27,"Yes","BD","No",2017-12-05,2021-09-27,1392,5.12,8.94,2,1,"NH",NA,0,"No"
"Richard",2015-11-12,"Yes","LT","Yes",2015-11-12,2016-09-27,320,0,0.88,1,0,NA,NA,NA,NA
"Ridder",2018-11-14,"Yes","BD","Yes",2018-11-14,2022-11-17,1464,0,4.02,1,0,NA,NA,NA,NA
"Rio",NA,"Yes","NH","Yes",2011-12-16,2015-11-30,1445,NA,NA,1,0,NA,NA,NA,NA
"Riversdale",2020-11-16,"Yes","NH","Yes",2020-11-16,2021-02-20,96,0,0.26,1,0,NA,NA,NA,NA
"Riyadh",2014-11-04,"Yes","NH","Yes",2014-11-04,2015-12-15,406,0,1.11,1,0,NA,NA,NA,NA
"Robin",2016-10-20,"Yes","LT","Yes",2016-10-20,2021-04-17,1640,0,4.5,1,0,NA,NA,NA,NA
"Rochdale",2018-11-01,"Yes","NH","Yes",2018-11-01,2022-11-17,1477,0,4.05,1,0,NA,NA,NA,NA
"Rocky",2017-10-09,"Yes","LT","Yes",2017-10-09,2018-02-21,135,0,0.37,1,0,NA,"LTsplit",NA,NA
"Rooikat",2011-12-05,"Yes","BD","Yes",2011-12-05,2017-04-27,1970,0,5.41,1,0,NA,"CR",NA,NA
"Rupert",2014-10-18,"Yes","LT","Yes",2014-10-18,2018-02-21,1222,0,3.35,1,0,NA,"LTsplit",NA,NA
"Rusk",NA,"No","BD","No",2011-06-06,2013-12-16,924,NA,NA,2,1,NA,NA,NA,NA
"Selenge",NA,"No","KB","No",2012-08-10,2013-04-03,236,NA,NA,2,1,NA,NA,NA,NA
"Shakespeare",NA,"No","LT","No",2012-06-08,2015-02-23,990,NA,NA,2,1,NA,NA,NA,NA
"Shitface",2011-12-01,"Yes","LT","Yes",2011-12-01,2017-01-24,1881,0,5.16,1,0,NA,NA,NA,NA
"Shongololo",NA,"No","AK","No",2020-10-13,2022-11-17,765,NA,NA,2,1,NA,NA,NA,NA
"Sigaret",2018-11-09,"Yes","BD","Yes",2018-11-09,2022-11-17,1469,0,4.03,1,0,NA,NA,NA,NA
"Skollie",NA,"No","BD","No",2010-11-09,2010-12-07,28,NA,NA,2,1,NA,NA,NA,NA
"Spook",NA,"Yes","BD","Yes",2011-10-18,2016-06-16,1703,NA,NA,1,0,NA,"CR",NA,NA
"Styx",NA,"Yes","KB","Yes",2012-04-14,2014-05-12,758,NA,NA,1,0,NA,"NH",NA,NA
"Styx",NA,"Yes","NH","No",2014-05-24,2016-03-29,675,NA,NA,2,1,"KB",NA,12,"No"
"Sylinder",2020-11-24,"Yes","BD","Yes",2020-11-24,2022-11-17,723,0,1.98,1,0,NA,NA,NA,NA
"Talinn",2011-12-04,"Yes","NH","Yes",2011-12-04,2016-04-21,1600,0,4.39,1,0,NA,"Iceland",NA,NA
"Tambacounda",NA,"No","NH","No",2020-05-15,2022-11-17,916,NA,NA,2,1,NA,NA,NA,NA
"Tastyflavours",NA,"No","LT","No",2019-12-04,2021-11-23,720,NA,NA,2,1,NA,NA,NA,NA
"Teddibeer",2014-11-12,"Yes","BD","No",2019-05-25,2022-05-19,1090,4.54,7.54,2,1,"CR","LT",309,"No"
"Thames",NA,"No","KB","No",2014-11-19,2015-08-26,280,NA,NA,2,1,NA,NA,NA,NA
"Theodore",NA,"No","LT","No",2011-08-09,2012-02-09,184,NA,NA,2,1,NA,"AK",NA,NA
"Theodore",NA,"No","AK","No",2012-04-17,2013-01-18,276,NA,NA,3,2,"LT",NA,68,"No"
"Tirroan",2012-10-11,"Yes","NH","Yes",2012-10-11,2017-12-30,1906,0,5.23,1,0,NA,NA,NA,NA
"Toronto",NA,"Yes","NH","Yes",2011-12-16,2014-06-11,908,NA,NA,1,0,NA,"BD",NA,NA
"Toronto",NA,"Yes","BD","No",2014-06-16,2016-02-13,607,NA,NA,2,1,"NH",NA,5,"No"
"Toulouse",2014-10-30,"Yes","NH","Yes",2014-10-30,2016-04-14,532,0,1.46,1,0,NA,NA,NA,NA
"Tugela",NA,"Yes","KB","Yes",2012-07-03,2015-07-23,1115,NA,NA,1,0,NA,NA,NA,NA
"Tunis",NA,"Yes","NH","Yes",2011-06-25,2011-11-26,154,NA,NA,1,0,NA,NA,NA,NA
"Tweed",NA,"Yes","KB","Yes",2012-04-20,2014-05-10,750,NA,NA,1,0,NA,"NH",NA,NA
"Tweed",NA,"Yes","NH","No",2014-05-24,2019-09-06,1931,NA,NA,2,1,"KB","AK",14,"No"
"Tweed",NA,"Yes","AK","No",2020-04-02,2020-10-01,182,NA,NA,3,2,"NH",NA,209,"No"
"Tyler",NA,"No","LT","No",2017-05-22,2018-02-07,261,NA,NA,2,1,NA,NA,NA,NA
"Ububhibhi",2011-11-21,"Yes","AK","Yes",2011-11-21,2016-05-24,1646,0,4.52,1,0,NA,"BD",NA,NA
"Ububhibhi",2011-11-21,"Yes","BD","No",2016-05-28,2020-06-06,1470,4.53,8.57,2,1,"AK",NA,4,"No"
"Uji",2013-10-31,"Yes","NH","Yes",2013-10-31,2018-05-18,1660,0,4.56,1,0,NA,"Jacaranda",NA,NA
"Ulaanbaatar",2015-11-16,"Yes","NH","Yes",2015-11-16,2020-11-30,1841,0,5.05,1,0,NA,"IFamily",NA,NA
"Ulsan",2018-11-01,"Yes","NH","Yes",2018-11-01,2022-11-17,1477,0,4.05,1,0,NA,NA,NA,NA
"Ulundi",2011-12-01,"Yes","NH","Yes",2011-12-01,2016-05-14,1626,0,4.46,1,0,NA,"5males",NA,NA
"Umtata",2014-12-08,"Yes","NH","Yes",2014-12-08,2020-01-04,1853,0,5.09,1,0,NA,NA,NA,NA
"Umzali",NA,"No","AK","No",2014-06-09,2015-09-12,460,NA,NA,2,1,NA,NA,NA,NA
"Unwabo",2012-10-22,"Yes","AK","Yes",2012-10-22,2017-05-03,1654,0,4.54,1,0,NA,"BD",NA,NA
"Unwabo",2012-10-22,"Yes","BD","No",2017-05-04,2017-12-07,217,4.54,5.14,2,1,"AK",NA,1,"No"
"Uraniumcity",2017-10-09,"Yes","NH","Yes",2017-10-09,2019-02-12,491,0,1.35,1,0,NA,NA,NA,NA
"Utrecht",NA,"No","NH","No",2020-06-02,2020-10-15,135,NA,NA,2,1,NA,"NH",NA,NA
"Utrecht",NA,"No","NH","No",2020-11-26,2022-11-17,721,NA,NA,3,2,"NH",NA,42,"No"
"Uvac",NA,"No","KB","No",2012-08-01,2015-02-13,926,NA,NA,2,1,NA,"Intaka",NA,NA
"Vakie",2011-11-17,"Yes","BD","Yes",2011-11-17,2017-03-11,1941,0,5.33,1,0,NA,NA,NA,NA
"Vance",2013-12-01,"Yes","LT","Yes",2013-12-01,2015-11-05,704,0,1.93,1,0,NA,NA,NA,NA
"Vancouver",NA,"No","BD","No",2018-05-29,2019-11-29,549,NA,NA,3,2,"CR",NA,1,"No"
"Vincent",NA,"Yes","LT","Yes",2011-10-01,2016-12-22,1909,NA,NA,1,0,NA,"BD",NA,NA
"Vincent",NA,"Yes","BD","No",2017-02-13,2018-11-19,644,NA,NA,2,1,"LT",NA,53,"No"
"Vladivostok",NA,"No","NH","No",2020-05-28,2021-06-11,379,NA,NA,2,1,NA,"AK",NA,NA
"Voldemort",NA,"No","LT","No",2012-02-03,2014-06-03,851,NA,NA,2,1,NA,"AK",NA,NA
"Voldemort",NA,"No","AK","No",2014-06-09,2015-12-30,569,NA,NA,3,2,"LT",NA,6,"No"
"Vulkaan",2012-11-14,"Yes","BD","Yes",2012-11-14,2018-06-06,2030,0,5.57,1,0,NA,"NH",NA,NA
"Vulkaan",2012-11-14,"Yes","NH","No",2020-04-16,2022-11-17,945,7.44,10.03,2,1,"BD",NA,680,"No"
"Warnemünde",NA,"No","NH","No",2020-09-23,2021-12-20,453,NA,NA,2,1,NA,"BD",NA,NA
"Washingtonbabylon",NA,"No","NH","No",2019-03-18,2020-02-26,345,NA,NA,2,1,NA,NA,NA,NA
"Wesley",NA,"No","LT","No",2015-05-20,2018-02-20,1007,NA,NA,2,1,NA,NA,NA,NA
"William",NA,"No","LT","No",2011-01-19,2012-02-14,391,NA,NA,2,1,NA,NA,NA,NA
"Wolfie",NA,"Yes","BD","Yes",2010-12-01,2015-07-17,1689,NA,NA,1,0,NA,"AK",NA,NA
"Wolfie",NA,"Yes","AK","No",2015-07-20,2018-05-24,1039,NA,NA,2,1,"BD","NH",3,"No"
"Wolfie",NA,"Yes","NH","No",2018-05-29,2018-12-19,204,NA,NA,3,2,"AK",NA,5,"No"
"Wurm",2012-10-18,"Yes","BD","Yes",2012-10-18,2018-05-31,2051,0,5.63,1,0,NA,NA,NA,NA
"Xaltepec",2017-11-18,"Yes","NH","Yes",2017-11-18,2020-03-12,845,0,2.32,1,0,NA,NA,NA,NA
"Xeres",2011-11-29,"Yes","NH","Yes",2011-11-29,2016-04-07,1591,0,4.37,1,0,NA,NA,NA,NA
"Xiashan",2016-11-14,"Yes","NH","Yes",2016-11-14,2021-11-27,1839,0,5.05,1,0,NA,"BD",NA,NA
"Xinji",2017-10-20,"Yes","NH","Yes",2017-10-20,2022-07-15,1729,0,4.75,1,0,NA,"BD",NA,NA
"Xopo",2020-11-23,"Yes","NH","Yes",2020-11-23,2022-11-17,724,0,1.99,1,0,NA,NA,NA,NA
"Xoxocotla",2010-11-15,"Yes","NH","Yes",2010-11-15,2014-02-24,1197,0,3.29,1,0,NA,NA,NA,NA
"Yangtze",2014-01-27,"Yes","KB","Yes",2014-01-27,2018-05-01,1555,0,4.27,1,0,NA,"NH",NA,NA
"Yangtze",2014-01-27,"Yes","NH","No",2018-05-14,2020-01-27,623,4.3,6.02,2,1,"KB","AK",13,"No"
"Yangtze",2014-01-27,"Yes","AK","No",2020-03-04,2021-11-22,628,6.12,7.84,3,2,"NH",NA,37,"No"
"Yazoo",2018-11-14,"Yes","KB","Yes",2018-11-14,2022-11-17,1464,0,4.02,1,0,NA,NA,NA,NA
"Yonne",2020-11-12,"Yes","KB","Yes",2020-11-12,2021-01-15,64,0,0.18,1,0,NA,NA,NA,NA
"Yster",NA,"No","BD","No",2010-11-17,2011-02-12,87,NA,NA,2,1,NA,"AK",NA,NA
"Yster",NA,"No","AK","No",2011-08-17,2013-12-18,854,NA,NA,3,2,"BD",NA,186,"No"
"Yzeron",2017-11-20,"Yes","KB","Yes",2017-11-20,2018-09-18,302,0,0.83,1,0,NA,NA,NA,NA
"Zambezi",NA,"Yes","KB","Yes",2012-05-09,2015-06-22,1139,NA,NA,1,0,NA,NA,NA,NA
"Zanzibar",2013-11-25,"Yes","NH","Yes",2013-11-25,2018-05-28,1645,0,4.52,1,0,NA,NA,NA,NA
"Zeerust",NA,"Yes","NH","Yes",2011-12-16,2015-02-24,1166,NA,NA,1,0,NA,NA,NA,NA
"Zhengzhou",2012-11-02,"Yes","NH","Yes",2012-11-02,2013-08-02,273,0,0.75,1,0,NA,NA,NA,NA
"Zhukovsky",2015-11-16,"Yes","NH","Yes",2015-11-16,2016-03-08,113,0,0.31,1,0,NA,NA,NA,NA
"Zion",2011-12-02,"Yes","NH","Yes",2011-12-02,2016-02-24,1545,0,4.24,1,0,NA,NA,NA,NA
"Zurich",NA,"Yes","NH","Yes",2011-12-16,2014-05-26,892,NA,NA,1,0,NA,"BD",NA,NA
"Zurich",NA,"Yes","BD","No",2014-06-03,2016-02-15,622,NA,NA,2,1,"NH",NA,8,"No"
