"AnimalID","AnimalCode","OtherID","Sex","DOB","FirstDate","DOB_estimate","Age_yr","Age_class","Group_mb","StartDate_mb","EndDate_mb","Tenure_type","Mother","Father","ReliableData","Fate_probable","Comments"
"Babyrosl2020","BRos20",NA,"F","2020-11-03",NA,"2020-11-03",2.43,"juvenile","NH","2020-11-03","2020-12-13","BirthGroup",NA,NA,NA,NA,NA
"Babyroxanne2017","BRox17",NA,"M","2017-10-16",NA,"2017-10-16",5.49,"adult","LT","2017-10-16","2018-02-19","BirthGroup",NA,NA,NA,NA,NA
"Babyruby2017","BRub17",NA,NA,"2017-11-03",NA,"2017-11-03",5.44,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babysiele2016","BSie16",NA,NA,"2016-11-30",NA,"2016-11-30",6.37,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babysnortjie2015","BSno15",NA,NA,"2015-11-06",NA,"2015-11-06",7.44,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babysuzy2014","BSuz14",NA,NA,"2014-10-11",NA,"2014-10-11",8.51,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babytip2012","BTip12",NA,NA,"2012-10-09",NA,"2012-10-09",10.52,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babytonga2015","BTon15",NA,"M","2015-11-27",NA,"2015-11-27",7.38,"adult","CR","2015-11-27","2015-12-27","BirthGroup",NA,NA,NA,NA,NA
"Babytroi2015","BTro15",NA,"M","2015-10-22",NA,"2015-10-22",7.48,"adult","NH","2015-10-22","2015-12-11","BirthGroup",NA,NA,NA,NA,NA
"Babyumnak2015","BUmn15",NA,"M","2015-11-28",NA,"2015-11-28",7.38,"adult","CR","2015-11-28","2016-01-13","BirthGroup",NA,NA,NA,NA,NA
"Babyupp2012","BUpp12",NA,"M","2012-10-19",NA,"2012-10-19",10.49,"adult","NH","2012-10-19","2012-11-03","BirthGroup",NA,NA,NA,NA,NA
"Babyvict2014","BVic14",NA,"M","2014-10-28",NA,"2014-10-28",8.46,"adult","LT","2014-10-28","2015-01-16","BirthGroup",NA,NA,NA,NA,NA
"Babywietnie2013","BWie13",NA,"F","2013-11-12",NA,"2013-11-12",9.42,"adult","BD","2013-11-12","2013-11-12","BirthGroup",NA,NA,NA,NA,NA
"Babyxalapa2018","BXal18",NA,NA,"2019-01-21",NA,"2019-01-21",4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyxalapa2019","BXal19",NA,NA,"2019-10-30",NA,"2019-10-30",3.45,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyxian2019","BXia19",NA,NA,"2019-10-24",NA,"2019-10-24",3.46,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyyaou2014","BYao14",NA,NA,"2014-10-09",NA,"2014-10-09",8.52,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyzeia2015","BZei15",NA,NA,"2015-10-15",NA,"2015-10-15",7.5,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babelas","Bab","M30","M",NA,"2010-11-09","2009-11-01",NA,"adult","LT","2022-06-17","2022-06-30","MigrationGroup3",NA,NA,NA,NA,"Born in 2009. He was captured and collared 21/06/2022 in Lemon Tree. "
"Babelas","Bab","M30","M",NA,"2010-11-09","2009-11-01",NA,"adult","LT","2019-06-24","2021-04-07","MigrationGroup2",NA,NA,NA,NA,"Born in 2009. He was captured and collared 21/06/2022 in Lemon Tree. "
"Babelas","Bab","M30","M",NA,"2010-11-09","2009-11-01",NA,"adult","NH","2014-05-19","2016-04-19","MigrationGroup1",NA,NA,NA,NA,"Born in 2009. He was captured and collared 21/06/2022 in Lemon Tree. "
"Babelas","Bab","M30","M",NA,"2010-11-09","2009-11-01",NA,"adult","BD","2010-11-09","2014-05-15","BirthGroup",NA,NA,NA,NA,"Born in 2009. He was captured and collared 21/06/2022 in Lemon Tree. "
"Bahamas","Baha",NA,"F",NA,"2021-11-27","2021-11-27",NA,"juvenile","CR","2021-11-27","2023-04-05","BirthGroup","Bali",NA,"Yes",NA,NA
"Bali","Bali",NA,"F",NA,"2018-04-09","2018-04-09",NA,"adult","CR","2018-04-09","2023-04-05","BirthGroup",NA,NA,NA,NA,"seen on last day CR followed 2018/07/20"
"Bamako","Bam",NA,"M","2011-11-01","2011-11-01","2011-11-01",11.46,"adult","NH","2011-11-01","2013-02-21","BirthGroup","Bogota",NA,NA,NA,NA
"Bangalore","Bang",NA,"F","2020-11-26","2020-11-26","2020-11-26",2.37,"juvenile","NH","2020-11-26","2021-02-20","BirthGroup","Bela-Bela",NA,NA,"dead","Found dying. Bela was injured as well. Bite injuries. Confirmed dead 2 days after."
"Barbados","Barb",NA,"F",NA,"2015-10-08","2015-10-08",NA,"adult","CR","2015-10-08","2017-04-10","BirthGroup",NA,NA,NA,NA,NA
"Bari","Bari",NA,"F","2015-11-18","2015-11-18","2015-11-18",7.4,"adult","NH","2015-11-18","2016-04-13","BirthGroup","Bogota",NA,NA,NA,"Prob Split group? not ID'd in Iceland after split"
"Bari","Bari",NA,"F","2015-11-18","2015-11-18","2015-11-18",7.4,"adult","Iceland","2016-04-13","2016-04-13","GroupSplit","Bogota",NA,NA,NA,"Prob Split group? not ID'd in Iceland after split"
"Barry","Barr",NA,"F",NA,"2021-07-28","2021-07-28",NA,"juvenile","CR","2021-07-28","2023-04-05","BirthGroup","Bali",NA,"Yes",NA,NA
"Base","Bas",NA,"M",NA,"2015-02-25","2013-04-29",NA,"adult","BD","2017-05-05","2021-02-19","MigrationGroup1",NA,NA,NA,NA,"Last seen in BD on 19/02/2021"
"Base","Bas",NA,"M",NA,"2015-02-25","2013-04-29",NA,"adult","CR","2015-02-25","2017-04-29","BirthGroup",NA,NA,NA,NA,"Last seen in BD on 19/02/2021"
"Beirut","Beir",NA,"F","2018-12-03","2018-12-03","2018-12-03",4.35,"adult","NH","2018-12-03","2023-04-05","BirthGroup","Bela-Bela",NA,NA,NA,NA
"Belabela","Bela",NA,"F","2014-11-29",NA,"2014-11-29",8.38,"adult","NH","2014-11-29","2023-04-05","BirthGroup",NA,NA,NA,NA,NA
"Beminde","Bemi",NA,"F",NA,"2010-11-23","2007-11-01",NA,"adult","BD","2010-11-23","2014-01-05","BirthGroup",NA,NA,NA,NA,"Born 2007, formed IN with Wiet, Vrou"
"Beminde","Bemi",NA,"F",NA,"2010-11-23","2007-11-01",NA,"adult","Intaka","2014-01-05","2016-06-15","GroupSplit",NA,NA,NA,NA,"Born 2007, formed IN with Wiet, Vrou"
"Benedict","Ben",NA,"M",NA,"2018-06-08","2014-06-08",NA,"adult","LT","2018-06-08","2020-07-18","MigrationGroup1",NA,NA,NA,"migrated","Migrated in the group that owns the owners dam "
"Bermuda","Ber",NA,"M",NA,"2016-02-29","2014-11-01",NA,"adult","SplitCR","2017-02-12","2017-04-10","MigrationGroup1","Barbados",NA,NA,NA,"Born 2014"
"Bermuda","Ber",NA,"M",NA,"2016-02-29","2014-11-01",NA,"adult","CR","2016-02-29","2017-02-12","BirthGroup","Barbados",NA,NA,NA,"Born 2014"
"Bethlehem","Bet",NA,"M","2021-11-08","2021-11-08","2021-11-08",1.41,"juvenile","NH","2021-11-08","Stillpresent","BirthGroup","Bela-Bela",NA,"Yes",NA,NA
"Bigears","BigEars",NA,"M",NA,NA,NA,NA,NA,"CR","2021-06-06","Stillpresent","BirthGroup",NA,NA,NA,NA,NA
"Bingo","Bin","Jm","M",NA,"2011-04-25","2009-11-01",NA,"adult","BD","2011-04-25","2015-01-15","BirthGroup",NA,NA,"No",NA,"Probably born in 2009 - confused with another AK male  - kommunis big mess but not the same monkey - write here whether other form data has been affected"
"Babykodiak2020","Bkod20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blupblup","Blu",NA,"M",NA,NA,NA,NA,NA,"CR","2018-04-18","2018-07-20","BirthGroup",NA,NA,NA,NA,NA
"Bocold","Boc",NA,"M",NA,"2014-12-31","2010-12-31",NA,"adult","AK","2019-05-15","2019-10-30","MigrationGroup3",NA,NA,NA,"dead","Migrated or dead. "
"Bocold","Boc",NA,"M",NA,"2014-12-31","2010-12-31",NA,"adult","BD","2017-01-31","2019-05-04","MigrationGroup2",NA,NA,NA,"dead","Migrated or dead. "
"Bocold","Boc",NA,"M",NA,"2014-12-31","2010-12-31",NA,"adult","CR","2014-12-31","2017-01-21","MigrationGroup1",NA,NA,NA,"dead","Migrated or dead. "
"Bogota","Bogo",NA,"F",NA,"2011-03-05","2011-03-05",NA,"adult","NH","2011-03-05","2016-04-13","BirthGroup",NA,NA,NA,NA,"UNK birth date + Split group"
"Bogota","Bogo",NA,"F",NA,"2011-03-05","2011-03-05",NA,"adult","Iceland","2016-04-13","2016-07-12","GroupSplit",NA,NA,NA,NA,"UNK birth date + Split group"
"Boks","Bok",NA,"M",NA,"2010-11-09","2006-11-09",NA,"adult","BD","2010-11-09","2010-12-24","MigrationGroup1",NA,NA,NA,"migrated","Unclear if immigration date is just first seen date"
"Bongani","Bon",NA,"M",NA,"2012-01-28","2008-01-28",NA,"adult","AK","2012-01-28","2013-04-25","MigrationGroup1",NA,NA,NA,NA,NA
"Boston","Bos",NA,"M","2013-10-28","2013-10-28","2013-10-28",9.47,"adult","NH","2013-10-28","2018-05-23","BirthGroup","Bogota",NA,NA,NA,NA
"Bougainville","Bou","Goldie","M",NA,"2021-03-24","2008-11-01",NA,"adult","CR","2021-03-24","Stillpresent","BirthGroup",NA,NA,NA,NA,"he was born in 2018. it not certain it observation done in the field."
"Brasilia","Bras",NA,"F",NA,"2011-12-16","2011-12-16",NA,"adult","NH","2011-12-16","2016-04-13","BirthGroup","Bogota",NA,NA,NA,"UNK birth date + Split group"
"Brasilia","Bras",NA,"F",NA,"2011-12-16","2011-12-16",NA,"adult","Iceland","2016-04-13","2016-07-12","GroupSplit","Bogota",NA,NA,NA,"UNK birth date + Split group"
"Brisbane","Bri",NA,"M","2015-11-10","2015-11-10","2015-11-10",7.43,"adult","NH","2015-11-10","2016-04-13","BirthGroup","Brasilia",NA,NA,NA,"Prob split group? Not ID'd in Iceland after split"
"Brisbane","Bri",NA,"M","2015-11-10","2015-11-10","2015-11-10",7.43,"adult","Iceland","2016-04-13","2016-04-13","GroupSplit","Brasilia",NA,NA,NA,"Prob split group? Not ID'd in Iceland after split"
"Brucespringsteen","Bru",NA,"M",NA,NA,NA,NA,NA,"RC","2011-09-29","2011-09-29","MigrationGroup1",NA,NA,NA,NA,NA
"Bryan","Bry",NA,"M",NA,"2011-01-16","2007-01-16",NA,"adult","LT","2011-01-16","2012-05-01","MigrationGroup1",NA,NA,NA,NA,"Only seen twice after Sept 2011"
"Bukubuku","Buk",NA,"M",NA,"2021-05-11","2017-05-11",NA,"adult","AK","2021-05-11","Stillpresent","MigrationGroup1",NA,NA,NA,NA,NA
"Bullebak","Bul",NA,"M","2012-10-01","2012-10-01","2012-10-01",10.54,"adult","BD","2012-10-01","2017-12-07","BirthGroup","Beminde",NA,NA,NA,"Recorded a few more times in BD months after official dept date, but maybe errors"
"Bushy","Bush",NA,"F",NA,"2012-11-15","2012-11-15",NA,"adult","LT","2012-11-15","2015-03-02","BirthGroup",NA,NA,NA,NA,"Seen in splinter group in July 2015"
"Bushy","Bush",NA,"F",NA,"2012-11-15","2012-11-15",NA,"adult","FirstLTsplinter","2015-03-02","2015-07-01","GroupSplit",NA,NA,NA,NA,"Seen in splinter group in July 2015"
"Babyyalu2020","Byalu",NA,NA,"2020-12-01",NA,"2020-12-01",2.35,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Byron","Byr","Smc","M",NA,"2011-11-21","2007-11-01",NA,"adult","LT","2011-11-21","2013-10-22","BirthGroup",NA,NA,NA,NA,"Probably born in 2007"
"Byron","Byr","Minielton","M",NA,"2011-11-21","2007-11-01",NA,"adult","LT","2011-11-21","2013-10-22","BirthGroup",NA,NA,NA,NA,"Probably born in 2007"
"Cairo","Cairo","Cairo","M",NA,"2023-03-25","2019-03-25",NA,"sub-adult","NH","2023-03-25","Stillpresent","MigrationGroup1",NA,NA,"Yes",NA,NA
"Cameron","Cam",NA,"M",NA,"2017-10-05","2016-11-01",NA,"adult","CR","2017-10-05","2022-01-26","BirthGroup","Chiloe",NA,NA,NA,"Born 2016"
"Camilla","Cami",NA,"F",NA,"2013-11-27","2011-11-01",NA,"adult","LT","2013-11-27","2015-11-06","BirthGroup",NA,NA,"No",NA,"First recorded 2011? OldCamilla? In splinter group at least since february 2015, unclear which data is hers and which is Jenny's "
"Cancun","Can",NA,"M",NA,"2013-06-28","2009-06-28",NA,"adult","NH","2019-06-17","2021-01-27","MigrationGroup4",NA,NA,NA,NA,"Recorded once in AK on 2017/03/24"
"Cancun","Can",NA,"M",NA,"2013-06-28","2009-06-28",NA,"adult","NH","2017-05-30","2018-12-17","MigrationGroup3",NA,NA,NA,NA,"Recorded once in AK on 2017/03/24"
"Cancun","Can",NA,"M",NA,"2013-06-28","2009-06-28",NA,"adult","AK","2016-03-14","2017-02-16","MigrationGroup2",NA,NA,NA,NA,"Recorded once in AK on 2017/03/24"
"Cancun","Can",NA,"M",NA,"2013-06-28","2009-06-28",NA,"adult","NH","2013-06-28","2016-02-25","MigrationGroup1",NA,NA,NA,NA,"Recorded once in AK on 2017/03/24"
"Capri","Cap",NA,"M",NA,"2022-03-28","2022-03-28",NA,"juvenile","CR","2022-03-28","Stillpresent","BirthGroup","Chiloe",NA,NA,NA,"Was seen last year late 2021 but never been recorded on the logbook until the 01/02/22."
"Cayman","Cay","Littlecameron","M",NA,"2021-05-19","2021-05-19",NA,"juvenile","CR","2021-05-19","Stillpresent","BirthGroup",NA,NA,NA,NA,NA
"Charles","Cha","Littlecharles","M",NA,"2011-11-21","2009-11-01",NA,"adult","LT","2011-11-21","2013-12-09","BirthGroup",NA,NA,NA,NA,"Probably born in 2008"
"Charles","Cha","Jb","M",NA,"2011-11-21","2009-11-01",NA,"adult","LT","2011-11-21","2013-12-09","BirthGroup",NA,NA,NA,NA,"Probably born in 2008"
"Chernobyl","Che",NA,"M",NA,"2012-04-28","2008-04-28",NA,"adult","BD","2014-06-09","2016-08-06","MigrationGroup2",NA,NA,NA,NA,"Seen once in NH on 2014/07/29, unclear if error or not, 2012/05/08 is first time recorded officially in NH in logbook; seen 3 times after official BD dept date but over 5 months so unclear if errors or not  "
"Chernobyl","Che",NA,"M",NA,"2012-04-28","2008-04-28",NA,"adult","NH","2012-04-28","2014-05-26","MigrationGroup1",NA,NA,NA,NA,"Seen once in NH on 2014/07/29, unclear if error or not, 2012/05/08 is first time recorded officially in NH in logbook; seen 3 times after official BD dept date but over 5 months so unclear if errors or not  "
"Chiloe","Chil",NA,"F",NA,"2015-01-06","2015-01-06",NA,"adult","CR","2015-01-06","2023-04-05","BirthGroup",NA,NA,NA,NA,NA
"Cindylauper","Cind",NA,"F",NA,NA,NA,NA,NA,"RC","2011-10-26","2011-11-11","BirthGroup",NA,NA,NA,NA,NA
"Circe","Circ",NA,"F",NA,"2022-06-28",NA,NA,NA,"IF","2022-06-28","2023-04-05","BirthGroup",NA,NA,"Yes",NA,NA
"Clarence","Clar",NA,"F",NA,"2021-07-28","2021-07-28",NA,"juvenile","CR","2021-07-28","2023-04-05","BirthGroup","Chiloe",NA,"Yes",NA,NA
"Colorado","Col",NA,"M",NA,"2015-05-25","2011-05-25",NA,"adult","IFamily","2016-04-29","2016-09-14","MigrationGroup2",NA,NA,NA,NA,"Seen once more in KB in June 16 after departure date and once in Ifamily in April 16"
"Colorado","Col",NA,"M",NA,"2015-05-25","2011-05-25",NA,"adult","KB","2015-05-25","2016-05-11","MigrationGroup1",NA,NA,NA,NA,"Seen once more in KB in June 16 after departure date and once in Ifamily in April 16"
"Collin","Col",NA,"M",NA,NA,NA,NA,NA,"LT",NA,"2023-04-05","BirthGroup","Camilla",NA,"No",NA,"Probably renamed as Impostor"
"Cone","Con",NA,"M",NA,"2014-12-30","2011-11-01",NA,"adult","CR","2014-12-30","2015-07-22","BirthGroup",NA,NA,NA,"migrated","Born 2011, may have migrated"
"Cuba","Cuba","Kinktail","F",NA,"2015-01-06","2012-11-01",NA,"adult","CR","2015-01-06","2015-12-15","BirthGroup",NA,NA,NA,"dead","Probably dead, originally called ""kinktail"", born 2012"
"Curaco","Cur","Spot","M",NA,"2012-04-14","2010-11-01",NA,"adult","KB","2012-04-14","2012-04-14","BirthGroup",NA,NA,"No",NA,"Probably born 2010; also unclearif mistaken for another juvenile - would NOT recommend using his data\"
"Cusco","Cus",NA,"M",NA,"2018-05-21","2014-05-21",NA,"adult","NH","2019-05-21","2020-11-30","MigrationGroup2",NA,NA,NA,NA,"Could be Ijinja from Ifamily, but unsure without genetics"
"Cusco","Cus",NA,"M",NA,"2018-05-21","2014-05-21",NA,"adult","NH","2018-05-21","2018-12-17","MigrationGroup1",NA,NA,NA,NA,"Could be Ijinja from Ifamily, but unsure without genetics"
"Daartagnan","Daa",NA,"M","2017-11-02","2017-11-02","2017-11-02",5.44,"adult","LT","2017-11-02","2022-06-06","BirthGroup","Daisy",NA,NA,NA,NA
"Daenerys","Daen",NA,"F",NA,"2015-08-20","2015-08-20",NA,"adult","LT","2015-08-20","2023-04-05","BirthGroup","Diana",NA,NA,NA,NA
"Dagga","Dagg",NA,"F",NA,"2011-04-07","2011-04-07",NA,"adult","BD","2011-04-07","2012-11-29","BirthGroup",NA,NA,NA,"dead","Formed new group IB. Found dead 23/12/2013"
"Dagga","Dagg",NA,"F",NA,"2011-04-07","2011-04-07",NA,"adult","InBetweeners","2012-11-29","2013-12-23","GroupSplit",NA,NA,NA,"dead","Formed new group IB. Found dead 23/12/2013"
"Daila","Dail",NA,"F","2021-11-20","2021-11-20","2021-11-20",1.38,"juvenile","LT","2021-11-20","2023-04-05","BirthGroup","Daisy",NA,"Yes",NA,NA
"Daisy","Dais",NA,"F",NA,"2014-08-26","2014-08-26",NA,"adult","LT","2014-08-26","2023-04-05","BirthGroup","Diana",NA,NA,NA,NA
"Dakar","Dak",NA,"M",NA,"2022-09-10","2018-09-10",NA,"sub-adult","NH","2022-09-10","Stillpresent","MigrationGroup1",NA,NA,"Yes",NA,NA
"Dalton","Dal",NA,"M","2018-11-28","2018-11-28","2018-11-28",4.37,"sub-adult","LT","2018-11-28","Stillpresent","BirthGroup","Daenerys",NA,NA,NA,NA
"Danube","Dan",NA,"M",NA,"2012-05-25","2008-05-25",NA,"adult","AK","2015-06-24","2015-10-13","MigrationGroup4",NA,NA,NA,NA,NA
"Danube","Dan",NA,"M",NA,"2012-05-25","2008-05-25",NA,"adult","IN","2014-09-08","2015-06-20","MigrationGroup3",NA,NA,NA,NA,NA
"Danube","Dan",NA,"M",NA,"2012-05-25","2008-05-25",NA,"adult","BD","2014-05-28","2014-08-30","MigrationGroup2",NA,NA,NA,NA,NA
"Danube","Dan",NA,"M",NA,"2012-05-25","2008-05-25",NA,"adult","KB","2012-05-25","2014-05-12","MigrationGroup1",NA,NA,NA,NA,NA
"Danielle","Dani",NA,"F","2021-11-22","2021-11-22","2021-11-22",1.38,"juvenile","LT","2021-11-22","2023-04-05","BirthGroup","Daenerys",NA,"Yes",NA,NA
"Dapper","Dap",NA,"M",NA,"2014-07-01","2010-07-01",NA,"adult","BD","2014-07-01","2016-01-27","MigrationGroup1",NA,NA,NA,NA,NA
"Darwin","Dar","Zazoo","M",NA,"2012-07-31","2010-11-01",NA,"adult","LT","2012-07-31","2016-09-02","BirthGroup",NA,NA,NA,NA,"Born in 2010"
"Dastard","Das",NA,"M","2019-11-01","2019-11-01","2019-11-01",3.44,"juvenile","LT","2019-11-01","Stillpresent","BirthGroup","Daenerys",NA,NA,NA,NA
"Dazzle","Dazz",NA,"F","2020-11-20","2020-11-20","2020-11-20",2.38,"juvenile","LT","2020-11-20","2023-04-05","BirthGroup","Daisy",NA,NA,NA,NA
"Deja","Deja",NA,"F","2020-12-07","2020-12-07","2020-12-07",2.34,"juvenile","LT","2020-12-07","2023-04-05","BirthGroup","Delilah",NA,NA,NA,NA
"Delux","Del",NA,"M","2021-12-11","2021-12-11","2021-12-11",1.32,"juvenile","LT","2021-12-11","Stillpresent","BirthGroup","Delilah",NA,"Yes",NA,NA
"Delilah","Deli","Rainbow","F","2012-10-08","2012-10-08","2012-10-08",10.52,"adult","LT","2012-10-08","2023-04-05","BirthGroup","Diana",NA,NA,NA,NA
"Delta","Delt",NA,"F","2020-12-11","2020-12-11","2020-12-11",2.33,"juvenile","LT","2020-12-11","2023-04-05","BirthGroup","Dewe",NA,NA,NA,NA
"Derrick","Der",NA,"M","2021-12-11","2021-12-11","2021-12-11",1.32,"juvenile","LT","2021-12-11","2022-06-04","BirthGroup","Dexter",NA,"NO",NA,NA
"Dewey","Dewe",NA,"F","2017-01-04","2017-01-04","2017-01-04",6.27,"adult","LT","2017-01-04","2023-04-05","BirthGroup","Delilah",NA,NA,NA,NA
"Dexter","Dext",NA,"F","2017-11-30","2017-11-30","2017-11-30",5.36,"adult","LT","2017-11-30","2022-06-04","BirthGroup","Delilah",NA,NA,NA,NA
"Diamond","Dia",NA,"M","2020-10-29","2020-10-29","2020-10-29",2.44,"juvenile","LT","2020-10-29","Stillpresent","BirthGroup","Diana",NA,NA,NA,"Born between the 22nd and the 29th of October 2020 according to logbook entries."
"Diana","Dian",NA,"F",NA,"2011-02-19","2011-02-19",NA,"adult","LT","2011-02-19","2023-04-05","BirthGroup",NA,NA,NA,NA,NA
"Digby","Digb","Rhiannon","F","2014-01-08","2014-01-08","2014-01-08",9.27,"adult","LT","2014-01-08","2023-04-05","BirthGroup","Diana",NA,NA,NA,NA
"Dillon","Dil",NA,"M","2016-12-05","2016-12-05","2016-12-05",6.35,"adult","LT","2016-12-05","2021-12-11","BirthGroup","Digby",NA,"NO",NA,NA
"Dion","Dio",NA,"M","2015-12-12","2015-12-12","2015-12-12",7.34,"adult","LT","2015-12-12","2021-03-23","BirthGroup","Digby",NA,NA,NA,NA
"Disco","Dis",NA,"M","2021-11-21","2021-11-21","2021-11-21",1.38,"juvenile","LT","2021-11-21","2022-03-09","BirthGroup","Digby",NA,"NO",NA,NA
"Dixon","Dix",NA,"M","2018-11-11","2018-11-11","2018-11-11",4.41,"sub-adult","LT","2018-11-11","Stillpresent","BirthGroup","Digby",NA,NA,NA,NA
"Dodgyknee","Dodg",NA,"F",NA,NA,NA,NA,NA,"CR","2021-04-16","2022-01-03","BirthGroup",NA,NA,NA,NA,NA
"Dokos","Dok","Denmark","M",NA,"2017-08-22","2014-11-01",NA,"adult","BD","2019-05-30","2022-07-21","MigrationGroup1","Duclina",NA,NA,"dead","Born 2014, seen on last day CR followed 2018/07/20. In BD for three years but found dead in the purgatory on 15/08/2022 by Loic."
"Dokos","Dok","Denmark","M",NA,"2017-08-22","2014-11-01",NA,"adult","CR","2017-08-22","2018-07-20","BirthGroup","Duclina",NA,NA,"dead","Born 2014, seen on last day CR followed 2018/07/20. In BD for three years but found dead in the purgatory on 15/08/2022 by Loic."
"Donsig","Don",NA,"M",NA,"2011-04-07","2009-11-01",NA,"adult","LT","2015-04-03","2018-11-16","MigrationGroup1","Dagga","Pik",NA,NA,"Probably born in 2009, seen twice in LT in March 2019"
"Donsig","Don",NA,"M",NA,"2011-04-07","2009-11-01",NA,"adult","BD","2011-04-07","2015-01-15","BirthGroup","Dagga","Pik",NA,NA,"Probably born in 2009, seen twice in LT in March 2019"
"Doreen","Dore",NA,"F","2017-12-29","2017-12-29","2017-12-29",5.28,"adult","LT","2017-12-29","2023-04-05","BirthGroup","Diana",NA,NA,NA,NA
"Doublespot","Dou",NA,"M",NA,NA,NA,NA,NA,"KB","2012-08-13","2014-05-10","BirthGroup",NA,NA,NA,NA,NA
"Downlip","Dow",NA,"M",NA,NA,NA,NA,NA,"LT","2014-05-28","2014-07-09","MigrationGroup1",NA,NA,NA,NA,NA
"Drew","Drew",NA,"F",NA,"2010-12-13","2008-11-01",NA,"adult","RC","2010-12-13","2011-11-01","BirthGroup",NA,NA,"No",NA,"Probably born in 2008"
"Dublin","Dub",NA,"M",NA,"2010-11-08","2006-11-08",NA,"adult","NH","2010-11-08","2012-10-27","MigrationGroup1",NA,NA,NA,"migrated","Seen once more in NH on 2013/01/25, unclear if error or not, date of immigration is likely just first seen date"
"Duckie","Duc",NA,"M",NA,"2021-05-27","2021-05-27",NA,"juvenile","CR","2021-05-27","Stillpresent","BirthGroup",NA,NA,NA,NA,NA
"Dulcina","Dulc",NA,"F",NA,"2015-10-08","2015-10-08",NA,"adult","CR","2015-10-08","2015-10-08","BirthGroup",NA,NA,"No","dead","Only recorded on one day, presumed dead"
"Dwergie","Dwe",NA,"M",NA,"2010-12-01","2010-11-01",NA,"adult","AK","2016-01-26","2016-03-23","MigrationGroup1","Dagga","Auckland",NA,NA,"Born in 2010, Seen in AK twice after leaving date (approx 1 and 2 months after)"
"Dwergie","Dwe",NA,"M",NA,"2010-12-01","2010-11-01",NA,"adult","BD","2010-12-01","2016-01-19","BirthGroup","Dagga","Auckland",NA,NA,"Born in 2010, Seen in AK twice after leaving date (approx 1 and 2 months after)"
"Easter","East","Smashy","F",NA,"2018-04-09","2018-04-09",NA,"adult","CR","2018-04-09","2022-03-12","BirthGroup",NA,NA,NA,NA,"seen on last day CR followed 2018/07/20"
"Easter","East","Mous","F",NA,"2018-04-09","2018-04-09",NA,"adult","CR","2018-04-09","2022-03-12","BirthGroup",NA,NA,NA,NA,"seen on last day CR followed 2018/07/20"
"Edward","Edw",NA,"M",NA,"2012-06-12","2008-06-12",NA,"adult","LT","2012-06-12","2014-11-12","MigrationGroup1",NA,NA,NA,"migrated","Unclear if 1st seen is same as immigrated"
"Eier","Eie",NA,"M","2021-11-02","2021-11-02","2021-11-02",1.43,"juvenile","BD","2021-11-02","2022-02-16","BirthGroup","Eina",NA,"NO",NA,NA
"Eina","Eina",NA,"F","2014-10-18","2014-10-18","2014-10-18",8.49,"adult","BD","2014-10-18","2023-04-05","BirthGroup","Engel","Okucane",NA,NA,NA
"Eish","Eis",NA,"M","2020-11-21","2020-11-21","2020-11-21",2.38,"juvenile","BD","2020-11-21","Stillpresent","BirthGroup","Eina",NA,NA,NA,NA
"Eivissa","Eiv","Newmale090622","M",NA,"2022-06-09","2018-06-09",NA,"sub-adult","CR","2022-06-09","Stillpresent","MigrationGroup1",NA,NA,"Yes",NA,NA
"Ekse","Ekse",NA,"F","2022-12-07","2022-12-07","2022-12-07",0.33,"baby","BD","2022-12-07","2023-04-05","BirthGroup","Eina",NA,"Yes",NA,NA
"Elbar","Elba",NA,"F",NA,"2021-07-28","2021-07-28",NA,"juvenile","CR","2021-07-28","2021-09-03","BirthGroup","Easter",NA,"NO",NA,"Was classified as a one year old."
"Ellesmere","Elle",NA,"F",NA,"2014-12-30","2014-12-30",NA,"adult","CR","2014-12-30","2016-07-19","BirthGroup",NA,NA,NA,"dead","Presumed dead"
"Elton","Elt","Smb","M",NA,"2011-06-09","2006-11-01",NA,"adult","AK","2012-01-28","2016-01-18","MigrationGroup1",NA,NA,NA,NA,"Probably born in 2006, recorded 12/6/12 in LT, unclear if error or not, seen once more in AK on 27/02/16, after first sighting in AK not sighted again until 08/5/12"
"Elton","Elt","Smb","M",NA,"2011-06-09","2006-11-01",NA,"adult","LT","2011-06-09","2012-02-04","BirthGroup",NA,NA,NA,NA,"Probably born in 2006, recorded 12/6/12 in LT, unclear if error or not, seen once more in AK on 27/02/16, after first sighting in AK not sighted again until 08/5/12"
"Elvispresley","Elv",NA,"M",NA,NA,NA,NA,NA,"RC","2010-12-24","2011-11-11","MigrationGroup1",NA,NA,NA,NA,NA
