"AnimalID","AnimalCode","DOB","FirstDate","DOB_estimate","Age_yr","Age_class"
"Hera","Hera",NA,2022-06-28,NA,NA,NA
"Heyi","Hey",2012-10-15,2012-10-15,"2012-10-15",10.5,"adult"
"Hiasint","Hia",2018-10-26,2018-10-26,"2018-10-26",4.46,"sub-adult"
"Hibe","Hib",2010-11-02,2010-11-02,"2010-11-02",12.46,"adult"
"Hibiscus","Hibi",2016-11-30,2016-11-30,"2016-11-30",6.37,"adult"
"Hippie","Hipp",2012-10-22,2012-10-22,"2012-10-22",10.48,"adult"
"Hleka","Hlek",NA,2012-01-28,"2009-11-01",NA,"adult"
"Hlokoloza","Hlo",2012-12-23,2012-12-23,"2012-12-23",10.31,"adult"
"Hluhluwe","Hlu",2014-10-18,2014-10-18,"2014-10-18",8.49,"adult"
"Hola","Hol",2012-09-11,2012-09-11,"2012-09-11",10.6,"adult"
"Holey","Hole",NA,2021-06-01,"2021-06-01",NA,"juvenile"
"Hondjie","Hond",2016-11-29,2016-11-29,"2016-11-29",6.37,"adult"
"Huge","Huge",NA,2015-01-12,"2012-11-01",NA,"adult"
"Humusha","Hum",2014-09-22,2014-09-22,"2014-09-22",8.56,"adult"
"Hwahwaza","Hwa",2011-09-16,2011-09-16,"2011-09-16",11.59,"adult"
"Iceland","Icel",NA,2014-12-30,"2014-12-30",NA,"adult"
"Idwala","Idwa",2011-11-10,2011-11-10,"2011-11-10",11.44,"adult"
"Ifu","Ifu",2010-11-02,2010-11-02,"2010-11-02",12.46,"adult"
"Iggy","Igg",NA,2014-08-18,"2014-08-18",NA,"adult"
"Ihlane","Ihl",2014-11-03,2014-11-03,"2014-11-03",8.45,"adult"
"Ijinja","Iji",2012-10-09,2012-10-09,"2012-10-09",10.52,"adult"
"Ilonga","Ilon",2013-11-04,2013-11-04,"2013-11-04",9.45,"adult"
"Imposter","Imp",NA,NA,"2013-05-22",NA,"adult"
"India","Indi",NA,2012-11-15,"2012-11-15",NA,"adult"
"Inhlanhla","Inhl",NA,2012-01-28,"2009-11-01",NA,"adult"
"Inkwazi","Inkw",2013-11-18,2013-11-18,"2013-11-18",9.41,"adult"
"Inner","Inn",NA,2014-12-31,"2012-11-01",NA,"adult"
"Intaba","Int",2014-11-27,2014-11-27,"2014-11-27",8.38,"adult"
"Ireland","Ire",NA,2015-11-08,"2014-11-01",NA,"adult"
"Ischia","Isc",NA,2017-10-16,"2014-07-18",NA,"adult"
"Isilonda","Isil",NA,2010-12-18,"2010-12-18",NA,"adult"
"Istanbul","Ist",NA,2010-12-15,"2008-01-09",NA,"adult"
"Izulu","Izu",NA,2012-01-28,"2009-11-01",NA,"adult"
"Juv1","JUV1",NA,NA,NA,NA,NA
"Juv2","JUV2",NA,NA,NA,NA,NA
"Jackie","Jac",NA,2011-08-03,"2009-11-01",NA,"adult"
"Jagerbomb","Jag",NA,2014-05-08,"2010-05-08",NA,"adult"
"Jakarta","Jaka",NA,2011-01-18,"2011-01-18",NA,"adult"
"James","Jam",NA,2011-01-28,"2007-01-28",NA,"adult"
"Jamaica","Jama",NA,NA,NA,NA,NA
"Jane","Jane",2016-01-15,2016-01-15,"2016-01-15",7.25,"adult"
"Japan","Jap",NA,2014-12-30,"2010-12-30",NA,"adult"
"Java","Java",NA,2016-03-28,"2012-11-01",NA,"adult"
"Jeddah","Jed",2014-10-27,2014-10-27,"2014-10-27",8.47,"adult"
"Jelly","Jell",2017-10-19,2017-10-19,"2017-10-19",5.48,"adult"
"Jenny","Jenn",NA,2011-11-16,"2011-11-16",NA,"adult"
"Jersey","Jers",NA,2017-10-26,"2017-10-26",NA,"adult"
"Jiamusi","Jia",2015-11-09,2015-11-09,"2015-11-09",7.43,"adult"
"Jillin","Jill",2012-10-15,2012-10-15,"2012-10-15",10.5,"adult"
"Jimmyhendricks","Jim",NA,NA,NA,NA,NA
"Jinka","Jink",2010-11-22,2010-11-22,"2010-11-22",12.41,"adult"
"Jixi","Jix",2013-10-31,2013-10-31,"2013-10-31",9.46,"adult"
"Joe","Joe",2013-12-01,2014-09-18,"2013-12-01",9.37,"adult"
"Johannesburg","Joha",2015-10-30,2015-10-30,"2015-10-30",7.46,"adult"
"Juneau","Jun",2011-11-20,2011-11-20,"2011-11-20",11.41,"adult"
"Kaiki","Kaik",NA,2010-11-09,"2010-11-09",NA,"adult"
"Kaptein","Kap",NA,2023-02-04,"2019-02-04",NA,"sub-adult"
"Karenzoid","Kare",NA,NA,NA,NA,NA
"Kate","Kate",2015-12-09,2015-12-09,"2015-12-09",7.35,"adult"
"Kauai","Kau",NA,2015-11-28,"2011-11-28",NA,"adult"
"Kaya","Kaya",NA,2013-02-07,"2013-02-07",NA,"adult"
"Kekeke","Kek",NA,2019-05-31,"2015-05-31",NA,"adult"
"Kenneth","Ken",NA,2014-08-15,"2011-11-18",NA,"adult"
"Kergelen","Ker",NA,2014-12-30,"2010-12-30",NA,"adult"
"Kies","Kie",2010-11-23,2010-11-23,"2010-11-23",12.4,"adult"
"Kilimanjaro","Kil",NA,2015-11-14,"2011-11-14",NA,"adult"
"Knoffel","Kno",NA,2022-11-07,"2018-11-07",NA,"sub-adult"
"Knysna","Kny",NA,2022-10-17,"2018-10-17",NA,"sub-adult"
"Kodiak","Kodi",NA,2018-04-12,"2018-04-12",NA,"adult"
"Kommunis","Kom",NA,2017-09-04,"2013-09-04",NA,"adult"
"Koninging","Koni",NA,2011-12-09,"2011-12-09",NA,"adult"
"Kookoolegit","Koo",NA,2018-04-12,"2014-07-18",NA,"adult"
"Krakatoa","Krak",NA,2014-10-28,"2014-10-28",NA,"adult"
"Kurtcubain","Kur",NA,NA,NA,NA,NA
"Kyle","Kyl",2014-11-24,2014-11-24,"2014-11-24",8.39,"adult"
"Laila","Lail",NA,2018-06-11,"2018-06-11",NA,"adult"
"Lampshade","Lamp",2019-11-07,2019-11-07,"2019-11-07",3.42,"juvenile"
"Lancey","Lanc",2014-10-29,2014-10-29,"2014-10-29",8.46,"adult"
"Larry","Lar",2018-12-15,2018-12-15,"2018-12-15",4.32,"sub-adult"
"Laurel","Laur",NA,2012-11-12,"2010-11-01",NA,"adult"
"Lausanne","Laus",NA,2011-03-05,"2011-03-05",NA,"adult"
"Lavander","Lava",2017-10-11,2017-10-11,"2017-10-11",5.5,"adult"
"Lawrence","Law",2015-11-17,2015-11-17,"2015-11-17",7.41,"adult"
"Lefty","Lef",2013-12-01,2014-05-31,"2013-12-01",9.37,"adult"
"Lekker","Lek",NA,2010-11-09,"2006-11-09",NA,"adult"
"Lennon","Len",2012-09-19,2012-09-19,"2012-09-19",10.58,"adult"
"Lewe","Lewe",2018-10-26,2018-10-26,"2018-10-26",4.46,"adult"
"Lhassa","Lhas",NA,2011-12-16,"2011-12-16",NA,"adult"
"Liam","Lia",2013-11-01,2014-08-15,"2013-11-01",9.46,"adult"
"Liffey","Lif",NA,2015-04-28,"2011-04-28",NA,"adult"
"Light","Lig",2020-10-29,2020-10-29,"2020-10-29",2.44,"juvenile"
"Lilly","Lill",2015-10-16,2015-10-16,"2015-10-16",7.49,"adult"
"Lima","Lima",2014-11-04,2014-11-04,"2014-11-04",8.44,"adult"
"Lionel","Lion",NA,2014-12-31,"2011-11-01",NA,"adult"
"Lipsy","Lip",NA,2019-06-01,"2015-06-01",NA,"adult"
"Lizz","Lizz",NA,2011-01-28,"2011-01-28",NA,"adult"
"Lohihi","Lohi",NA,2015-01-10,"2015-01-10",NA,"adult"
"Loki","Loki",2020-12-07,2020-12-07,"2020-12-07",2.34,"juvenile"
"Lola","Lola",2021-12-03,2021-12-03,"2021-12-03",1.35,"juvenile"
"Lome","Lom",2011-10-27,2011-10-27,"2011-10-27",11.48,"adult"
"Lotus","Lotu",2022-12-22,2022-12-22,"2022-12-22",0.29,"baby"
"Louise","Loui",2016-11-09,2016-11-09,"2016-11-09",6.42,"adult"
"Luan","Lua",2016-12-19,2016-12-19,"2016-12-19",6.31,"adult"
"Lucifer","Luc",2021-12-11,2021-12-11,"2021-12-11",1.32,"juvenile"
"Lugano","Lug",2020-12-21,2020-12-21,"2020-12-21",2.3,"juvenile"
"Luna","Luna",2022-12-06,2022-12-06,"2022-12-06",0.33,"baby"
"Macedonia","Mac",NA,2014-12-31,"2010-12-31",NA,"adult"
"Mackanzie","Mack",NA,2014-12-31,"2012-11-01",NA,"adult"
"Madagascar","Mad",NA,2014-10-08,"2010-10-08",NA,"adult"
"Madonna","Mado",NA,NA,NA,NA,NA
"Malawi","Mal",2014-12-14,2014-12-14,"2014-12-14",8.33,"adult"
"Mamoobi","Mamo",NA,2011-01-18,"2011-01-18",NA,"adult"
"Mandy","Man",NA,2022-09-22,"2018-09-22",NA,"sub-adult"
"Manhattan","Manh",NA,2016-02-11,"2014-11-01",NA,"adult"
"Margarita","Mar",NA,2017-10-25,"2013-11-17",NA,"adult"
"Mara","Mara",NA,2013-05-06,"2013-05-06",NA,"adult"
"Martinique","Mart",NA,2015-10-07,"2015-10-07",NA,"adult"
"Mass","Mas",2018-11-12,2018-11-12,"2018-11-12",4.41,"sub-adult"
"Mathimula","Mat",2014-10-21,2014-10-21,"2014-10-21",8.48,"adult"
"Mbazwane","Mba",2013-11-15,2013-11-15,"2013-11-15",9.42,"adult"
"Mbila","Mbil",2018-11-05,2018-11-05,"2018-11-05",4.43,"adult"
"Medjerda","Med",NA,2012-05-09,"2008-05-09",NA,"adult"
"Medusa","Medu",NA,2022-06-28,NA,NA,NA
"Meerkat","Mee",2014-10-27,2014-10-27,"2014-10-27",8.47,"adult"
"Merlin","Mer",NA,2011-08-03,"2009-11-01",NA,"adult"
"Mercury","Mer",2012-12-01,2014-12-18,"2012-12-01",10.37,"adult"
"Mevrou","Mevr",2012-10-29,2012-10-29,"2012-10-29",10.47,"adult"
"Mfolozi","Mfo",NA,2010-12-12,"2007-11-01",NA,"adult"
"Mhaori","Mhao",2016-11-17,2016-11-17,"2016-11-17",6.4,"adult"
"Michaeljackson","Mic",NA,NA,NA,NA,NA
"Middag","Midd",2015-11-09,2015-11-09,"2015-11-09",7.43,"adult"
"Mielies","Miel",NA,2010-11-16,"2010-11-16",NA,"adult"
"Milano","Mil",NA,2010-11-08,"2006-11-08",NA,"adult"
"Mimiek","Mimi",2018-10-26,2018-10-26,"2018-10-26",4.46,"adult"
"Mississipi","Mis",2013-11-27,2013-11-27,"2013-11-27",9.38,"adult"
"Miskien","Misk",2021-11-19,2021-11-19,"2021-11-19",1.38,"juvenile"
"Mnandi","Mna",NA,2012-01-28,"2009-11-01",NA,"adult"
"Modjadji","Modj",2011-10-31,2011-10-31,"2011-10-31",11.46,"adult"
"Moesa","Moes",2020-11-24,2020-11-24,"2020-11-24",2.37,"juvenile"
"Mokcha","Mokc",2017-10-13,2017-10-13,"2017-10-13",5.5,"adult"
"Momo","Mom",NA,2021-06-04,"2017-06-04",NA,"adult"
"Montreal","Mon",NA,2021-10-25,"2021-10-25",NA,"juvenile"
"Mooi","Mooi",NA,2010-11-09,"2010-11-09",NA,"adult"
"Moonie","Moon",NA,2014-02-28,"2012-11-01",NA,"adult"
"Mousse","Mou",NA,2011-08-03,"2009-11-01",NA,"adult"
"Moya","Moya",2017-10-26,2017-10-26,"2017-10-26",5.46,"adult"
"Mpukuvane","Mpu",NA,2012-05-14,"2009-11-01",NA,"adult"
"Muis","Mui",2020-11-25,2020-11-25,"2020-11-25",2.37,"juvenile"
"Mungunya","Mun",2012-10-15,2012-10-15,"2012-10-15",10.5,"adult"
"Mvula","Mvu",2010-11-02,2010-11-02,"2010-11-02",12.46,"adult"
"Naartjie","Naa",2020-12-21,2020-12-21,"2020-12-21",2.3,"juvenile"
"Naaldekoker","Naal",2018-10-26,2018-10-26,"2018-10-26",4.46,"adult"
"Nagapie","Naga",2022-11-29,2022-11-29,"2022-11-29",0.35,"baby"
"Nahoon","Nah",2016-11-14,2016-11-14,"2016-11-14",6.41,"adult"
"Nakhu","Nak",2017-10-31,2017-10-31,"2017-10-31",5.45,"adult"
"Nala","Nala",NA,2012-04-18,"2008-11-01",NA,"adult"
"Namnam","Namn",NA,NA,NA,NA,NA
"Nantucket","Nan",NA,2017-11-02,"2014-07-18",NA,"adult"
"Napoli","Nap",NA,2010-11-08,"2006-11-08",NA,"adult"
"Ncane","Nca",2022-12-01,2022-12-01,"2022-12-01",0.35,"baby"
"Ncoko","Ncok",2018-11-02,2018-11-02,"2018-11-02",4.44,"adult"
"Ndanda","Nda",2018-11-03,2018-11-03,"2018-11-03",4.44,"sub-adult"
"Ndawonya","Ndaw",2016-02-08,2016-02-08,"2016-02-08",7.18,"adult"
"Ndiza","Ndi",2014-11-01,2014-11-01,"2014-11-01",8.45,"adult"
"Ndiki","Ndik",2017-10-16,2017-10-16,"2017-10-16",5.49,"adult"
"Ndini","Ndin",2022-12-03,2022-12-03,"2022-12-03",0.34,"baby"
"Ndlovu","Ndl",2021-11-02,2021-11-02,"2021-11-02",1.43,"juvenile"
"Ndondo","Ndo",2021-01-04,2021-01-04,"2021-01-04",2.26,"juvenile"
"Ndonsa","Ndon",NA,2012-11-02,"2012-11-02",NA,"adult"
"Ndumiso","Ndum",2020-11-16,2020-11-16,"2020-11-16",2.39,"juvenile"
"Nelson","Nel",NA,2022-03-17,"2018-03-17",NA,"adult"
"Nessie","Ness",NA,2012-08-01,"2011-11-01",NA,"adult"
"Neuchatel","Neu",NA,2011-12-16,"2010-05-08",NA,"adult"
"Newton","New",NA,2011-07-09,"2007-07-09",NA,"adult"
"Newmale3","NewMale3",NA,NA,NA,NA,NA
"Ngenakubo","Nge",2016-11-18,2016-11-18,"2016-11-18",6.4,"adult"
"Ngubu","Ngu",2011-11-26,2011-11-26,"2011-11-26",11.39,"adult"
"Niese","Nies",2010-10-31,2010-10-31,"2010-10-31",12.47,"adult"
"Nihau","Niha",NA,2017-11-06,"2012-11-01",NA,"adult"
"Nihiru","Nihi",NA,2021-11-09,"2021-11-09",NA,"juvenile"
"Nil","Nil",NA,2011-11-05,"2007-11-05",NA,"adult"
"Nirtjies","Nirt",2015-11-06,2015-11-06,"2015-11-06",7.44,"adult"
"Nkomo","Nko",2021-11-04,2021-11-04,"2021-11-04",1.42,"juvenile"
"Nkosikasi","Nkos",NA,2010-11-11,"2005-11-01",NA,"adult"
"Nkunzi","Nkun",2020-11-19,2020-11-19,"2020-11-19",2.39,"juvenile"
"Noah","Noa",NA,2013-02-09,"2013-02-09",NA,"adult"
"Noktober","Nok",2011-10-26,2011-10-26,"2011-10-26",11.48,"adult"
"Nonnitgie","Non",2018-11-22,2018-11-22,"2018-11-22",4.38,"sub-adult"
"Nooit","Noo",2021-11-09,2021-11-09,"2021-11-09",1.41,"juvenile"
"Nooiens","Nooi",2014-11-28,2014-11-28,"2014-11-28",8.38,"adult"
"Nora","Nora",NA,2021-07-28,"2021-07-28",NA,"juvenile"
"Nuclides","Nucl",2019-11-04,2019-11-04,"2019-11-04",3.43,"juvenile"
"Nugget","Nug",2021-10-26,2021-10-26,"2021-10-26",1.45,"juvenile"
"Nukke","Nuk",2021-10-18,2021-10-18,"2021-10-18",1.47,"juvenile"
"Nul","Nul",2021-10-06,2021-10-06,"2021-10-06",1.5,"juvenile"
"Numbies","Numb",NA,2010-11-09,"2010-11-09",NA,"adult"
"Nurks","Nurk",2012-10-01,2012-10-01,"2012-10-01",10.54,"adult"
"Nuuskierig","Nuu",2017-10-16,2017-10-16,"2017-10-16",5.49,"adult"
"Nyala","Nyal",2021-11-05,2021-11-05,"2021-11-05",1.42,"juvenile"
"Nyanga","Nyan",2014-10-31,2014-10-31,"2014-10-31",8.46,"adult"
"Nyoni","Nyo",2012-10-22,2012-10-22,"2012-10-22",10.48,"adult"
"Oahu","Oahu",NA,2015-01-12,"2015-01-12",NA,"adult"
"Oase","Oase",2022-11-19,2022-11-19,"2022-11-19",0.38,"baby"
"Obelisk","Obe",2014-11-15,2014-11-15,"2014-11-15",8.41,"adult"
"Obsessie","Obse",2017-10-24,2017-10-24,"2017-10-24",5.47,"adult"
"Oerwoud","Oerw",2018-11-09,2018-11-09,"2018-11-09",4.42,"adult"
"Ogies","Ogi",2011-11-02,2011-11-02,"2011-11-02",11.46,"adult"
"Okavango","Oka",NA,2015-05-04,"2011-05-04",NA,"adult"
"Okefenokee","Oke",NA,2021-05-31,"2017-05-31",NA,"adult"
"Okucane","Oku",NA,2011-01-18,"2007-11-01",NA,"adult"
"Oliver","Oli",2009-12-01,2014-02-04,"2009-12-01",13.38,"adult"
"Olona","Olo",NA,2015-04-03,"2011-04-03",NA,"adult"
"Olyf","Olyf",2022-11-15,2022-11-15,"2022-11-15",0.39,"baby"
"Omelet","Ome",2021-11-04,2021-11-04,"2021-11-04",1.42,"juvenile"
"Onbeskof","Onb",2012-10-19,2012-10-19,"2012-10-19",10.49,"adult"
"Oom","Oom",NA,2010-12-24,"2006-12-24",NA,"adult"
"Oortjies","Oort",2015-11-20,2015-11-20,"2015-11-20",7.4,"adult"
"Oscar","Osc",NA,2018-06-07,"2014-06-07",NA,"adult"
"Otter","Ott",2022-12-26,2022-12-26,"2022-12-26",0.28,"baby"
"Ouagadougou","Oua",NA,2019-06-03,"2015-06-03",NA,"adult"
"Oulik","Ouli",NA,2010-11-09,"2010-11-09",NA,"adult"
"Ouma","Ouma",2020-11-18,2020-11-18,"2020-11-18",2.39,"juvenile"
"Oupa","Oup",2020-11-13,2020-11-13,"2020-11-13",2.4,"juvenile"
"Padkos","Padk",2021-10-27,2021-10-27,"2021-10-27",1.45,"juvenile"
"Pale","Pal",NA,2014-12-30,"2012-11-01",NA,"adult"
"Palmela","Palm",2020-12-17,2020-12-17,"2020-12-17",2.31,"juvenile"
"Pandora","Pand",NA,2022-06-28,NA,NA,NA
"Pannekoekie","Pann",NA,2010-12-01,"2010-12-01",NA,"adult"
"Papsak","Pap",2015-11-12,2015-11-12,"2015-11-12",7.42,"adult"
"Papp","Papp",2020-11-04,2020-11-04,"2020-11-04",2.43,"juvenile"
"Paris","Pari",NA,2010-11-08,"2010-11-08",NA,"adult"
"Patlansky","Pat",NA,NA,NA,NA,NA
"Pearl","Pear",NA,2013-04-24,"2013-04-24",NA,"adult"
"Persephone","Pers",NA,2022-11-25,NA,NA,NA
"Pianosa","Pia",NA,2015-09-26,"2011-09-26",NA,"adult"
"Piesang","Pie",2021-10-18,2021-10-18,"2021-10-18",1.47,"juvenile"
"Pieperig","Piep",NA,2013-01-18,"2013-01-18",NA,"adult"
"Pik","Pik",NA,2010-11-09,"2006-11-09",NA,"adult"
"Pikito","Pik",NA,2012-05-09,"2009-11-01",NA,"adult"
"Pikkewyn","Pikk",2022-12-10,2022-12-10,"2022-12-10",0.32,"baby"
"Pink","Pink",NA,2010-12-13,"2010-12-13",NA,"adult"
"Pitcairn","Pit",NA,NA,NA,NA,NA
"Pixsel","Pix",2018-12-20,2018-12-20,"2018-12-20",4.31,"sub-adult"
"Pizza","Piz",NA,2014-12-30,"2013-11-01",NA,"adult"
"Plainjane","Pla",NA,NA,NA,NA,NA
"Plesier","Ples",2014-10-20,2014-10-20,"2014-10-20",8.49,"adult"
"Poeding","Poe",2011-11-11,2011-11-11,"2011-11-11",11.43,"adult"
"Pofferthie","Poff",2018-10-26,2018-10-26,"2018-10-26",4.46,"adult"
"Pointy","Poi",NA,2015-01-12,"2013-04-26",NA,"adult"
"Pointyears","PointyEars",NA,NA,NA,NA,NA
"Pomelo","Pom",2017-10-19,2017-10-19,"2017-10-19",5.48,"adult"
"Poppie","Popp",2020-11-12,2020-11-12,"2020-11-12",2.4,"juvenile"
"Potjie","Potj",2013-11-23,2013-11-23,"2013-11-23",9.39,"adult"
"Praia","Prai",2013-11-19,2013-11-19,"2013-11-19",9.41,"adult"
"Pratella","Prat",2018-11-17,2018-11-17,"2018-11-17",4.4,"adult"
"Pretoria","Pret",NA,2011-12-16,"2011-12-16",NA,"adult"
"Primavera","Prim",2021-10-28,2021-10-28,"2021-10-28",1.44,"juvenile"
"Prinses","Prin",NA,2010-11-09,"2010-11-09",NA,"adult"
"Propriano","Pro",2014-11-19,2014-11-19,"2014-11-19",8.4,"adult"
"Pruszkow","Pru",2015-11-23,2015-11-23,"2015-11-23",7.39,"adult"
"Pruin","Prui",2022-11-22,2022-11-22,"2022-11-22",0.37,"baby"
"Puerto","Pue",2011-12-27,2011-12-27,"2011-12-27",11.31,"adult"
"Puntag","Pun",NA,2018-03-02,"2014-03-02",NA,"adult"
"Puolka","Puol",2015-12-28,2015-12-28,"2015-12-28",7.29,"adult"
"Purper","Pur",2021-11-05,2021-11-05,"2021-11-05",1.42,"juvenile"
"Puymerl","Puym",2018-11-07,NA,"2018-11-07",4.43,"adult"
"Pyeongchang","Pye",2017-10-23,2017-10-23,"2017-10-23",5.47,"adult"
"Queen","Quee",NA,2011-01-19,"2005-11-01",NA,"adult"
"Quito","Qui",NA,2010-12-15,"2007-11-19",NA,"adult"
"Rabat","Raba",2016-11-23,2016-11-23,"2016-11-23",6.39,"adult"
"Radja","Rad",NA,2010-12-13,"2007-11-25",NA,"adult"
"Rafaela","Rafa",2021-11-02,2021-11-02,"2021-11-02",1.43,"juvenile"
"Rakker","Rak",2012-11-16,2012-11-16,"2012-11-16",10.42,"adult"
"Rambouillet","Ram",2018-11-09,2018-11-09,"2018-11-09",4.42,"sub-adult"
"Raspberry","Rasp",NA,2015-11-13,"2011-11-01",NA,"adult"
"Ratel","Rat",2015-11-30,2015-11-30,"2015-11-30",7.37,"adult"
"Redhot","Red",NA,NA,NA,NA,NA
"Redelik","Rede",2014-11-10,2014-11-10,"2014-11-10",8.43,"adult"
"Reenval","Ree",2020-11-24,2020-11-24,"2020-11-24",2.37,"juvenile"
"Reenboog","Reen",2018-12-12,2018-12-12,"2018-12-12",4.33,"adult"
"Regina","Regi",2018-11-15,2018-11-15,"2018-11-15",4.4,"adult"
"Reindeer","Rein",NA,2016-11-01,"2014-11-01",NA,"adult"
"Reno","Ren",2019-11-12,2019-11-12,"2019-11-12",3.41,"juvenile"
"Renee","Rene",2016-11-01,2016-11-01,"2016-11-01",6.45,"adult"
"Rennes","Renn",2013-11-15,2013-11-15,"2013-11-15",9.42,"adult"
"Renoster","Reno",2021-11-15,2021-11-15,"2021-11-15",1.39,"juvenile"
"Revdanda","Rev",2017-11-16,2017-11-16,"2017-11-16",5.4,"adult"
"Reva","Reva",2011-11-21,2011-11-21,"2011-11-21",11.41,"adult"
"Reykjavik","Rey",2015-11-23,2015-11-23,"2015-11-23",7.39,"adult"
"Rheban","Rhe",2012-10-27,2012-10-27,"2012-10-27",10.47,"adult"
"Richard","Ric",2015-11-12,2015-11-12,"2015-11-12",7.42,"adult"
"Ridder","Rid",2018-11-14,2018-11-14,"2018-11-14",4.41,"sub-adult"
"Rimini","Rim",2021-01-11,2021-01-11,"2021-01-11",2.24,"juvenile"
"Rimpel","Rimp",2021-11-18,2021-11-18,"2021-11-18",1.39,"juvenile"
"Rio","Rio",NA,2011-12-16,"2011-12-16",NA,"adult"
"Rioja","Rioj",2017-11-03,2017-11-03,"2017-11-03",5.44,"adult"
"Rishikesh","Ris",2022-12-14,2022-12-14,"2022-12-14",0.31,"baby"
"Rissiepit","Riss",NA,2011-04-26,"2006-11-01",NA,"adult"
"Riversdale","Riv",2020-11-16,2020-11-16,"2020-11-16",2.39,"juvenile"
"Rivas","Riva",2021-11-08,2021-11-08,"2021-11-08",1.41,"juvenile"
"Rivier","Rivi",2020-11-24,2020-11-24,"2020-11-24",2.37,"juvenile"
"Riyadh","Riy",2014-11-04,2014-11-04,"2014-11-04",8.44,"adult"
"Robin","Rob",2016-10-20,2016-10-20,"2016-10-20",6.48,"adult"
"Robben","Robb",NA,2015-09-29,"2015-09-29",NA,"adult"
"Rocky","Roc",2017-10-09,2017-10-09,"2017-10-09",5.51,"adult"
"Rochdale","Roc",2018-11-01,2018-11-01,"2018-11-01",4.44,"sub-adult"
"Roeslare","Roes",2020-11-19,2020-11-19,"2020-11-19",2.39,"juvenile"
"Roma","Roma",NA,2010-11-08,"2010-11-08",NA,"adult"
"Rooikat","Roo",2011-12-05,2011-12-05,"2011-12-05",11.37,"adult"
"Rooibos","Rooi",2022-12-17,2022-12-17,"2022-12-17",0.3,"baby"
"Rosyn","Ros",2022-12-07,2022-12-07,"2022-12-07",0.33,"baby"
"Rosemary","Rose",2011-12-01,NA,"2011-12-01",11.38,"adult"
"Roslin","Rosl",2015-11-23,2015-11-23,"2015-11-23",7.39,"adult"
"Roxanne","Roxa",2014-10-30,2014-10-30,"2014-10-30",8.46,"adult"
"Ruby","Ruby",NA,2012-11-08,"2012-11-08",NA,"adult"
"Rupert","Rup",2014-10-18,2014-10-18,"2014-10-18",8.49,"adult"
"Rusk","Rus",NA,2011-06-04,"2007-06-04",NA,"adult"
"Rustig","Rust",2017-10-21,2017-10-21,"2017-10-21",5.47,"adult"
"Ryan","Rya",NA,2022-07-06,"2018-07-06",NA,"sub-adult"
"Sma","SMA",NA,NA,NA,NA,NA
"Safari","Safa",2014-11-03,2014-11-03,"2014-11-03",8.45,"adult"
"Samoa","Samo",NA,2014-12-31,"2014-12-31",NA,"adult"
"Sampion","Samp",2021-11-22,2021-11-22,"2021-11-22",1.38,"juvenile"
"Sari","Sari",2017-09-30,2017-09-30,"2017-09-30",5.53,"adult"
"Schnauzli","Schn",NA,2016-02-11,"2016-02-11",NA,"adult"
"Selenge","Sel",NA,2012-08-10,"2008-08-10",NA,"adult"
"Seychelles","Sey",NA,2014-12-31,"2014-11-01",NA,"adult"
"Shakespeare","Sha",NA,2012-06-08,"2008-06-08",NA,"adult"
"Shitface","Shi",2011-12-01,2014-01-28,"2011-12-01",11.38,"adult"
"Shongololo","Sho",NA,2020-10-13,"2016-10-13",NA,"adult"
"Siele","Siel",2012-10-01,2012-10-01,"2012-10-01",10.54,"adult"
"Sigaret","Sig",2018-11-09,2018-11-09,"2018-11-09",4.42,"sub-adult"
"Sion","Sio",NA,2021-01-06,"2017-01-06",NA,"adult"
"Sirkus","Sirk",2017-10-21,2017-10-21,"2017-10-21",5.47,"adult"
"Sitrus","Sitr",2021-11-18,2021-11-18,"2021-11-18",1.39,"juvenile"
"Skemer","Skem",2018-11-01,2018-11-01,"2018-11-01",4.44,"adult"
"Skhumbuzo","Skh",NA,2021-06-15,"2017-06-15",NA,"adult"
"Skin","Skin",NA,2010-12-13,"2010-12-13",NA,"adult"
"Skollie","Sko",NA,2010-11-09,"2006-11-09",NA,"adult"
"Slang","Sla",2021-11-09,2021-11-09,"2021-11-09",1.41,"juvenile"
"Smashy","Smas",NA,2015-06-16,"2015-06-16",NA,"adult"
"Snortjie","Snor",NA,2011-04-19,"2011-04-19",NA,"adult"
"Solomon","Sol",NA,2014-12-30,"2010-12-30",NA,"adult"
"Spampounkoeki","Spam",2018-11-01,2018-11-01,"2018-11-01",4.44,"adult"
"Spanspek","Span",2020-11-24,2020-11-24,"2020-11-24",2.37,"juvenile"
"Spek","Spe",2021-11-13,2021-11-13,"2021-11-13",1.4,"juvenile"
"Spotted","Spo",NA,2011-09-29,"2009-11-01",NA,"adult"
"Spook","Spo",NA,2011-10-18,"2011-10-18",NA,"adult"
"Stanley","Sta",NA,2022-07-29,"2018-07-29",NA,"sub-adult"
"Styx","Sty",NA,2012-04-14,"2009-11-01",NA,"adult"
"Sumbawa","Sumb",NA,2015-01-19,"2015-01-19",NA,"adult"
"Suzy","Suzy",NA,2011-06-01,"2011-06-01",NA,"adult"
"Sylinder","Syl",2020-11-24,2020-11-24,"2020-11-24",2.37,"juvenile"
"Symetric","Sym",NA,2015-01-09,"2014-11-01",NA,"adult"
"Talinn","Tal",2011-12-04,2011-12-04,"2011-12-04",11.37,"adult"
