"LH_RowNumber","LH_AnimalID","LH_AnimalCode","OtherID","Sex","EarMark","DOB","FirstDate","DateAdult","CurrentGroup","BirthGroup","LH_MotherID","LH_FatherID","EmigrationNatalDate","ImmigrationGroup1","ImmigrationDate1","LastDate1","ImmigrationGroup2","ImmigrationDate2","LastDate2","ImmigrationGroup3","ImmigrationDate3","LastDate3","ImmigrationGroup4","ImmigrationDate4","LastDate4","ReliableData","Comments","AnimalID_Std"
112,"Hwahwaza","Hwa",NA,"M",NA,2011-09-16,2011-09-16,NA,NA,"AK","Hamba","Sanbonani",2016-06-04,"BD",2016-06-08,2017-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen once more in BD in Jan 2018","Hwahwaza"
113,"Amy Winehouse","Amyw",NA,"F",NA,NA,2011-09-29,NA,NA,"RC",NA,NA,NA,NA,NA,2011-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Amywinehouse"
114,"Bruce Springsteen","Bru",NA,"M",NA,NA,2011-09-29,NA,NA,NA,NA,NA,NA,"RC",NA,2011-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Only one record of him","Brucespringsteen"
115,"SF1",NA,NA,"F",NA,NA,2011-09-29,NA,NA,"RC",NA,NA,NA,NA,NA,2011-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Sf1"
116,"Spotted","Spo",NA,"M",NA,NA,2011-09-29,NA,NA,"RC",NA,NA,2011-11-25,NA,NA,2011-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Probably born in 2008","Spotted"
117,"Vasco Rossi","Vas",NA,"M","2",NA,2011-09-29,NA,NA,NA,NA,NA,NA,"RC",NA,2011-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Vascorossi"
118,"Vincent","Vin","Darkface","M",NA,NA,2011-10-01,NA,NA,"LT","Victoria","Voldemort",2016-12-22,"BD",2017-02-13,2018-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in Oct 2011","Vincent"
119,"Giya","Giy",NA,"M",NA,2011-10-07,2011-10-07,NA,NA,"AK","Gagasa","Sanbonani",2013-09-18,NA,NA,2013-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably dead","Giya"
120,"Spook","Spo",NA,"M",NA,NA,2011-10-18,NA,NA,"BD","Snortjie","Pik",2016-06-16,"CR",2016-06-23,2018-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOB unconfirmed","Spook"
121,"Cindy Lauper","Cind",NA,"F",NA,NA,2011-10-26,NA,NA,"RC",NA,NA,NA,NA,NA,2011-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Cindylauper"
122,"Noktober","Nok",NA,"M",NA,2011-10-26,2011-10-26,NA,NA,"BD","Numbies","Pik",2016-06-11,"CR",2016-06-15,2017-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Disappeared from CR, probably migrated, ","Noktober"
123,"Lome","Lom",NA,"M",NA,2011-10-27,2011-10-27,NA,NA,"NH","Lausanne",NA,2016-05-31,"5males",2016-07-14,2016-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen 14/07/2016 in gp of 5 sub males","Lome"
124,"Upside down",NA,NA,"M",NA,NA,2011-10-28,NA,NA,"RC",NA,NA,2011-10-31,NA,NA,2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Upsidedown"
125,"Modjadji","Modj",NA,"F",NA,2011-10-31,2011-10-31,NA,NA,"AK","Mamoobi",NA,NA,NA,NA,2012-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably dead, in logbook 2 months later but probably an error","Modjadji"
126,"Bamako","Bam",NA,"M",NA,2011-11-01,2011-11-01,NA,NA,"NH","Bogota",NA,2013-02-21,NA,NA,2013-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Bamako"
127,"Evanescence","Evan",NA,"F",NA,NA,2011-11-01,NA,NA,"RC",NA,NA,NA,NA,NA,2011-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Evanescence"
128,"Ogies","Ogi",NA,"M","22",2011-11-02,2011-11-02,NA,NA,"BD","Oulik","Lekker",2016-06-03,"CR",2016-06-10,2018-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded a few more times in BD months after official dept date, but maybe errors, seen on last day CR followed 2018/07/20","Ogies"
129,"Arthur","Art",NA,"M",NA,NA,2011-11-03,NA,NA,NA,NA,NA,NA,"LT",2011-11-03,2012-02-14,"AK",2012-04-19,2012-04-30,"BD",2012-07-25,2014-05-20,NA,NA,NA,NA,"Immigrated from LT to AK between 14/02/2012-20/04, seen in LT on 22/05/12 & 02/07/12, was only officially recorded in AK twice…","Arthur"
130,"Nil","Nil",NA,"M","2",NA,2011-11-05,NA,NA,NA,NA,NA,NA,"KB",2011-11-05,2014-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Nil"
131,"Akkedis","Akk",NA,"M",NA,2011-11-07,2011-11-07,NA,NA,"BD","Asis","Lekker",2016-05-28,"CR",2016-06-10,2018-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen on last day CR followed 2018/07/20","Akkedis"
132,"Idwala","Idwa",NA,"F",NA,2011-11-10,2011-11-10,NA,NA,"AK","Isilonda","Sanbonani",2016-02-29,"IFamily",NA,2016-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last seen with Ifamily","Idwala"
133,"Poeding","Poe",NA,"M",NA,2011-11-11,2011-11-11,NA,NA,"BD","Prinses","Lekker",2016-06-11,"CR",2016-06-15,2018-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recordmany times in BD after dept date, unclear if errors (almost all by same observer), seen on last day CR followed 2018/07/20","Poeding"
134,"Gaya","Gaya",NA,"F",NA,2011-11-14,2011-11-14,NA,"NH","NH","Geneva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Gaya"
135,"Vakie","Vak",NA,"M",NA,2011-11-17,2011-11-17,NA,NA,"BD","Vroutjie",NA,2017-03-11,NA,NA,2017-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Vakie"
136,"Juneau","Jun",NA,"M",NA,2011-11-20,2011-11-20,NA,NA,"NH","Jakarta",NA,2016-04-12,"Ifamily",2016-04-14,2016-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last seen in Ifamily, no data on exactly when he left, but before April 2017","Juneau"
137,"Byron","Byr","SMC;Mini-Elton","M",NA,NA,2011-11-21,NA,NA,"LT",NA,NA,2013-10-22,NA,NA,2013-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2007","Byron"
138,"Charles","Cha","Little Charles;JB","M",NA,NA,2011-11-21,NA,NA,"LT",NA,NA,2013-12-09,NA,NA,2013-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2008","Charles"
139,"Reva","Reva",NA,"F",NA,2011-11-21,2011-11-21,NA,NA,"NH","Roma","Milano",NA,"Rfamily",NA,2021-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Disappeared with Rennes, Roslin and Lima","Reva"
140,"Ububhibhi","Ubu",NA,"M",NA,2011-11-21,2011-11-21,NA,NA,"AK","Ulaka",NA,2016-05-24,"BD",2016-05-28,2020-06-06,"CR",2020-06-16,NA,NA,NA,NA,NA,NA,NA,NA,"He was recorded in Cr on the 16/06/2020 (not sure about the exact immigration date into cr because cr was not followed regularly","Ububhibhi"
141,"Baby Hak 2011","BHak11",NA,"M",NA,2011-11-22,2011-11-22,NA,NA,"BD","Hakie",NA,2011-12-05,NA,NA,2011-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Babyhak2011"
142,"Ngubu","Ngu",NA,"M",NA,2011-11-26,2011-11-26,NA,NA,"AK","Nkosikasi",NA,2013-07-06,NA,NA,2013-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably dead","Ngubu"
143,"Xeres","Xer",NA,"M",NA,2011-11-29,2011-11-29,NA,NA,"NH","XaiXai",NA,2016-04-07,NA,NA,2016-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Xeres"
144,"Ulundi","Ulu",NA,"M",NA,2011-12-01,2011-12-01,NA,NA,"NH","Uppsala",NA,2016-05-14,"5males",2016-07-14,2016-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen 14/07/2016 in gp of 5 sub males","Ulundi"
145,"Zion","Zio",NA,"M","1",2011-12-02,2011-12-02,NA,NA,"NH","Zara",NA,2016-02-24,NA,NA,2016-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Zion"
146,"Talinn","Tal",NA,"M","20",2011-12-04,2011-12-04,NA,NA,"NH","Troia","Milano",2016-04-21,"Iceland",NA,2016-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Split group","Talinn"
147,"Rooikat","Roo",NA,"M",NA,2011-12-05,2011-12-05,NA,NA,"BD","Rissiepit",NA,2017-04-27,"CR",2017-05-10,2018-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded once more in BD after dept date, unclear if error, seen on last day CR followed 2018/07/20","Rooikat"
148,"Koninging","Koni",NA,"F",NA,NA,2011-12-09,NA,NA,"BD","Kaiki",NA,2013-01-07,"InBetweeners",NA,2014-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Formed new group Inbetweeners","Koninging"
149,"Watnou","Watn",NA,"F",NA,NA,2011-12-09,NA,NA,"BD","Wietnie",NA,NA,NA,NA,2013-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born 2011, Presumed dead","Watnou"
150,"Brasilia","Bras",NA,"F",NA,NA,2011-12-16,NA,NA,"NH","Bogota",NA,2016-04-13,"Iceland",NA,2016-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNK birth date + Split group","Brasilia"
151,"Emma","Emma",NA,"F",NA,NA,2011-12-16,NA,NA,"LT",NA,NA,NA,NA,NA,2013-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Emma"
152,"Lhassa","Lhas",NA,"F",NA,NA,2011-12-16,NA,NA,"NH","Lausanne",NA,2016-04-04,"Iceland",NA,2016-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Split group","Lhassa"
153,"Neuchatel","Neu","M10","M","10",NA,2011-12-16,NA,NA,"NH",NA,NA,2014-05-08,"BD",2014-06-09,2020-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Neuchatel"
154,"Pretoria","Pret",NA,"F","3",NA,2011-12-16,NA,"NH","NH","Paris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Pretoria"
155,"Rio","Rio",NA,"M",NA,NA,2011-12-16,NA,NA,"NH","Roma",NA,2015-11-30,NA,NA,2015-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Rio"
156,"Toronto","Tor",NA,"M","1",NA,2011-12-16,NA,NA,"NH","Troia",NA,2014-06-11,"BD",2014-06-16,2016-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Toronto"
157,"Victoria","Vict",NA,"F",NA,NA,2011-12-16,NA,NA,"LT",NA,NA,2015-04-09,"FirstLTsplinter",NA,2015-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last seen in splinter group in november 2015","Victoria"
158,"Zeerust","Zee",NA,"M","16",NA,2011-12-16,NA,NA,"NH","Zara",NA,2015-02-24,NA,NA,2015-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Zeerust"
159,"Zurich","Zur",NA,"M","20",NA,2011-12-16,NA,NA,"NH","Zara","Milano",2014-05-26,"BD",2014-06-03,2016-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Zurich"
160,"Puerto","Pue",NA,"M",NA,2011-12-27,2011-12-27,NA,NA,"NH","Paris",NA,2016-06-21,"5males",2016-07-14,2016-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen 14/07/2016 in gp of 5 sub males","Puerto"
161,"Baby Moo 2011","BMoo11",NA,NA,NA,2012-01-23,2012-01-23,NA,NA,"BD","Mooi",NA,NA,NA,NA,2012-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Babymoo2011"
162,"Bongani","Bon",NA,"M",NA,NA,2012-01-28,NA,NA,NA,NA,NA,NA,"AK",NA,2013-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Bongani"
163,"Ghangaan","Ghan",NA,"F",NA,NA,2012-01-28,NA,NA,"AK","Gagasa","Sanbonani",NA,NA,NA,2015-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2009;last seen crossing fence with newborn, presumed dead","Ghangaan"
164,"Govu","Gov",NA,"M",NA,NA,2012-01-28,NA,NA,"AK","Gagasa","Sanbonani",2013-12-19,"Intaka",2014-01-31,2014-06-13,"NH",2014-06-20,2017-02-27,"CR",2017-03-01,2017-03-23,NA,NA,NA,NA,"Probably born in 2008, seen once in CR in Dec 2016, recorded once more in IN in Sept 14","Govu"
165,"Hleka","Hlek",NA,"F",NA,NA,2012-01-28,NA,NA,"AK","Hamba",NA,NA,NA,NA,2015-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2009; probably dead body not found","Hleka"
166,"Inhlanhla","Inhl",NA,"F",NA,NA,2012-01-28,NA,"IF","AK","Isilonda","Sanbonani",2016-02-29,"IFamily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2009, last seen in Ifamily 29/06/2016 . Occassionally seen during encounter. On the 07/2022 I-F was followed again.","Inhlanhla"
167,"Izulu","Izu",NA,"M",NA,NA,2012-01-28,NA,NA,"AK","Isilonda",NA,2013-03-23,NA,NA,2013-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2008","Izulu"
168,"Mnandi","Mna",NA,"M",NA,NA,2012-01-28,NA,NA,"AK","Mamoobi","Sanbonani",2015-01-14,"LT",2015-01-19,2018-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2009, seen once in LT on 05/01/15 before official migration date","Mnandi"
169,"Voldemort","Vol",NA,"M",NA,NA,2012-02-03,NA,NA,NA,NA,NA,NA,"LT",2012-02-03,2014-06-03,"AK",2014-06-09,2015-12-30,NA,NA,NA,NA,NA,NA,NA,"Unclear if 1st seen is same as immigrated","Voldemort"
170,"Ahekinkinga","Ahe",NA,"M",NA,NA,2010-12-18,NA,NA,NA,NA,NA,NA,"AK",2010-12-18,2012-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ahekinkinga"
171,"Auckland","Auc",NA,"M",NA,NA,2012-02-27,NA,NA,NA,NA,NA,NA,"NH",2012-02-27,2014-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012/04/04 is first time officially recorded in NH in logbook (as ""soft n fluffy"")","Auckland"
172,"Amazon","Amaz",NA,"F","10",NA,2012-03-13,NA,NA,"KB",NA,NA,NA,NA,NA,2015-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Amazon"
173,"Tanganika","Tang",NA,"F","20",NA,2012-03-13,NA,NA,"KB",NA,NA,NA,NA,NA,2015-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Body not found, presumed dead","Tanganika"
174,"Curaco","Cur","Spot","M",NA,NA,2012-04-14,NA,NA,"KB",NA,NA,2012-04-14,NA,NA,2012-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Probably born 2010; also unclearif mistaken for another juvenile - would NOT recommend using his data\","Curaco"
175,"Styx","Sty","Little Evil","M",NA,NA,2012-04-14,NA,NA,"KB",NA,NA,2014-05-12,"NH",2014-05-24,2016-03-29,"Iceland",NA,2016-07-12,NA,NA,NA,NA,NA,NA,NA,"Probably born 2009; left NH with split to form Iceland","Styx"
176,"Nala","Nala",NA,"F",NA,NA,2012-04-18,NA,NA,"LT",NA,NA,NA,NA,NA,2015-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born 2008, fate unknown, presumed dead","Nala"
177,"Tweed","Twe","Fluffy","M","3",NA,2012-04-20,NA,NA,"KB",NA,NA,2014-05-10,"NH",2014-05-24,2019-09-06,"AK",2020-04-02,2020-10-01,NA,NA,NA,NA,NA,NA,NA,"Probably born Dec 2010.","Tweed"
178,"Chernobyl","Che",NA,"M",NA,NA,2012-04-28,NA,NA,NA,NA,NA,NA,"NH",2012-04-28,2014-05-26,"BD",2014-06-09,2016-08-06,NA,NA,NA,NA,NA,NA,NA,"Seen once in NH on 2014/07/29, unclear if error or not, 2012/05/08 is first time recorded officially in NH in logbook; seen 3 times after official BD dept date but over 5 months so unclear if errors or not  ","Chernobyl"
179,"Amur","Amur",NA,"F",NA,NA,2012-05-09,NA,NA,"KB","Amazon",NA,NA,NA,NA,2018-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born Dec 2011; Probably dead, body not found.","Amur"
180,"Medjerda","Med",NA,"M",NA,NA,2012-05-09,NA,NA,NA,NA,NA,NA,"KB",NA,2013-06-19,"KB",2014-02-20,2015-12-15,NA,NA,NA,NA,NA,NA,"No","left KB for unk group then later returned, briefly named ""Oo"" before recognised as Med, disappeared with 'Z' matriline and 'Pearl' (LAlm), presumably to form new split group","Medjerda"
181,"Pikito","Pik",NA,"M",NA,NA,2012-05-09,NA,NA,"KB",NA,NA,2014-01-28,NA,NA,2014-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2009","Pikito"
182,"Zambezi","Zam",NA,"M",NA,NA,2012-05-09,NA,NA,"KB","Zeia","Nile",2015-06-22,NA,NA,2015-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born Dec 2011; likely migrated to unk group","Zambezi"
183,"Gelosi","Gel",NA,"M",NA,NA,2012-05-14,NA,NA,"AK","Gagasa",NA,2012-06-01,"LT",2012-06-04,2013-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2007","Gelosi"
184,"Heleza","Hele",NA,"F",NA,NA,2012-05-14,NA,NA,"AK","Hamba","Sanbonani",NA,NA,NA,2014-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prob born in 2008; disappeared with fresh wounds (broken tail), no body found, presumed dead","Heleza"
185,"Mpukuvane","Mpu",NA,"M",NA,NA,2012-05-14,NA,NA,"AK","Mamoobi",NA,2013-05-16,NA,NA,2013-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2008","Mpukuvane"
186,"Danube","Dan",NA,"M","10",NA,2012-05-25,NA,NA,NA,NA,NA,NA,"KB",NA,2014-05-12,"BD",2014-05-28,2014-08-30,"IN",2014-09-08,2015-06-20,"AK",2015-06-24,2015-10-13,NA,"","Danube"
187,"Shakespeare","Sha","Ouagadougou","M",NA,NA,2012-06-08,NA,NA,NA,NA,NA,NA,"LT",2012-06-08,2015-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Unclear if 1st seen is same as immigrated. Oua was originally called Shakespeare in tablet - an ID error - he is not Shakespeare from LT","Shakespeare"
188,"Edward","Edw",NA,"M",NA,NA,2012-06-12,NA,NA,NA,NA,NA,NA,"LT",2012-06-12,2014-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear if 1st seen is same as immigrated","Edward"
189,"Tugela","Tug",NA,"M",NA,NA,2012-07-03,NA,NA,"KB","Tanganika","Danube",2015-07-23,NA,NA,2015-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born Dec 2011; likely migrated to unk group","Tugela"
190,"Darwin","Dar","Zazoo","M",NA,NA,2012-07-31,NA,NA,"LT",NA,NA,2016-09-02,NA,NA,2016-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2010","Darwin"
191,"Nessie","Ness",NA,"F",NA,NA,2012-08-01,NA,NA,"KB",NA,NA,NA,NA,NA,2020-09-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born Dec 2011, died Sep2020. posssibly by Caracal","Nessie"
192,"Uvac","Uva",NA,"M",NA,NA,2012-08-01,NA,NA,NA,NA,NA,NA,"KB",NA,2015-02-13,"Intaka",2015-02-19,2016-06-15,NA,NA,NA,NA,NA,NA,NA,"May have remained with Intaka longer, but group not followed","Uvac"
193,"Selenge","Sel",NA,"M",NA,NA,2012-08-10,NA,NA,NA,NA,NA,NA,"KB",NA,2013-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Selenge"
194,"Double Spot","Dou",NA,"M",NA,NA,2012-08-13,NA,NA,"KB",NA,NA,2014-05-10,NA,NA,2014-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born Dec 2009","Doublespot"
195,"Zeia","Zeia","Jucar","F",NA,NA,2012-08-31,NA,NA,"KB",NA,NA,2015-12-15,"KBSplit",NA,2015-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Had baby in 2015 but it died- carried for >/= 1day","Zeia"
196,"Hola","Hol",NA,"M",NA,2012-09-11,2012-09-11,NA,NA,"AK","Hamba","Sanbonani",2018-02-15,NA,NA,2018-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hola"
197,"Lennon","Len",NA,"M",NA,2012-09-19,2012-09-19,NA,NA,"LT","Lizz",NA,2018-02-10,NA,NA,2018-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Lennon"
198,"Yoogali","Yoog",NA,"F","20",2012-09-22,2012-09-22,NA,NA,"NH","Yaounde",NA,2016-04-19,"Iceland",NA,2016-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Split group","Yoogali"
199,"Valerie","Vale","Squishy","F",NA,2012-09-24,2012-09-24,NA,NA,"LT","Victoria",NA,NA,NA,NA,2015-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fate unknown","Valerie"
200,"Baby Dag 2012","BDag12",NA,"M",NA,2012-09-25,2012-09-25,NA,NA,"BD","Dagga",NA,2012-11-29,"InBetweeners",NA,2012-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumably was in new split group with mother","Babydag2012"
201,"Baby Cam 2012","BCam12",NA,NA,NA,2012-09-29,2012-09-29,NA,NA,"LT","Camilla",NA,NA,NA,NA,2013-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fate unknown","Babycam2012"
202,"Geleza","Gele",NA,"F",NA,2012-09-29,2012-09-29,NA,NA,"AK","Gagasa","Yster",NA,NA,NA,2018-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gele was eaten by rock python 22nd-23rd Jan ","Geleza"
203,"Bullebak","Bul",NA,"M",NA,2012-10-01,2012-10-01,NA,NA,"BD","Beminde",NA,2017-12-07,NA,NA,2017-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded a few more times in BD months after official dept date, but maybe errors","Bullebak"
204,"Nurks","Nurk",NA,"F",NA,2012-10-01,2012-10-01,NA,"BD","BD","Numbies","Pik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Nurks"
205,"Siele","Siel",NA,"F",NA,2012-10-01,2012-10-01,NA,NA,"BD","Snortjie","Pik",NA,NA,NA,2022-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Siele"
206,"Baby Emm 2012","BEmm12",NA,"M",NA,2012-10-08,2012-10-08,NA,NA,"LT","Emma",NA,2013-05-22,NA,NA,2013-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fate unknown","Babyemm2012"
207,"Delilah","Deli","Rainbow","F",NA,2012-10-08,2012-10-08,NA,"LT","LT","Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Delilah"
208,"Baby Tip 2012","BTip12",NA,NA,NA,2012-10-09,2012-10-09,NA,NA,"BD","Tipies",NA,2012-11-13,"InBetweeners",NA,2012-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumably was in new split group with mother","Babytip2012"
209,"Ijinja","Iji",NA,"M",NA,2012-10-09,2012-10-09,NA,NA,"AK","Isilonda","Sanbonani",2016-03-03,"Ifamily",NA,2016-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.06.2016 = last recorded date of IFamily","Ijinja"
210,"Garoua","Gar",NA,"M","20",2012-10-11,2012-10-11,NA,NA,"NH","Geneva",NA,2016-06-23,"5males",2016-07-14,2016-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen 14/07/2016 in gp of 5 sub males","Garoua"
211,"Tirroan","Tir",NA,"M",NA,2012-10-11,2012-10-11,NA,NA,"NH","Troia","Auckland",2017-12-30,NA,NA,2017-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen again in NH 04/01/2018 being chased by NH mon","Tirroan"
212,"Heyi","Hey",NA,"M",NA,2012-10-15,2012-10-15,NA,NA,"AK","Heleza","Yster",2017-04-24,NA,NA,2017-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Heyi"
213,"Jillin","Jill",NA,"F",NA,2012-10-15,2012-10-15,NA,NA,"NH","Jakarta",NA,2016-04-19,"Iceland",NA,2016-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Split group","Jillin"
214,"Mungunya","Mun",NA,"M",NA,2012-10-15,2012-10-15,NA,NA,"AK","Mamoobi","Arthur",2016-01-09,NA,NA,2016-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"probably dead, body not found","Mungunya"
215,"Baby Bog 2012","BBog12",NA,"F",NA,2012-10-18,2012-10-18,NA,NA,"NH","Bogota",NA,NA,NA,NA,2012-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baby not seen after grp encounter with BD","Babybog2012"
216,"Wurm","Wur",NA,"M",NA,2012-10-18,2012-10-18,NA,NA,"BD","Wietnie","Rusk",2018-05-31,NA,NA,2018-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded a few more times in BD months after official dept date, but maybe errors","Wurm"
217,"Baby Upp 2012","BUpp12",NA,"M",NA,2012-10-19,2012-10-19,NA,NA,"NH","Uppsala",NA,2012-11-03,NA,NA,2012-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead, no body","Babyupp2012"
218,"Onbeskof","Onb",NA,"M",NA,2012-10-19,2012-10-19,NA,NA,"BD","Oulik","Pik",2016-03-11,NA,NA,2016-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Onbeskof"
219,"Hippie","Hipp",NA,"F",NA,2012-10-22,2012-10-22,NA,NA,"BD","Hakie","Pik",NA,NA,NA,2020-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assume that she died","Hippie"
220,"Nyoni","Nyo",NA,"M",NA,2012-10-22,2012-10-22,NA,NA,"AK","Nkosikasi","Yster",2017-05-16,"BD",2017-05-16,2018-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Nyoni"
