"LH_RowNumber","AnimalCode","AnimalName","OtherID","Sex","DOB","FirstDate","DOB_estimate","Age_yr","Age_class","Group_mb","StartDate_mb","EndDate_mb","Tenure_type","Mother","Father","ReliableData","Fate_probable","Comments"
178,"Che","Chernobyl",NA,"M",NA,"2012-04-28","2008-04-28",NA,"adult","NH","2012-04-28","2014-05-26","MigrationGroup1",NA,NA,NA,NA,"Seen once in NH on 2014/07/29, unclear if error or not, 2012/05/08 is first time recorded officially in NH in logbook; seen 3 times after official BD dept date but over 5 months so unclear if errors or not  "
179,"Amur","Amur",NA,"F",NA,"2012-05-09","2012-05-09",NA,"adult","KB","2012-05-09","2018-12-08","BirthGroup","Amazon",NA,NA,"dead","Born Dec 2011; Probably dead, body not found."
180,"Med","Medjerda",NA,"M",NA,"2012-05-09","2008-05-09",NA,"adult","KB","2014-02-20","2015-12-15","MigrationGroup2",NA,NA,"No",NA,"left KB for unk group then later returned, briefly named ""Oo"" before recognised as Med, disappeared with 'Z' matriline and 'Pearl' (LAlm), presumably to form new split group"
180,"Med","Medjerda",NA,"M",NA,"2012-05-09","2008-05-09",NA,"adult","KB","2012-05-09","2013-06-19","MigrationGroup1",NA,NA,"No",NA,"left KB for unk group then later returned, briefly named ""Oo"" before recognised as Med, disappeared with 'Z' matriline and 'Pearl' (LAlm), presumably to form new split group"
181,"Pik","Pikito",NA,"M",NA,"2012-05-09","2010-01-28",NA,"adult","KB","2012-05-09","2014-01-28","BirthGroup",NA,NA,NA,NA,"Probably born in 2009"
182,"Zam","Zambezi",NA,"M",NA,"2012-05-09","2012-05-09",NA,"adult","KB","2012-05-09","2015-06-22","BirthGroup","Zeia","Nile",NA,"migrated","Born Dec 2011; likely migrated to unk group"
183,"Gel","Gelosi",NA,"M",NA,"2012-05-14","2008-06-01",NA,"adult","LT","2012-06-04","2013-10-28","MigrationGroup1","Gagasa",NA,NA,NA,"Probably born in 2007"
183,"Gel","Gelosi",NA,"M",NA,"2012-05-14","2008-06-01",NA,"adult","AK","2012-05-14","2012-06-01","BirthGroup","Gagasa",NA,NA,NA,"Probably born in 2007"
184,"Hele","Heleza",NA,"F",NA,"2012-05-14","2012-05-14",NA,"adult","AK","2012-05-14","2014-11-01","BirthGroup","Hamba","Sanbonani",NA,"dead","Prob born in 2008; disappeared with fresh wounds (broken tail), no body found, presumed dead"
185,"Mpu","Mpukuvane",NA,"M",NA,"2012-05-14","2009-05-16",NA,"adult","AK","2012-05-14","2013-05-16","BirthGroup","Mamoobi",NA,NA,NA,"Probably born in 2008"
186,"Dan","Danube",NA,"M",NA,"2012-05-25","2008-05-25",NA,"adult","AK","2015-06-24","2015-10-13","MigrationGroup4",NA,NA,NA,NA,NA
186,"Dan","Danube",NA,"M",NA,"2012-05-25","2008-05-25",NA,"adult","IN","2014-09-08","2015-06-20","MigrationGroup3",NA,NA,NA,NA,NA
186,"Dan","Danube",NA,"M",NA,"2012-05-25","2008-05-25",NA,"adult","BD","2014-05-28","2014-08-30","MigrationGroup2",NA,NA,NA,NA,NA
186,"Dan","Danube",NA,"M",NA,"2012-05-25","2008-05-25",NA,"adult","KB","2012-05-25","2014-05-12","MigrationGroup1",NA,NA,NA,NA,NA
187,"Sha","Shakespeare","Ouagadougou","M",NA,"2012-06-08","2008-06-08",NA,"adult","LT","2012-06-08","2015-02-23","MigrationGroup1",NA,NA,"No","migrated","Unclear if 1st seen is same as immigrated. Oua was originally called Shakespeare in tablet - an ID error - he is not Shakespeare from LT"
188,"Edw","Edward",NA,"M",NA,"2012-06-12","2008-06-12",NA,"adult","LT","2012-06-12","2014-11-12","MigrationGroup1",NA,NA,NA,"migrated","Unclear if 1st seen is same as immigrated"
189,"Tug","Tugela",NA,"M",NA,"2012-07-03","2012-07-03",NA,"adult","KB","2012-07-03","2015-07-23","BirthGroup","Tanganika","Danube",NA,"migrated","Born Dec 2011; likely migrated to unk group"
190,"Dar","Darwin","Zazoo","M",NA,"2012-07-31","2012-07-31",NA,"adult","LT","2012-07-31","2016-09-02","BirthGroup",NA,NA,NA,NA,"Born in 2010"
191,"Ness","Nessie",NA,"F",NA,"2012-08-01","2012-08-01",NA,"adult","KB","2012-08-01","2020-09-23","BirthGroup",NA,NA,NA,"dead","Born Dec 2011, died Sep2020. posssibly by Caracal"
192,"Uva","Uvac",NA,"M",NA,"2012-08-01","2008-08-01",NA,"adult","Intaka","2015-02-19","2016-06-15","MigrationGroup2",NA,NA,NA,NA,"May have remained with Intaka longer, but group not followed"
192,"Uva","Uvac",NA,"M",NA,"2012-08-01","2008-08-01",NA,"adult","KB","2012-08-01","2015-02-13","MigrationGroup1",NA,NA,NA,NA,"May have remained with Intaka longer, but group not followed"
193,"Sel","Selenge",NA,"M",NA,"2012-08-10","2008-08-10",NA,"adult","KB","2012-08-10","2013-04-03","MigrationGroup1",NA,NA,NA,NA,NA
194,"Dou","Double Spot",NA,"M",NA,"2012-08-13","2010-05-10",NA,"adult","KB","2012-08-13","2014-05-10","BirthGroup",NA,NA,NA,NA,"Probably born Dec 2009"
195,"Zeia","Zeia","Jucar","F",NA,"2012-08-31","2012-08-31",NA,"adult","KB","2012-08-31","2015-12-15","BirthGroup",NA,NA,NA,"dead","Had baby in 2015 but it died- carried for >/= 1day"
195,"Zeia","Zeia","Jucar","F",NA,"2012-08-31","2012-08-31",NA,"adult","KBSplit","2015-12-15","2015-12-15","GroupSplit",NA,NA,NA,"dead","Had baby in 2015 but it died- carried for >/= 1day"
196,"Hol","Hola",NA,"M","2012-09-11","2012-09-11","2012-09-11",11.18,"adult","AK","2012-09-11","2018-02-15","BirthGroup","Hamba","Sanbonani",NA,NA,NA
197,"Len","Lennon",NA,"M","2012-09-19","2012-09-19","2012-09-19",11.16,"adult","LT","2012-09-19","2018-02-10","BirthGroup","Lizz",NA,NA,NA,NA
198,"Yoog","Yoogali",NA,"F","2012-09-22","2012-09-22","2012-09-22",11.15,"adult","NH","2012-09-22","2016-04-19","BirthGroup","Yaounde",NA,NA,NA,"Split group"
198,"Yoog","Yoogali",NA,"F","2012-09-22","2012-09-22","2012-09-22",11.15,"adult","Iceland","2016-04-19","2016-06-25","GroupSplit","Yaounde",NA,NA,NA,"Split group"
199,"Vale","Valerie","Squishy","F","2012-09-24","2012-09-24","2012-09-24",11.14,"adult","LT","2012-09-24","2015-05-21","BirthGroup","Victoria",NA,NA,NA,"Fate unknown"
200,"BDag12","Baby Dag 2012",NA,"M","2012-09-25","2012-09-25","2012-09-25",11.14,"adult","BD","2012-09-25","2012-11-29","BirthGroup","Dagga",NA,NA,NA,"Presumably was in new split group with mother"
200,"BDag12","Baby Dag 2012",NA,"M","2012-09-25","2012-09-25","2012-09-25",11.14,"adult","InBetweeners","2012-11-29","2012-11-29","GroupSplit","Dagga",NA,NA,NA,"Presumably was in new split group with mother"
201,"BCam12","Baby Cam 2012",NA,NA,"2012-09-29","2012-09-29","2012-09-29",11.13,"adult",NA,NA,NA,NA,"Camilla",NA,NA,NA,"Fate unknown"
202,"Gele","Geleza",NA,"F","2012-09-29","2012-09-29","2012-09-29",11.13,"adult","AK","2012-09-29","2018-01-23","BirthGroup","Gagasa","Yster",NA,NA,"Gele was eaten by rock python 22nd-23rd Jan "
203,"Bul","Bullebak",NA,"M","2012-10-01","2012-10-01","2012-10-01",11.12,"adult","BD","2012-10-01","2017-12-07","BirthGroup","Beminde",NA,NA,NA,"Recorded a few more times in BD months after official dept date, but maybe errors"
204,"Nurk","Nurks",NA,"F","2012-10-01","2012-10-01","2012-10-01",11.12,"adult","BD","2012-10-01","2023-11-16","BirthGroup","Numbies","Pik",NA,NA,NA
205,"Siel","Siele",NA,"F","2012-10-01","2012-10-01","2012-10-01",11.12,"adult","BD","2012-10-01","2022-04-13","BirthGroup","Snortjie","Pik",NA,NA,NA
206,"BEmm12","Baby Emm 2012",NA,"M","2012-10-08","2012-10-08","2012-10-08",11.1,"adult","LT","2012-10-08","2013-05-22","BirthGroup","Emma",NA,NA,NA,"Fate unknown"
207,"Deli","Delilah","Rainbow","F","2012-10-08","2012-10-08","2012-10-08",11.1,"adult","LT","2012-10-08","2023-11-16","BirthGroup","Diana",NA,NA,NA,NA
208,"BTip12","Baby Tip 2012",NA,NA,"2012-10-09","2012-10-09","2012-10-09",11.1,"adult",NA,NA,NA,NA,"Tipies",NA,NA,NA,"Presumably was in new split group with mother"
209,"Iji","Ijinja",NA,"M","2012-10-09","2012-10-09","2012-10-09",11.1,"adult","AK","2012-10-09","2016-03-03","BirthGroup","Isilonda","Sanbonani",NA,NA,"29.06.2016 = last recorded date of IFamily"
209,"Iji","Ijinja",NA,"M","2012-10-09","2012-10-09","2012-10-09",11.1,"adult","IFamily","2016-03-03","2016-06-29","GroupSplit","Isilonda","Sanbonani",NA,NA,"29.06.2016 = last recorded date of IFamily"
210,"Gar","Garoua",NA,"M","2012-10-11","2012-10-11","2012-10-11",11.1,"adult","5males","2016-07-14","2016-07-14","MigrationGroup1","Geneva",NA,NA,NA,"seen 14/07/2016 in gp of 5 sub males"
210,"Gar","Garoua",NA,"M","2012-10-11","2012-10-11","2012-10-11",11.1,"adult","NH","2012-10-11","2016-06-23","BirthGroup","Geneva",NA,NA,NA,"seen 14/07/2016 in gp of 5 sub males"
211,"Tir","Tirroan",NA,"M","2012-10-11","2012-10-11","2012-10-11",11.1,"adult","NH","2012-10-11","2017-12-30","BirthGroup","Troia","Auckland",NA,NA,"seen again in NH 04/01/2018 being chased by NH mon"
212,"Hey","Heyi",NA,"M","2012-10-15","2012-10-15","2012-10-15",11.09,"adult","AK","2012-10-15","2017-04-24","BirthGroup","Heleza","Yster",NA,NA,NA
213,"Jill","Jillin",NA,"F","2012-10-15","2012-10-15","2012-10-15",11.09,"adult","NH","2012-10-15","2016-04-19","BirthGroup","Jakarta",NA,NA,NA,"Split group"
213,"Jill","Jillin",NA,"F","2012-10-15","2012-10-15","2012-10-15",11.09,"adult","Iceland","2016-04-19","2016-07-12","GroupSplit","Jakarta",NA,NA,NA,"Split group"
214,"Mun","Mungunya",NA,"M","2012-10-15","2012-10-15","2012-10-15",11.09,"adult","AK","2012-10-15","2016-01-09","BirthGroup","Mamoobi","Arthur",NA,"dead","probably dead, body not found"
215,"BBog12","Baby Bog 2012",NA,"F","2012-10-18","2012-10-18","2012-10-18",11.08,"adult","NH","2012-10-18","2012-12-10","BirthGroup","Bogota",NA,NA,NA,"Baby not seen after grp encounter with BD"
216,"Wur","Wurm",NA,"M","2012-10-18","2012-10-18","2012-10-18",11.08,"adult","BD","2012-10-18","2018-05-31","BirthGroup","Wietnie","Rusk",NA,NA,"Recorded a few more times in BD months after official dept date, but maybe errors"
217,"BUpp12","Baby Upp 2012",NA,"M","2012-10-19","2012-10-19","2012-10-19",11.07,"adult","NH","2012-10-19","2012-11-03","BirthGroup","Uppsala",NA,NA,"dead","Presumed dead, no body"
218,"Onb","Onbeskof",NA,"M","2012-10-19","2012-10-19","2012-10-19",11.07,"adult","BD","2012-10-19","2016-03-11","BirthGroup","Oulik","Pik",NA,"dead","Presumed dead"
219,"Hipp","Hippie",NA,"F","2012-10-22","2012-10-22","2012-10-22",11.07,"adult","BD","2012-10-22","2020-03-07","BirthGroup","Hakie","Pik",NA,"dead","assume that she died"
220,"Nyo","Nyoni",NA,"M","2012-10-22","2012-10-22","2012-10-22",11.07,"adult","BD","2017-05-16","2018-11-19","MigrationGroup1","Nkosikasi","Yster",NA,NA,NA
220,"Nyo","Nyoni",NA,"M","2012-10-22","2012-10-22","2012-10-22",11.07,"adult","AK","2012-10-22","2017-05-16","BirthGroup","Nkosikasi","Yster",NA,NA,NA
221,"Unw","Unwabo",NA,"M","2012-10-22","2012-10-22","2012-10-22",11.07,"adult","BD","2017-05-04","2017-12-07","MigrationGroup1","Ulaka","Yster",NA,NA,NA
221,"Unw","Unwabo",NA,"M","2012-10-22","2012-10-22","2012-10-22",11.07,"adult","AK","2012-10-22","2017-05-03","BirthGroup","Ulaka","Yster",NA,NA,NA
222,"Alsi","Alsiende",NA,"F","2012-10-23","2012-10-23","2012-10-23",11.06,"adult","BD","2012-10-23","2015-12-21","BirthGroup","Asis",NA,NA,"dead","Presumed dead"
223,"Rhe","Rheban",NA,"M","2012-10-27","2012-10-27","2012-10-27",11.05,"adult","BD","2017-12-05","2021-09-27","MigrationGroup1","Roma","Auckland",NA,"migrated","Went back to NH a few times shortly after migration"
223,"Rhe","Rheban",NA,"M","2012-10-27","2012-10-27","2012-10-27",11.05,"adult","NH","2012-10-27","2017-12-05","BirthGroup","Roma","Auckland",NA,"migrated","Went back to NH a few times shortly after migration"
224,"BLau12","Baby Lau 2012",NA,NA,"2012-10-29","2012-10-29","2012-10-29",11.05,"adult",NA,NA,NA,NA,"Lausanne",NA,NA,"dead","Presumed dead"
225,"Mevr","Mevrou",NA,"F","2012-10-29","2012-10-29","2012-10-29",11.05,"adult","BD","2012-10-29","2016-06-07","BirthGroup","Mooi",NA,NA,"dead","Recorded a few more times in BD months after official last seen, but maybe errors, likely dead"
226,"BKai12","Baby Kai 2012",NA,NA,"1905-07-02","2012-11-01","1905-07-02",118.37,"adult",NA,NA,NA,NA,"Kaiki",NA,NA,NA,"Presumably was in new split group with mother"
227,"Ndon","Ndonsa",NA,"F",NA,"2012-11-02","2012-11-02",NA,"adult","AK","2012-11-02","2023-11-16","BirthGroup","Nkosikasi","Sanbonani",NA,NA,NA
228,"Zhe","Zhengzhou",NA,"M","2012-11-02","2012-11-02","2012-11-02",11.04,"adult","NH","2012-11-02","2013-08-02","BirthGroup","Zara",NA,NA,"dead","Presumed dead"
229,"Gho","Ghozololo",NA,"M","2012-11-05","2012-11-05","2012-11-05",11.03,"adult","AK","2012-11-05","2016-01-28","BirthGroup","Ghangaan","Yster",NA,"dead","Maybe migrated, but probably died"
230,"Xian","Xian",NA,"F","2012-11-05","2012-11-05","2012-11-05",11.03,"adult","NH","2012-11-05","2023-11-16","BirthGroup","XaiXai",NA,NA,NA,NA
231,"Ruby","Ruby",NA,"F",NA,"2012-11-08","2012-11-08",NA,"adult","LTSplit","2018-02-21","2018-03-03","MigrationGroup1","Roxanne",NA,NA,NA,"her last seen in LM which is the 03/03/2018"
231,"Ruby","Ruby",NA,"F",NA,"2012-11-08","2012-11-08",NA,"adult","LT","2012-11-08","2018-02-21","BirthGroup","Roxanne",NA,NA,NA,"her last seen in LM which is the 03/03/2018"
232,"Laur","Laurel",NA,"F",NA,"2012-11-12","2012-11-12",NA,"adult","LT","2012-11-12","2020-03-03","BirthGroup","Lizz",NA,NA,"dead","Born in 2010, fate unknown. Presumed dead."
233,"Vul","Vulkaan",NA,"M","2012-11-14","2012-11-14","2012-11-14",11,"adult","NH","2020-04-16","2023-11-16","MigrationGroup1","Vroutjie","Pik",NA,NA,"Recorded a few more times in BD months after official dept date, but maybe errors. Recorded in NH logbook in May 2020 as ""Oslo"" and before that as male with left ear almost off."
233,"Vul","Vulkaan",NA,"M","2012-11-14","2012-11-14","2012-11-14",11,"adult","BD","2012-11-14","2018-06-06","BirthGroup","Vroutjie","Pik",NA,NA,"Recorded a few more times in BD months after official dept date, but maybe errors. Recorded in NH logbook in May 2020 as ""Oslo"" and before that as male with left ear almost off."
234,"Bush","Bushy",NA,"F",NA,"2012-11-15","2012-11-15",NA,"adult","LT","2012-11-15","2015-03-02","BirthGroup",NA,NA,NA,NA,"Seen in splinter group in July 2015"
234,"Bush","Bushy",NA,"F",NA,"2012-11-15","2012-11-15",NA,"adult","FirstLTsplinter","2015-03-02","2015-07-01","GroupSplit",NA,NA,NA,NA,"Seen in splinter group in July 2015"
235,"Indi","India",NA,"F",NA,"2012-11-15","2012-11-15",NA,"adult","LT","2012-11-15","2017-12-19","BirthGroup","Diana",NA,NA,"dead","Probably born in 2009. Died on the 19/12/2017."
236,"Rak","Rakker",NA,"M","2012-11-16","2012-11-16","2012-11-16",11,"adult","BD","2012-11-16","2018-05-08","BirthGroup","Rissiepit",NA,NA,NA,"Recorded once more in BD, but maybe an error"
237,"Hlo","Hlokoloza","Hlebe","M","2012-12-23","2012-12-23","2012-12-23",10.9,"adult","BD","2017-05-16","2019-11-20","MigrationGroup1","Hleka","Yster",NA,NA,NA
237,"Hlo","Hlokoloza","Hlebe","M","2012-12-23","2012-12-23","2012-12-23",10.9,"adult","AK","2012-12-23","2017-05-16","BirthGroup","Hleka","Yster",NA,NA,NA
238,"Piep","Pieperig",NA,"F",NA,"2013-01-18","2013-01-18",NA,"adult","BD","2013-01-18","2023-11-16","BirthGroup","Prinses","Rusk",NA,NA,"Data missing on the birth - first recorded found as 1yo in logbook"
239,"Yeni","Yenissei",NA,"F",NA,"2013-01-28","2013-01-28",NA,"adult","KB","2013-01-28","2019-10-26","BirthGroup",NA,NA,NA,NA,NA
240,"Kaya","Kaya",NA,"F","2013-02-07","2013-02-07","2013-02-07",10.77,"adult","LTsplit","2018-02-21","2018-03-03","MigrationGroup1",NA,NA,NA,NA,"LTSplit not followed"
240,"Kaya","Kaya",NA,"F","2013-02-07","2013-02-07","2013-02-07",10.77,"adult","LT","2013-02-07","2018-02-21","BirthGroup",NA,NA,NA,NA,"LTSplit not followed"
241,"Aare","Aare",NA,"F",NA,"2013-02-08","2013-02-08",NA,"adult","KB","2013-02-08","2023-11-16","BirthGroup","Amazon",NA,NA,NA,NA
242,NA,"Little Z",NA,"M",NA,"2013-02-08","2009-09-20",NA,"adult","KB","2013-02-08","2013-09-20","BirthGroup",NA,NA,"No",NA,"Probably born Dec 2009; Unclear if actually existed or mistaken for another juvenile; would NOT recommend using his data"
243,"Zair","Zaire",NA,"F",NA,"2013-02-08","2013-02-08",NA,"adult","KB","2013-02-08","2015-12-15","BirthGroup","Zeia",NA,NA,NA,"KB split, not seen again"
243,"Zair","Zaire",NA,"F",NA,"2013-02-08","2013-02-08",NA,"adult","KBSplit","2015-12-15","2015-12-15","GroupSplit","Zeia",NA,NA,NA,"KB split, not seen again"
244,"And","Andrew",NA,"M",NA,"2013-02-09","2010-04-12",NA,"adult","LT","2013-02-09","2014-04-12","BirthGroup",NA,NA,NA,NA,NA
245,"Noa","Noah",NA,"M",NA,"2013-02-09","2013-02-09",NA,"adult","LT","2013-02-09","2018-02-20","BirthGroup","Nala",NA,NA,"migrated","Migrated on the same day LT split, recorded once in May 2018 in LT, likely an error"
245,"Noa","Noah",NA,"M",NA,"2013-02-09","2013-02-09",NA,"adult","LTsplit","2018-02-20","2018-02-20","GroupSplit","Nala",NA,NA,"migrated","Migrated on the same day LT split, recorded once in May 2018 in LT, likely an error"
246,"Yalu","Yalu",NA,"F",NA,"2013-02-09","2013-02-09",NA,"adult","KB","2013-02-09","2021-01-15","BirthGroup","Yenissei",NA,"No",NA,"collar signal points to a rock Pyton 18/01/2021"
247,"Pear","Pearl","Little Almond","F",NA,"2013-04-24","2013-04-24",NA,"adult","KB","2013-04-24","2015-12-15","BirthGroup",NA,"Nile",NA,NA,"Prob born Dec 2009; renamed Pearl (2015); left with KB split, not seen again"
247,"Pear","Pearl","Little Almond","F",NA,"2013-04-24","2013-04-24",NA,"adult","KBSplit","2015-12-15","2015-12-15","GroupSplit",NA,"Nile",NA,NA,"Prob born Dec 2009; renamed Pearl (2015); left with KB split, not seen again"
248,"Mara","Mara","Spotty arm","F",NA,"2013-05-06","2013-05-06",NA,"adult","KB","2013-05-06","2022-11-05","BirthGroup",NA,NA,"No",NA,"likely called spotty arm early on - Iding of her before May 2013 likely unreliable"
249,"Fud","Fudu",NA,"M",NA,"2013-06-11","2009-06-11",NA,"adult","AK","2013-06-11","2015-09-11","MigrationGroup1",NA,NA,NA,NA,NA
250,"Can","Cancun",NA,"M",NA,"2013-06-28","2009-06-28",NA,"adult","NH","2019-06-17","2021-01-27","MigrationGroup4",NA,NA,NA,NA,"Recorded once in AK on 2017/03/24"
250,"Can","Cancun",NA,"M",NA,"2013-06-28","2009-06-28",NA,"adult","NH","2017-05-30","2018-12-17","MigrationGroup3",NA,NA,NA,NA,"Recorded once in AK on 2017/03/24"
250,"Can","Cancun",NA,"M",NA,"2013-06-28","2009-06-28",NA,"adult","AK","2016-03-14","2017-02-16","MigrationGroup2",NA,NA,NA,NA,"Recorded once in AK on 2017/03/24"
250,"Can","Cancun",NA,"M",NA,"2013-06-28","2009-06-28",NA,"adult","NH","2013-06-28","2016-02-25","MigrationGroup1",NA,NA,NA,NA,"Recorded once in AK on 2017/03/24"
251,"BHam13","Baby Ham 2013",NA,"F","2013-10-03","2013-10-03","2013-10-03",10.12,"adult","AK","2013-10-03","2013-11-10","BirthGroup","Hamba",NA,NA,"dead","Found dead on 10/11/2013"
252,"BBem13","Baby Beminde 2013",NA,NA,"2013-10-22","2013-10-22","2013-10-22",10.07,"adult",NA,NA,NA,NA,"Beminde",NA,NA,"dead","Baby found dead"
253,"BGag13","Baby Gaga 2013",NA,"F","2013-10-24","2013-10-24","2013-10-24",10.06,"adult","AK","2013-10-24","2013-12-06","BirthGroup","Gagasa",NA,NA,NA,"Last seen on 6/12/13"
254,"Bos","Boston",NA,"M","2013-10-28","2013-10-28","2013-10-28",10.05,"adult","NH","2013-10-28","2018-05-23","BirthGroup","Bogota",NA,NA,NA,NA
255,"Jix","Jixi",NA,"M","2013-10-31","2013-10-31","2013-10-31",10.04,"adult","NH","2013-10-31","2018-05-30","BirthGroup","Jakarta","Chernobyl",NA,NA,NA
256,"Uji","Uji",NA,"M","2013-10-31","2013-10-31","2013-10-31",10.04,"adult","Jacaranda","2018-05-26","2018-05-26","MigrationGroup1","Uppsala","Milano",NA,NA,"Seen 26th of May 2018 unhabituated gr Jakaranda"
256,"Uji","Uji",NA,"M","2013-10-31","2013-10-31","2013-10-31",10.04,"adult","NH","2013-10-31","2018-05-18","BirthGroup","Uppsala","Milano",NA,NA,"Seen 26th of May 2018 unhabituated gr Jakaranda"
257,"Ilon","Ilonga",NA,"F","2013-11-04","2013-11-04","2013-11-04",10.03,"adult","AK","2013-11-04","2016-01-22","BirthGroup","Isilonda","Quito",NA,NA,"22/01/2016 Last time w/ rest of AK, 29.06.2016 = last recorded date of Ifamily"
257,"Ilon","Ilonga",NA,"F","2013-11-04","2013-11-04","2013-11-04",10.03,"adult","IFamily","2016-01-22","2016-06-29","GroupSplit","Isilonda","Quito",NA,NA,"22/01/2016 Last time w/ rest of AK, 29.06.2016 = last recorded date of Ifamily"
258,"Aapi","Aapie",NA,"F","2013-11-11","2013-11-11","2013-11-11",10.01,"adult","BD","2013-11-11","2023-11-16","BirthGroup","Asis",NA,NA,NA,NA
259,"Avo","Avon","Appy","M","2013-11-11","2013-11-11","2013-11-11",10.01,"adult","Ifamily","2018-06-12","2020-06-16","MigrationGroup2","Amazon","Nile",NA,NA,"Named Appy until 14/12/14 After leaving NH, Ifamily, seen once more in KB after dept date on 2018/05/01,  seen in bge with NH on 08.12.2018 and in Ifamil on 2/2/19; seen on 16/06/20"
259,"Avo","Avon","Appy","M","2013-11-11","2013-11-11","2013-11-11",10.01,"adult","NH","2018-05-14","2018-06-12","MigrationGroup1","Amazon","Nile",NA,NA,"Named Appy until 14/12/14 After leaving NH, Ifamily, seen once more in KB after dept date on 2018/05/01,  seen in bge with NH on 08.12.2018 and in Ifamil on 2/2/19; seen on 16/06/20"
259,"Avo","Avon","Appy","M","2013-11-11","2013-11-11","2013-11-11",10.01,"adult","KB","2013-11-11","2018-04-06","BirthGroup","Amazon","Nile",NA,NA,"Named Appy until 14/12/14 After leaving NH, Ifamily, seen once more in KB after dept date on 2018/05/01,  seen in bge with NH on 08.12.2018 and in Ifamil on 2/2/19; seen on 16/06/20"
260,"Zank","Zankara",NA,"F","2013-11-11","2013-11-11","2013-11-11",10.01,"adult","KB","2013-11-11","2015-12-15","BirthGroup","Zeia",NA,NA,NA,"KB split"
260,"Zank","Zankara",NA,"F","2013-11-11","2013-11-11","2013-11-11",10.01,"adult","KBSplit","2015-12-15","2015-12-15","GroupSplit","Zeia",NA,NA,NA,"KB split"
261,"BWie13","Baby Wietnie 2013",NA,"F","2013-11-12","2013-11-12","2013-11-12",10.01,"adult","BD","2013-11-12","2013-11-12","BirthGroup","Wietnie",NA,NA,"dead","Baby found dead, genetic sample taken"
262,"Gla","Glastonbury",NA,"M","2013-11-12","2013-11-12","2013-11-12",10.01,"adult","Jacaranda","2018-05-28","2018-05-28","MigrationGroup1","Geneva","Ertjies",NA,NA,"Seen 26th of May 2018 unhabituated gr Jakaranda"
262,"Gla","Glastonbury",NA,"M","2013-11-12","2013-11-12","2013-11-12",10.01,"adult","NH","2013-11-12","2018-05-14","BirthGroup","Geneva","Ertjies",NA,NA,"Seen 26th of May 2018 unhabituated gr Jakaranda"
263,"Mba","Mbazwane",NA,"M","2013-11-15","2013-11-15","2013-11-15",10,"adult","AK","2013-11-15","2016-01-16","BirthGroup","Mamoobi","Elton",NA,NA,"16/01/2016 - last time w/ AK, stayed with I family but gp not followed"
263,"Mba","Mbazwane",NA,"M","2013-11-15","2013-11-15","2013-11-15",10,"adult","IFamily","2016-01-16","2016-01-16","GroupSplit","Mamoobi","Elton",NA,NA,"16/01/2016 - last time w/ AK, stayed with I family but gp not followed"
264,"Renn","Rennes",NA,"F","2013-11-15","2013-11-15","2013-11-15",10,"adult","NH","2013-11-15","2021-02-23","BirthGroup","Roma","Milano",NA,NA,"Disappeared with Reva, Roslin and Lima"
265,"Inkw","Inkwazi",NA,"F","2013-11-18","2013-11-18","2013-11-18",9.99,"adult","AK","2013-11-18","2016-01-22","BirthGroup","Inhlanhla","Yster",NA,NA,"22/01/2016 Last time w/ rest of AK, 29.06.2016 = last recorded date of IFamily"
265,"Inkw","Inkwazi",NA,"F","2013-11-18","2013-11-18","2013-11-18",9.99,"adult","IFamily","2016-01-22","2016-06-29","GroupSplit","Inhlanhla","Yster",NA,NA,"22/01/2016 Last time w/ rest of AK, 29.06.2016 = last recorded date of IFamily"
266,"Prai","Praia",NA,"F","2013-11-19","2013-11-19","2013-11-19",9.99,"adult","NH","2013-11-19","2023-11-16","BirthGroup","Pretoria","Ertjies",NA,NA,NA
267,"Xala","Xalapa",NA,"F","2013-11-20","2013-11-20","2013-11-20",9.99,"adult","NH","2013-11-20","2023-11-16","BirthGroup","XaiXai","Milano",NA,NA,NA
268,"Potj","Potjie",NA,"F","2013-11-23","2013-11-23","2013-11-23",9.98,"adult","BD","2013-11-23","2022-04-21","BirthGroup","Prinses","Okucane",NA,NA,NA
269,"Zan","Zanzibar",NA,"M","2013-11-25","2013-11-25","2013-11-25",9.97,"adult","NH","2013-11-25","2018-05-28","BirthGroup","Zara",NA,NA,NA,"Maybe seen one more time 08.06.2018 but maybe error?"
270,"Cami","Camilla",NA,"F",NA,"2013-11-27","2013-11-27",NA,"adult","FirstLTsplinter","2015-02-01","2015-11-06","MigrationGroup1",NA,NA,"No",NA,"First recorded 2011? OldCamilla? In splinter group at least since february 2015, unclear which data is hers and which is Jenny's "
271,"Mis","Mississipi",NA,"M","2013-11-27","2013-11-27","2013-11-27",9.97,"adult","KB","2013-11-27","2018-06-16","BirthGroup","Mara",NA,NA,NA,"Born during the night. VERY shy, not seen in group until 2013/05/06"
272,"Digb","Digby","Rhiannon","F",NA,"2014-01-08","2014-01-08",NA,"adult","LT","2014-01-08","2023-11-16","BirthGroup","Diana",NA,NA,NA,NA
273,"Yan","Yangtze",NA,"M",NA,"2014-01-27","2014-01-27",NA,"adult","AK","2020-03-04","2021-11-22","MigrationGroup2","Yenissei",NA,NA,NA,NA
273,"Yan","Yangtze",NA,"M",NA,"2014-01-27","2014-01-27",NA,"adult","NH","2018-05-14","2020-01-27","MigrationGroup1","Yenissei",NA,NA,NA,NA
