"AnimalName","AnimalCode","DOB","FirstDate","DOB_estimate","Age_yr","Age_class"
"Mackanzie","Mack",NA,2014-12-31,"2014-12-31",NA,"adult"
"Bocold","Boc",NA,2014-12-31,"2010-12-31",NA,"adult"
"Handi","Han",NA,2014-12-31,"2013-04-29",NA,"adult"
"Helmet","Hel",NA,2014-12-31,"2014-12-31",NA,"adult"
"Inner","Inn",NA,2014-12-31,"2013-01-31",NA,"adult"
"Lionel","Lion",NA,2014-12-31,"2014-12-31",NA,"adult"
"Macedonia","Mac",NA,2014-12-31,"2010-12-31",NA,"adult"
"Samoa","Samo",NA,2014-12-31,"2014-12-31",NA,"adult"
"Seychelles","Sey",NA,2014-12-31,"2014-12-31",NA,"adult"
"The Mask",NA,NA,2014-12-31,"2014-12-31",NA,"adult"
"Chiloe","Chil",NA,2015-01-06,"2015-01-06",NA,"adult"
"Cuba","Cuba",NA,2015-01-06,"2015-01-06",NA,"adult"
"Flatty","Fla",NA,2015-01-06,"2013-04-24",NA,"adult"
"Galapagos","Gala",NA,2015-01-06,"2015-01-06",NA,"adult"
"Henderson","Hen",NA,2015-01-06,"2011-01-06",NA,"adult"
"Tonga","Tong",NA,2015-01-06,"2015-01-06",NA,"adult"
"Whiskers","Whis",NA,2015-01-06,"2015-01-06",NA,"adult"
"Xiushan","Xiu",NA,2015-01-06,"2011-01-06",NA,"adult"
"Symetric","Sym",NA,2015-01-09,"2015-01-09",NA,"adult"
"Lohihi","Lohi",NA,2015-01-10,"2015-01-10",NA,"adult"
"Huge","Huge",NA,2015-01-12,"2015-01-12",NA,"adult"
"Oahu","Oahu",NA,2015-01-12,"2015-01-12",NA,"adult"
"Pointy","Poi",NA,2015-01-12,"2013-04-26",NA,"adult"
"Sumbawa","Sumb",NA,2015-01-19,"2015-01-19",NA,"adult"
"Umnak","Umna",NA,2015-02-11,"2015-02-11",NA,"adult"
"Base","Bas",NA,2015-02-25,"2013-04-29",NA,"adult"
"Olona","Olo",NA,2015-04-03,"2011-04-03",NA,"adult"
"Atitlan","Ati",NA,2015-04-28,"2011-04-28",NA,"adult"
"Liffey","Lif",NA,2015-04-28,"2011-04-28",NA,"adult"
"Okavango","Oka",NA,2015-05-04,"2011-05-04",NA,"adult"
"Wesley","Wes",2015-05-20,2015-05-20,"2011-05-20",8.49,"adult"
"Colorado","Col",NA,2015-05-25,"2011-05-25",NA,"adult"
"Smashy","Smas",NA,2015-06-16,"2015-06-16",NA,"adult"
"Tortuga","Tort",NA,2015-07-22,"2015-07-22",NA,"adult"
"Daenerys","Daen",NA,2015-08-20,"2015-08-20",NA,"adult"
"Vancouver","Van",NA,2015-09-01,"2011-09-01",NA,"adult"
"Pianosa","Pia",NA,2015-09-26,"2011-09-26",NA,"adult"
"Robben","Robb",NA,2015-09-29,"2015-09-29",NA,"adult"
"Martinique","Mart",NA,2015-10-07,"2015-10-07",NA,"adult"
"Barbados","Barb",NA,2015-10-08,"2015-10-08",NA,"adult"
"Dulcina","Dulc",NA,2015-10-08,"2015-10-08",NA,"adult"
"Baby Zeia 2015","BZei15",2015-10-15,2015-10-15,"2015-10-15",8.09,"adult"
"Lilly","Lill",2015-10-16,2015-10-16,"2015-10-16",8.08,"adult"
"Baby Troi 2015","BTro15",2015-10-22,2015-10-22,"2015-10-22",8.07,"adult"
"Galati","Gala",2015-10-23,2015-10-23,"2015-10-23",8.07,"adult"
"Baby Amur 2015","BAmu15",NA,2015-10-25,NA,NA,NA
"Zave","Zav",NA,2015-10-28,"2011-10-28",NA,"adult"
"Johannesburg","Joha",2015-10-30,2015-10-30,"2015-10-30",8.05,"adult"
"Baby Isil 2015","BIsi15",2015-11-05,2015-11-05,"2015-11-05",8.03,"adult"
"Baby Ghan 2015","BGha15",2015-11-06,2015-11-06,"2015-11-06",8.03,"adult"
"Baby Snortjie 2015","BSno15",2015-11-06,2015-11-06,"2015-11-06",8.03,"adult"
"Nirtjies","Nirt",2015-11-06,2015-11-06,"2015-11-06",8.03,"adult"
"Ireland","Ire",NA,2015-11-08,"2011-02-12",NA,"adult"
"Baby Ness 2015","BNes15",2015-11-09,2015-11-09,"2015-11-09",8.02,"adult"
"Jiamusi","Jia",2015-11-09,2015-11-09,"2015-11-09",8.02,"adult"
"Middag","Midd",2015-11-09,2015-11-09,"2015-11-09",8.02,"adult"
"Brisbane","Bri",2015-11-10,2015-11-10,"2015-11-10",8.02,"adult"
"Baby Mamo 2015","BMam15",2015-11-11,2015-11-11,"2015-11-11",8.01,"adult"
"Baby Aare 2015","BAar15",2015-11-12,2015-11-12,"2015-11-12",8.01,"adult"
"Baby Nkos 2015","BNko15",2015-11-12,2015-11-12,"2015-11-12",8.01,"adult"
"Papsak","Pap",2015-11-12,2015-11-12,"2015-11-12",8.01,"adult"
"Richard","Ric",2015-11-12,2015-11-12,"2015-11-12",8.01,"adult"
"Raspberry","Rasp",NA,2015-11-13,"2015-11-13",NA,"adult"
"Everest","Eve",NA,2015-11-14,"2011-11-14",NA,"adult"
"Kilimanjaro","Kil",NA,2015-11-14,"2011-11-14",NA,"adult"
"Baby Gugu 2015","BGug15",2015-11-16,2015-11-16,"2015-11-16",8,"adult"
"Ulaanbaatar","Ula",2015-11-16,2015-11-16,"2015-11-16",8,"adult"
"Zhukovsky","Zhu",2015-11-16,2015-11-16,"2015-11-16",8,"adult"
"Baby Diana 2015","BDia15",2015-11-17,2015-11-17,"2015-11-17",8,"adult"
"Lawrence","Law",2015-11-17,2015-11-17,"2015-11-17",8,"adult"
"Baby Idwa 2015","BIdw15",2015-11-18,2015-11-18,"2015-11-18",7.99,"adult"
"Bari","Bari",2015-11-18,2015-11-18,"2015-11-18",7.99,"adult"
"Hasie","Has",2015-11-19,2015-11-19,"2015-11-19",7.99,"adult"
"Oortjies","Oort",2015-11-20,2015-11-20,"2015-11-20",7.99,"adult"
"Adder","Add",2015-11-23,2015-11-23,"2015-11-23",7.98,"adult"
"Pruszkow","Pru",2015-11-23,2015-11-23,"2015-11-23",7.98,"adult"
"Reykjavik","Rey",2015-11-23,2015-11-23,"2015-11-23",7.98,"adult"
"Roslin","Rosl",2015-11-23,2015-11-23,"2015-11-23",7.98,"adult"
"Baby Gaga 2015","BGag15",2015-11-26,2015-11-26,"2015-11-26",7.97,"adult"
"Baby Tonga 2015","BTon15",2015-11-27,2015-11-27,"2015-11-27",7.97,"adult"
"Jalitah",NA,NA,2015-11-27,NA,NA,NA
"Baby Umnak 2015","BUmn15",2015-11-28,2015-11-28,"2015-11-28",7.97,"adult"
"Kauai","Kau",NA,2015-11-28,"2011-11-28",NA,"adult"
"Yell","Yel",NA,2015-11-28,"2011-11-28",NA,"adult"
"Ratel","Rat",2015-11-30,2015-11-30,"2015-11-30",7.96,"adult"
"Baby Pearl 2015","BPear15",2015-12-03,2015-12-03,"2015-12-03",7.95,"adult"
"Kate","Kate",2015-12-09,2015-12-09,"2015-12-09",7.94,"adult"
"Dion","Dio",2015-12-12,2015-12-12,"2015-12-12",7.93,"adult"
"Baby Oahu 2015","BOah15",NA,2015-12-17,NA,NA,NA
"Puolka","Puol",2015-12-28,2015-12-28,"2015-12-28",7.89,"adult"
"Alcatraz","Alc",NA,2016-01-14,"2014-07-20",NA,"adult"
"Jane","Jane",2016-01-15,2016-01-15,"2016-01-15",7.84,"adult"
"Ndawonya","Ndaw",2016-02-08,2016-02-08,"2016-02-08",7.77,"adult"
"Manhattan","Manh",NA,2016-02-11,"2016-02-11",NA,"adult"
"Schnauzli","Schn",NA,2016-02-11,"2016-02-11",NA,"adult"
"Bermuda","Ber",NA,2016-02-29,"2013-02-12",NA,"adult"
"Java","Java",NA,2016-03-28,"2016-03-28",NA,"adult"
"Umbrella","Umb",NA,2016-10-19,NA,NA,NA
"Robin","Rob",2016-10-20,2016-10-20,"2016-10-20",7.07,"adult"
"Reindeer","Rein",NA,2016-11-01,"2016-11-01",NA,"adult"
"Renee","Rene",2016-11-01,2016-11-01,"2016-11-01",7.04,"adult"
"Baby Amur 2016","BAmu16",2016-11-03,2016-11-03,"2016-11-03",7.03,"adult"
"Louise","Loui",2016-11-09,2016-11-09,"2016-11-09",7.02,"adult"
"Yukon","Yuko",2016-11-09,2016-11-09,"2016-11-09",7.02,"adult"
"Gabillou","Gabi",2016-11-14,2016-11-14,"2016-11-14",7,"adult"
"Nahoon","Nah",2016-11-14,2016-11-14,"2016-11-14",7,"adult"
"Xiashan","Xia",2016-11-14,2016-11-14,"2016-11-14",7,"adult"
"Aaragon","Aara",2016-11-16,2016-11-16,"2016-11-16",7,"adult"
"Gunya","Guny",2016-11-16,2016-11-16,"2016-11-16",7,"adult"
"Mhaori","Mhao",2016-11-17,2016-11-17,"2016-11-17",7,"adult"
"Ngenakubo","Nge",2016-11-18,2016-11-18,"2016-11-18",6.99,"adult"
"Guatemala","Guat",2016-11-22,2016-11-22,"2016-11-22",6.98,"adult"
"Rabat","Raba",2016-11-23,2016-11-23,"2016-11-23",6.98,"adult"
"Yamuna","Yamu",2016-11-23,2016-11-23,"2016-11-23",6.98,"adult"
"Hondjie","Hond",NA,2016-11-29,"2016-11-29",NA,"adult"
"Baby Siele 2016","BSie16",2016-11-30,2016-11-30,"2016-11-30",6.96,"adult"
"Hibiscus","Hibi",NA,2016-11-30,"2016-11-30",NA,"adult"
"Dillon","Dil",2016-12-05,2016-12-05,"2016-12-05",6.95,"adult"
"Luan","Lua",2016-12-19,2016-12-19,"2016-12-19",6.91,"adult"
"Whidbey","Whid",NA,2016-10-01,"2016-10-01",NA,"adult"
"Dewey","Dewe",2017-01-04,2017-01-04,"2017-01-04",6.86,"adult"
"Tyler","Tyl",NA,2017-05-22,"2013-05-22",NA,"adult"
"New male (look like Rio)",NA,NA,2017-06-22,"2013-06-22",NA,"adult"
"Dokos","Dok",NA,2017-08-22,"2014-07-20",NA,"adult"
"Feniks","Fen",NA,2017-09-01,"2013-09-01",NA,"adult"
"Kommunis","Kom",NA,2017-09-04,"2013-09-04",NA,"adult"
"Baby Numbies 2017","BNum17",2017-09-25,2017-09-25,"2017-09-25",6.14,"adult"
"Sari","Sari",2017-09-30,2017-09-30,"2017-09-30",6.13,"adult"
"Baby Little Blind 2017","BLBl17",2017-10-03,2017-10-03,"2017-10-03",6.12,"adult"
"Baby Digby 2017","BDig17",NA,2017-10-05,NA,NA,NA
"Cameron","Cam",NA,2017-10-05,NA,NA,NA
"Aarhus","Aar",2017-10-09,2017-10-09,"2017-10-09",6.1,"adult"
"Amgoun","Amg",2017-10-09,2017-10-09,"2017-10-09",6.1,"adult"
"Baby Gese 2017","BGes17",2017-10-09,2017-10-09,"2017-10-09",6.1,"adult"
"Goduka","Godu",2017-10-09,2017-10-09,"2017-10-09",6.1,"adult"
"Rocky","Rocky",NA,2017-10-09,"2014-02-21",NA,"adult"
"Uranium City","Ura",NA,2017-10-09,"2015-02-12",NA,"adult"
"Baby Oahu 2017","BOah17",2017-10-10,2017-10-10,"2017-10-10",6.1,"adult"
"Goose","Goos",NA,2017-10-10,"2017-10-10",NA,"adult"
"Lavander","Lava",2017-10-11,2017-10-11,"2017-10-11",6.1,"adult"
"Baby Pann 2017","BPan17",2017-10-12,2017-10-12,"2017-10-12",6.09,"adult"
"Baby Lionel 2017","BLio17",NA,2017-10-13,NA,NA,NA
"Mokcha","Mokc",2017-10-13,2017-10-13,"2017-10-13",6.09,"adult"
"Baby Roxanne 2017","BRox17",2017-10-16,2017-10-16,"2017-10-16",6.08,"adult"
"Ischia","Isc",NA,2017-10-16,"2014-07-18",NA,"adult"
"Ndiki","Ndik",2017-10-16,2017-10-16,"2017-10-16",6.08,"adult"
"Nuuskierig","Nuu",2017-10-16,2017-10-16,"2017-10-16",6.08,"adult"
"Timber","Timb",2017-10-16,2017-10-16,"2017-10-16",6.08,"adult"
"Aantreklik","Aan",2017-10-17,2017-10-17,"2017-10-17",6.08,"adult"
"Jelly","Jell",2017-10-19,2017-10-19,"2017-10-19",6.08,"adult"
"Pomelo","Pom",2017-10-19,2017-10-19,"2017-10-19",6.08,"adult"
"Xinji","Xin",NA,2017-10-20,"2017-10-20",NA,"adult"
"Rustig","Rust",2017-10-21,2017-10-21,"2017-10-21",6.07,"adult"
"Sirkus","Sirk",2017-10-21,2017-10-21,"2017-10-21",6.07,"adult"
"Pyeongchang","Pye",2017-10-23,2017-10-23,"2017-10-23",6.06,"adult"
"Obsessie","Obse",2017-10-24,2017-10-24,"2017-10-24",6.06,"adult"
"Margarita","Mar",NA,2017-10-25,"2013-11-17",NA,"adult"
"Jersey","Jers",NA,2017-10-26,"2017-10-26",NA,"adult"
"Moya","Moya",2017-10-26,2017-10-26,"2017-10-26",6.06,"adult"
"Heelal","Hee",2017-10-30,2017-10-30,"2017-10-30",6.05,"adult"
"Baby Gugu 2017","BGug17",2017-10-31,2017-10-31,"2017-10-31",6.04,"adult"
"Nakhu","Nak",2017-10-31,2017-10-31,"2017-10-31",6.04,"adult"
"Daartagnan","Daa",2017-11-02,2017-11-02,"2017-11-02",6.04,"adult"
"Nantucket","Nan",NA,2017-11-02,"2014-07-18",NA,"adult"
"Baby Ruby 2017","BRub17",2017-11-03,2017-11-03,"2017-11-03",6.03,"adult"
"Rioja","Rioj",2017-11-03,2017-11-03,"2017-11-03",6.03,"adult"
"Baby Kaya 2017","BKay17",2017-11-04,2017-11-04,"2017-11-04",6.03,"adult"
"Nihau","Niha",NA,2017-11-06,"2017-11-06",NA,"adult"
"Yara","Yara",NA,2017-11-11,"2017-11-11",NA,"adult"
"Gangtok","Gan",2017-11-13,2017-11-13,"2017-11-13",6.01,"adult"
"Revdanda","Rev",2017-11-16,2017-11-16,"2017-11-16",6,"adult"
"Xaltepec","Xal",2017-11-18,2017-11-18,"2017-11-18",5.99,"adult"
"Yzeron","Yze",NA,2017-11-20,"2014-09-18",NA,"adult"
"Dexter","Dext",2017-11-30,2017-11-30,"2017-11-30",5.96,"adult"
"Corfu",NA,NA,2017-12-23,NA,NA,NA
"Baby Mielies 2017","BMie17",2017-12-27,2017-12-27,"2017-12-27",5.89,"adult"
"Doreen","Dore",2017-12-29,2017-12-29,"2017-12-29",5.88,"adult"
"Baby Mackenzie 2017","BMac17",NA,2018-02-14,NA,NA,NA
"Puntag","Pun",2018-03-02,2018-03-02,"2014-03-02",5.71,"adult"
"Bali","Bali",NA,2018-04-09,"2018-04-09",NA,"adult"
"Easter","East",NA,2018-04-09,"2018-04-09",NA,"adult"
"Fiji","Fiji",NA,2018-04-12,"2018-04-12",NA,"adult"
"Kodiak","Kodi",NA,2018-04-12,"2018-04-12",NA,"adult"
"Kookoolegit","Koo",NA,2018-04-12,"2014-07-18",NA,"adult"
"Blup blup","Blu",NA,2018-04-18,NA,NA,NA
"Cusco","Cus",NA,2018-05-21,"2014-05-21",NA,"adult"
"Oscar","Osc",NA,2018-06-07,"2014-06-07",NA,"adult"
"Benedict","Ben",NA,2018-06-08,"2014-06-08",NA,"adult"
"Laila","Lail",2018-06-11,2018-06-11,"2018-06-11",5.43,"adult"
"Aathabasca","Aat",NA,2018-10-26,"2018-10-26",NA,"adult"
"Goed","Goe",2018-10-26,2018-10-26,"2018-10-26",5.06,"adult"
"Hiasint","Hia",2018-10-26,2018-10-26,"2018-10-26",5.06,"adult"
"Lewe","Lewe",2018-10-26,2018-10-26,"2018-10-26",5.06,"adult"
"Mimiek","Mimi",2018-10-26,2018-10-26,"2018-10-26",5.06,"adult"
"Naaldekoker","Naal",2018-10-26,2018-10-26,"2018-10-26",5.06,"adult"
"Xinpu","Xinp",2018-10-28,2018-10-28,"2018-10-28",5.05,"adult"
"Guzunga","Guz",NA,2018-11-01,"2018-11-01",NA,"adult"
"Rochdale","Roc",NA,2018-11-01,"2018-11-01",NA,"adult"
"Skemer","Skem",2018-11-01,2018-11-01,"2018-11-01",5.04,"adult"
"Spampounkoeki","Spam",2018-11-01,2018-11-01,"2018-11-01",5.04,"adult"
"Ulsan","Uls",NA,2018-11-01,"2018-11-01",NA,"adult"
"Ncoko","Ncok",2018-11-02,2018-11-02,"2018-11-02",5.04,"adult"
"Ndanda","Nda",2018-11-03,2018-11-03,"2018-11-03",5.03,"adult"
"Baby Geneva 2018","BGen18",2018-11-05,2018-11-05,"2018-11-05",5.03,"adult"
"Mbila","Mbil",2018-11-05,2018-11-05,"2018-11-05",5.03,"adult"
"Puy-merl","Puym",2018-11-07,2018-11-07,"2018-11-07",5.02,"adult"
"Oerwoud","Oerw",2018-11-09,2018-11-09,"2018-11-09",5.02,"adult"
"Rambouillet","Ram",2018-11-09,2018-11-09,"2018-11-09",5.02,"adult"
"Sigaret","Sig",2018-11-09,2018-11-09,"2018-11-09",5.02,"adult"
"Dixon","Dix",2018-11-11,2018-11-11,"2018-11-11",5.01,"adult"
"Ghidigidi","Ghi",2018-11-12,2018-11-12,"2018-11-12",5.01,"adult"
"Mass","Mas",NA,2018-11-12,"2018-11-12",NA,"adult"
"Baby Eina 2018","BEin18",2018-11-13,2018-11-13,"2018-11-13",5.01,"adult"
"Baby Nurks 2018","BNur18",2018-11-14,2018-11-14,"2018-11-14",5,"adult"
"Ridder","Rid",2018-11-14,2018-11-14,"2018-11-14",5,"sub-adult"
"Yazoo","Yaz",2018-11-14,2018-11-14,"2018-11-14",5,"sub-adult"
"Ardig","Ard",2018-11-15,2018-11-15,"2018-11-15",5,"sub-adult"
"Regina","Regi",2018-11-15,2018-11-15,"2018-11-15",5,"adult"
"Pratella","Prat",2018-11-17,2018-11-17,"2018-11-17",5,"adult"
"Gilane","Gil",2018-11-20,2018-11-20,"2018-11-20",4.99,"sub-adult"
"Nonnitgie","Non",2018-11-22,2018-11-22,"2018-11-22",4.98,"sub-adult"
"Dunston",NA,2018-11-24,2018-11-24,"2018-11-24",4.98,NA
"Gubane","Guba",2018-11-25,2018-11-25,"2018-11-25",4.97,"adult"
"Aalwyn","Aal",2018-11-27,2018-11-27,"2018-11-27",4.97,"sub-adult"
"Dalton","Dal",2018-11-28,2018-11-28,"2018-11-28",4.97,"sub-adult"
"Baby Lima 2018","BLim18",2018-11-29,2018-11-29,"2018-11-29",4.96,"adult"
"Beirut","Beir",2018-12-03,2018-12-03,"2018-12-03",4.95,"adult"
"Yelowstone","Yelo",2018-12-04,2018-12-04,"2018-12-04",4.95,"adult"
"Reenboog","Reen",2018-12-12,2018-12-12,"2018-12-12",4.93,"adult"
"Griselles","Gris",2018-12-13,2018-12-13,"2018-12-13",4.93,"adult"
"Larry","Lar",2018-12-15,2018-12-15,"2018-12-15",4.92,"sub-adult"
"Pixsel","Pix",2018-12-20,2018-12-20,"2018-12-20",4.91,"sub-adult"
"Baby Gaya 2018","BGay18",2018-12-24,2018-12-24,"2018-12-24",4.9,"sub-adult"
"Baby Nyanga 2018","BNya18",2018-12-24,2018-12-24,"2018-12-24",4.9,NA
"Baby Xalapa 2018","BXal18",2019-01-21,2019-01-21,"2019-01-21",4.82,NA
"George","Geo",NA,2019-03-18,"2015-03-18",NA,"adult"
"Washington Babylon","Was",NA,2019-03-18,"2015-03-18",NA,"adult"
"Fluister","Flu",NA,2019-04-30,"2015-04-30",NA,"adult"
"Kekeke","Kek",NA,2019-05-31,"2015-05-31",NA,"adult"
"Lipsy","Lip",NA,2019-06-01,"2015-06-01",NA,"adult"
"Ouagadougou","Oua",NA,2019-06-03,"2015-06-03",NA,"adult"
"Baby Numbies 2019","BNum19",2019-10-03,2019-10-03,"2019-10-03",4.12,NA
"Baby Bela-Bela 2019","BBel19",2019-10-14,2019-10-14,"2019-10-14",4.09,NA
"Baby Gaya 2019","BGay19",2019-10-14,2019-10-14,"2019-10-14",4.09,"sub-adult"
"Baby Redelik 2019","BRed19",2019-10-19,2019-10-19,"2019-10-19",4.08,"sub-adult"
"Baby Mara 2019","BMar19",2019-10-21,2019-10-21,"2019-10-21",4.07,"sub-adult"
"Baby Digby 2019","BDig19",2019-10-22,2019-10-22,"2019-10-22",4.07,NA
"Baby Lima 2019","BLim19",2019-10-22,2019-10-22,"2019-10-22",4.07,"adult"
"Baby Puolka 2019","BPuo19",2019-10-22,2019-10-22,"2019-10-22",4.07,NA
"Baby Reva 2019","BRev19",2019-10-23,2019-10-23,"2019-10-23",4.07,"sub-adult"
"Baby Nessie 2019","BNes19",2019-10-24,2019-10-24,"2019-10-24",4.06,"sub-adult"
"Baby Xian 2019","BXia19",2019-10-24,2019-10-24,"2019-10-24",4.06,NA
"Baby Potjie 2019","BPot19",2019-10-25,2019-10-25,"2019-10-25",4.06,"adult"
"Baby Heer 2019","BHee19",2019-10-28,2019-10-28,"2019-10-28",4.05,"sub-adult"
"Baby Diana 2019","BDia19",NA,2019-10-29,NA,NA,NA
"Baby Xalapa 2019","BXal19",2019-10-30,2019-10-30,"2019-10-30",4.05,NA
"Baby Mielies 2019","BMie19",2019-10-31,2019-10-31,"2019-10-31",4.04,NA
"Dastard","Das",NA,2019-11-01,NA,NA,NA
"Baby Delilah 2019","BDel19",NA,2019-11-04,NA,NA,NA
"Baby Pannekoekie 2019","BPan19",NA,2019-11-04,NA,NA,NA
"Nuclides","Nucl",2019-11-04,2019-11-04,"2019-11-04",4.03,"adult"
"Baby Pretoria 2019","BPre19",2019-11-06,2019-11-06,"2019-11-06",4.03,"adult"
"Greenbay","Gree",2019-11-06,2019-11-06,"2019-11-06",4.03,"adult"
"Lampshade","Lamp",NA,2019-11-07,NA,NA,NA
"Baby Gugu 2019","BGug19",2019-11-09,2019-11-09,"2019-11-09",4.02,"sub-adult"
"Reno","Ren",2019-11-12,2019-11-12,"2019-11-12",4.01,"sub-adult"
"Tasty flavours","Tas",NA,2019-12-04,"2015-12-04",NA,"adult"
"Tambacounda","Tam",NA,2020-05-15,"2016-05-15",NA,"adult"
"Utrecht","Utr",NA,2020-05-15,"2016-05-15",NA,"adult"
"Vladivostok","Vla",NA,2020-05-28,"2016-05-28",NA,"adult"
"Flensburg","Fle",NA,2020-06-16,"2016-06-16",NA,"adult"
"Warnemünde","War",NA,2020-08-24,"2016-08-24",NA,"adult"
"Aaalva","Aaa",NA,2020-10-08,"2020-10-08",NA,"juvenile"
"Shongololo","Sho",NA,2020-10-13,"2016-10-13",NA,"adult"
"Diamond","Dia",NA,2020-10-29,"2020-10-29",NA,"juvenile"
"Light","Lig",NA,2020-10-29,"2020-10-29",NA,"juvenile"
"Awash","Awa",2020-11-03,2020-11-03,"2020-11-03",3.03,"juvenile"
"Baby Rosl 2020","BRos20",2020-11-03,2020-11-03,"2020-11-03",3.03,"juvenile"
"Appel","App",2020-11-04,2020-11-04,"2020-11-04",3.03,"juvenile"
"Papp","Papp",2020-11-04,2020-11-04,"2020-11-04",3.03,"juvenile"
"Gibela","Gib",2020-11-12,2020-11-12,"2020-11-12",3.01,"juvenile"
"Poppie","Popp",2020-11-12,2020-11-12,"2020-11-12",3.01,"juvenile"
"Yonne","Yon",2020-11-12,2020-11-12,"2020-11-12",3.01,"juvenile"
"Oupa","Oup",NA,2020-11-13,"2020-11-13",NA,"juvenile"
"Gusha","Gus",2020-11-16,2020-11-16,"2020-11-16",3,"juvenile"
"Ndumiso","Ndum",2020-11-16,2020-11-16,"2020-11-16",3,"juvenile"
"Riversdale","Riv",NA,2020-11-16,"2017-02-20",NA,"adult"
"Baby Digby 2020","BDig20",2020-11-17,2020-11-17,"2020-11-17",3,"juvenile"
"Ghandaghanda","Gha",2020-11-17,2020-11-17,"2020-11-17",3,"juvenile"
"Ouma","Ouma",2020-11-18,2020-11-18,"2020-11-18",2.99,"juvenile"
"Helikopter","Heli",2020-11-19,2020-11-19,"2020-11-19",2.99,"juvenile"
"Nkunzi","Nkun",2020-11-19,2020-11-19,"2020-11-19",2.99,"juvenile"
"Roeslare","Roes",2020-11-19,2020-11-19,"2020-11-19",2.99,"juvenile"
"Dazzle","Dazz",2020-11-20,2020-11-20,"2020-11-20",2.99,"juvenile"
"Eish","Eis",2020-11-21,2020-11-21,"2020-11-21",2.98,"juvenile"
"Baby Renn 2020","BRen20",2020-11-22,2020-11-23,"2020-11-22",2.98,"juvenile"
"Griffin","Gri",2020-11-23,2020-11-23,"2020-11-23",2.98,"juvenile"
"Xopo","Xop",2020-11-23,2020-11-23,"2020-11-23",2.98,"juvenile"
"Moesa","Moes",NA,2020-11-24,"2020-11-24",NA,"juvenile"
"Reenval","Ree",2020-11-24,2020-11-24,"2020-11-24",2.98,"juvenile"
"Rivier","Rivi",2020-11-24,2020-11-24,"2020-11-24",2.98,"juvenile"
"Spanspek","Span",2020-11-24,2020-11-24,"2020-11-24",2.98,"juvenile"
"Sylinder","Syl",2020-11-24,2020-11-24,"2020-11-24",2.98,"juvenile"
"Muis","Mui",2020-11-25,2020-11-25,"2020-11-25",2.97,"juvenile"
"Bangalore","Bang",2020-11-26,2020-11-26,"2020-11-26",2.97,"juvenile"
"Baby Guat 2020","BGua20",2020-12-02,2020-12-02,"2020-12-02",2.95,"juvenile"
"Deja","Deja",NA,2020-12-07,"2020-12-07",NA,"juvenile"
"Loki","Loki",NA,2020-12-07,"2020-12-07",NA,"juvenile"
"Delta","Delt",NA,2020-12-11,"2020-12-11",NA,"juvenile"
"Gubudu","Gub",NA,2020-12-11,"2019-11-16",NA,"sub-adult"
"Palmela","Palm",NA,2020-12-17,"2020-12-17",NA,"juvenile"
"Lugano","Lug",NA,2020-12-21,"2017-02-18",NA,"adult"
"Naartjie","Naa",NA,2020-12-21,NA,NA,NA
"Ndondo","Ndo",NA,2021-01-04,NA,NA,NA
"Sion","Sio",NA,2021-01-06,"2017-01-06",NA,"adult"
"Rimini","Rim",NA,2021-01-11,"2019-11-16",NA,"sub-adult"
"Udupi","Udup",2021-01-19,2021-01-19,"2021-01-19",2.82,"juvenile"
"DodgyKnee","Dodg",NA,2021-04-16,"2021-04-16",NA,"juvenile"
"Tchakalaka","Tch",NA,2021-05-11,"2017-05-11",NA,"adult"
"Bukubuku","Buk",NA,2021-05-11,"2017-05-11",NA,"adult"
"Cayman","Cay",NA,2021-05-19,"2019-11-16",NA,"sub-adult"
"WavyEars","WavyEars",NA,2021-05-21,"2019-04-18",NA,"sub-adult"
"Duckie","Duc",NA,2021-05-27,"2019-11-16",NA,"sub-adult"
"Okefenokee","Oke",NA,2021-05-31,"2017-05-31",NA,"adult"
"Tevere","Tev",NA,2021-05-31,"2017-05-31",NA,"adult"
"Zuni","Zuni",NA,2021-06-01,"2021-06-01",NA,"juvenile"
"Holey","Hole",NA,2021-06-01,"2021-06-01",NA,"juvenile"
"PointyEars","PointyEars",NA,2021-06-01,"2019-11-16",NA,"sub-adult"
"Etosha","Eto",NA,2021-06-02,"2017-06-02",NA,"adult"
"Apa","Apa",NA,2021-06-04,"2017-06-04",NA,"adult"
"Momo","Mom",NA,2021-06-04,"2017-06-04",NA,"adult"
"BigEars","BigEars",NA,2021-06-06,"2019-11-16",NA,"sub-adult"
"PlainJane","Plainjane",NA,2021-06-14,"2019-02-28",NA,"sub-adult"
"Baby Dian 2021","BDia21",2021-09-29,2021-09-29,"2021-09-29",2.13,"juvenile"
"Baby Pret 2021","BPre21",NA,2021-10-05,NA,NA,NA
"Nul","Nul",2021-10-06,2021-10-06,"2021-10-06",2.11,"juvenile"
"Baby Ouli 2021","BOul21",2021-10-09,2021-10-09,"2021-10-09",2.1,"juvenile"
"Amstel","Amst",NA,2021-10-12,"2021-10-12",NA,"juvenile"
"Nukke","Nuk",NA,2021-10-18,"2019-11-16",NA,"sub-adult"
"Piesang","Pie",NA,2021-10-18,"2019-11-16",NA,"sub-adult"
"Baby Cam 2011","BCam11",NA,NA,NA,NA,NA
"Baby Daisy 2019","BDai19",NA,NA,NA,NA,NA
"Bug Eyes",NA,NA,NA,NA,NA,NA
"Collin","Col",NA,NA,NA,NA,NA
"Fergie","Ferg",NA,NA,NA,NA,NA
