"LH_RowNumber","LH_AnimalName","LH_AnimalCode","OtherID","Sex","EarMark","DOB","FirstDate","DateAdult","CurrentGroup","BirthGroup","LH_MotherID","LH_FatherID","EmigrationNatalDate","ImmigrationGroup1","ImmigrationDate1","LastDate1","ImmigrationGroup2","ImmigrationDate2","LastDate2","ImmigrationGroup3","ImmigrationDate3","LastDate3","ImmigrationGroup4","ImmigrationDate4","LastDate4","ReliableData","Comments","Fate_probable"
"113","Amy Winehouse","Amyw",NA,"F",NA,NA,"2011-09-29",NA,NA,"RC",NA,NA,NA,NA,NA,"2011-11-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA
"114","Bruce Springsteen","Bru",NA,"M",NA,NA,"2011-09-29",NA,NA,NA,NA,NA,NA,"RC",NA,"2011-09-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Only one record of him",NA
"115","SF1",NA,NA,"F",NA,NA,"2011-09-29",NA,NA,"RC",NA,NA,NA,NA,NA,"2011-10-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA
"116","Spotted","Spo",NA,"M",NA,NA,"2011-09-29",NA,NA,"RC",NA,NA,"2011-11-25",NA,NA,"2011-11-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Probably born in 2008",NA
"117","Vasco Rossi","Vas",NA,"M","2",NA,"2011-09-29",NA,NA,NA,NA,NA,NA,"RC",NA,"2011-11-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA
"118","Vincent","Vin","Darkface","M",NA,NA,"2011-10-01",NA,NA,"LT","Victoria","Voldemort","2016-12-22","BD","2017-02-13","2018-11-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in Oct 2011",NA
"119","Giya","Giy",NA,"M",NA,"2011-10-07","2011-10-07",NA,NA,"AK","Gagasa","Sanbonani","2013-09-18",NA,NA,"2013-09-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably dead","dead"
"120","Spook","Spo",NA,"M",NA,NA,"2011-10-18",NA,NA,"BD","Snortjie","Pik","2016-06-16","CR","2016-06-23","2018-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOB unconfirmed",NA
"121","Cindy Lauper","Cind",NA,"F",NA,NA,"2011-10-26",NA,NA,"RC",NA,NA,NA,NA,NA,"2011-11-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA
"122","Noktober","Nok",NA,"M",NA,"2011-10-26","2011-10-26",NA,NA,"BD","Numbies","Pik","2016-06-11","CR","2016-06-15","2017-01-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Disappeared from CR, probably migrated, ","migrated"
"123","Lome","Lom",NA,"M",NA,"2011-10-27","2011-10-27",NA,NA,"NH","Lausanne",NA,"2016-05-31","5males","2016-07-14","2016-07-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen 14/07/2016 in gp of 5 sub males",NA
"124","Upside down",NA,NA,"M",NA,NA,"2011-10-28",NA,NA,"RC",NA,NA,"2011-10-31",NA,NA,"2011-10-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA
"125","Modjadji","Modj",NA,"F",NA,"2011-10-31","2011-10-31",NA,NA,"AK","Mamoobi",NA,NA,NA,NA,"2012-11-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably dead, in logbook 2 months later but probably an error","dead"
"126","Bamako","Bam",NA,"M",NA,"2011-11-01","2011-11-01",NA,NA,"NH","Bogota",NA,"2013-02-21",NA,NA,"2013-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Evanescence","Evan",NA,"F",NA,NA,"2011-11-01",NA,NA,"RC",NA,NA,NA,NA,NA,"2011-11-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA
"128","Ogies","Ogi",NA,"M","22","2011-11-02","2011-11-02",NA,NA,"BD","Oulik","Lekker","2016-06-03","CR","2016-06-10","2018-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded a few more times in BD months after official dept date, but maybe errors, seen on last day CR followed 2018/07/20",NA
"129","Arthur","Art",NA,"M",NA,NA,"2011-11-03",NA,NA,NA,NA,NA,NA,"LT","2011-11-03","2012-02-14","AK","2012-04-19","2012-04-30","BD","2012-07-25","2014-05-20",NA,NA,NA,NA,"Immigrated from LT to AK between 14/02/2012-20/04, seen in LT on 22/05/12 & 02/07/12, was only officially recorded in AK twice…","migrated"
"130","Nil","Nil",NA,"M","2",NA,"2011-11-05",NA,NA,NA,NA,NA,NA,"KB","2011-11-05","2014-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Akkedis","Akk",NA,"M",NA,"2011-11-07","2011-11-07",NA,NA,"BD","Asis","Lekker","2016-05-28","CR","2016-06-10","2018-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen on last day CR followed 2018/07/20",NA
"132","Idwala","Idwa",NA,"F",NA,"2011-11-10","2011-11-10",NA,NA,"AK","Isilonda","Sanbonani","2016-02-29","IFamily",NA,"2016-06-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last seen with Ifamily",NA
"133","Poeding","Poe",NA,"M",NA,"2011-11-11","2011-11-11",NA,NA,"BD","Prinses","Lekker","2016-06-11","CR","2016-06-15","2018-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recordmany times in BD after dept date, unclear if errors (almost all by same observer), seen on last day CR followed 2018/07/20",NA
"134","Gaya","Gaya",NA,"F",NA,"2011-11-14","2011-11-14",NA,"NH","NH","Geneva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Vakie","Vak",NA,"M",NA,"2011-11-17","2011-11-17",NA,NA,"BD","Vroutjie",NA,"2017-03-11",NA,NA,"2017-03-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Juneau","Jun",NA,"M",NA,"2011-11-20","2011-11-20",NA,NA,"NH","Jakarta",NA,"2016-04-12","Ifamily","2016-04-14","2016-10-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last seen in Ifamily, no data on exactly when he left, but before April 2017",NA
"137","Byron","Byr","SMC;Mini-Elton","M",NA,NA,"2011-11-21",NA,NA,"LT",NA,NA,"2013-10-22",NA,NA,"2013-10-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2007",NA
"138","Charles","Cha","Little Charles;JB","M",NA,NA,"2011-11-21",NA,NA,"LT",NA,NA,"2013-12-09",NA,NA,"2013-12-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2008",NA
"139","Reva","Reva",NA,"F",NA,"2011-11-21","2011-11-21",NA,NA,"NH","Roma","Milano",NA,"Rfamily",NA,"2021-02-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Disappeared with Rennes, Roslin and Lima",NA
"140","Ububhibhi","Ubu",NA,"M",NA,"2011-11-21","2011-11-21",NA,NA,"AK","Ulaka",NA,"2016-05-24","BD","2016-05-28","2020-06-06","CR","2020-06-16",NA,NA,NA,NA,NA,NA,NA,NA,"He was recorded in Cr on the 16/06/2020 (not sure about the exact immigration date into cr because cr was not followed regularly","migrated"
"141","Baby Hak 2011","BHak11",NA,"M",NA,"2011-11-22","2011-11-22",NA,NA,"BD","Hakie",NA,"2011-12-05",NA,NA,"2011-12-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","dead"
"142","Ngubu","Ngu",NA,"M",NA,"2011-11-26","2011-11-26",NA,NA,"AK","Nkosikasi",NA,"2013-07-06",NA,NA,"2013-07-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably dead","dead"
"143","Xeres","Xer",NA,"M",NA,"2011-11-29","2011-11-29",NA,NA,"NH","XaiXai",NA,"2016-04-07",NA,NA,"2016-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Ulundi","Ulu",NA,"M",NA,"2011-12-01","2011-12-01",NA,NA,"NH","Uppsala",NA,"2016-05-14","5males","2016-07-14","2016-07-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen 14/07/2016 in gp of 5 sub males",NA
"145","Zion","Zio",NA,"M","1","2011-12-02","2011-12-02",NA,NA,"NH","Zara",NA,"2016-02-24",NA,NA,"2016-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Talinn","Tal",NA,"M","20","2011-12-04","2011-12-04",NA,NA,"NH","Troia","Milano","2016-04-21","Iceland",NA,"2016-04-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Split group",NA
"147","Rooikat","Roo",NA,"M",NA,"2011-12-05","2011-12-05",NA,NA,"BD","Rissiepit",NA,"2017-04-27","CR","2017-05-10","2018-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded once more in BD after dept date, unclear if error, seen on last day CR followed 2018/07/20",NA
"148","Koninging","Koni",NA,"F",NA,NA,"2011-12-09",NA,NA,"BD","Kaiki",NA,"2013-01-07","InBetweeners",NA,"2014-08-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Formed new group Inbetweeners",NA
"149","Watnou","Watn",NA,"F",NA,NA,"2011-12-09",NA,NA,"BD","Wietnie",NA,NA,NA,NA,"2013-01-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born 2011, Presumed dead","dead"
"150","Brasilia","Bras",NA,"F",NA,NA,"2011-12-16",NA,NA,"NH","Bogota",NA,"2016-04-13","Iceland",NA,"2016-07-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNK birth date + Split group",NA
"151","Emma","Emma",NA,"F",NA,NA,"2011-12-16",NA,NA,"LT",NA,NA,NA,NA,NA,"2013-07-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Lhassa","Lhas",NA,"F",NA,NA,"2011-12-16",NA,NA,"NH","Lausanne",NA,"2016-04-04","Iceland",NA,"2016-06-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Split group",NA
"153","Neuchatel","Neu","M10","M","10",NA,"2011-12-16",NA,NA,"NH",NA,NA,"2014-05-08","BD","2014-06-09","2020-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Pretoria","Pret",NA,"F","3",NA,"2011-12-16",NA,"NH","NH","Paris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Rio","Rio",NA,"M",NA,NA,"2011-12-16",NA,NA,"NH","Roma",NA,"2015-11-30",NA,NA,"2015-11-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Toronto","Tor",NA,"M","1",NA,"2011-12-16",NA,NA,"NH","Troia",NA,"2014-06-11","BD","2014-06-16","2016-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Victoria","Vict",NA,"F",NA,NA,"2011-12-16",NA,NA,"LT",NA,NA,"2015-04-09","FirstLTsplinter",NA,"2015-11-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last seen in splinter group in november 2015",NA
"158","Zeerust","Zee",NA,"M","16",NA,"2011-12-16",NA,NA,"NH","Zara",NA,"2015-02-24",NA,NA,"2015-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Zurich","Zur",NA,"M","20",NA,"2011-12-16",NA,NA,"NH","Zara","Milano","2014-05-26","BD","2014-06-03","2016-02-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Puerto","Pue",NA,"M",NA,"2011-12-27","2011-12-27",NA,NA,"NH","Paris",NA,"2016-06-21","5males","2016-07-14","2016-07-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen 14/07/2016 in gp of 5 sub males",NA
"161","Baby Moo 2011","BMoo11",NA,NA,NA,"2012-01-23","2012-01-23",NA,NA,"BD","Mooi",NA,NA,NA,NA,"2012-02-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","dead"
"162","Bongani","Bon",NA,"M",NA,NA,"2012-01-28",NA,NA,NA,NA,NA,NA,"AK",NA,"2013-04-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Ghangaan","Ghan",NA,"F",NA,NA,"2012-01-28",NA,NA,"AK","Gagasa","Sanbonani",NA,NA,NA,"2015-11-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2009;last seen crossing fence with newborn, presumed dead","dead"
"164","Govu","Gov",NA,"M",NA,NA,"2012-01-28",NA,NA,"AK","Gagasa","Sanbonani","2013-12-19","Intaka","2014-01-31","2014-06-13","NH","2014-06-20","2017-02-27","CR","2017-03-01","2017-03-23",NA,NA,NA,NA,"Probably born in 2008, seen once in CR in Dec 2016, recorded once more in IN in Sept 14",NA
"165","Hleka","Hlek",NA,"F",NA,NA,"2012-01-28",NA,NA,"AK","Hamba",NA,NA,NA,NA,"2015-11-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2009; probably dead body not found","dead"
"166","Inhlanhla","Inhl",NA,"F",NA,NA,"2012-01-28",NA,"IF","AK","Isilonda","Sanbonani","2016-02-29","IFamily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2009, last seen in Ifamily 29/06/2016 . Occassionally seen during encounter. On the 07/2022 I-F was followed again.",NA
"167","Izulu","Izu",NA,"M",NA,NA,"2012-01-28",NA,NA,"AK","Isilonda",NA,"2013-03-23",NA,NA,"2013-03-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2008",NA
"168","Mnandi","Mna",NA,"M",NA,NA,"2012-01-28",NA,NA,"AK","Mamoobi","Sanbonani","2015-01-14","LT","2015-01-19","2018-06-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2009, seen once in LT on 05/01/15 before official migration date","migrated"
"169","Voldemort","Vol",NA,"M",NA,NA,"2012-02-03",NA,NA,NA,NA,NA,NA,"LT","2012-02-03","2014-06-03","AK","2014-06-09","2015-12-30",NA,NA,NA,NA,NA,NA,NA,"Unclear if 1st seen is same as immigrated","migrated"
"170","Ahekinkinga","Ahe",NA,"M",NA,NA,"2010-12-18",NA,NA,NA,NA,NA,NA,"AK","2010-12-18","2012-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Auckland","Auc",NA,"M",NA,NA,"2012-02-27",NA,NA,NA,NA,NA,NA,"NH","2012-02-27","2014-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012/04/04 is first time officially recorded in NH in logbook (as ""soft n fluffy"")",NA
"172","Amazon","Amaz",NA,"F","10",NA,"2012-03-13",NA,NA,"KB",NA,NA,NA,NA,NA,"2015-05-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Tanganika","Tang",NA,"F","20",NA,"2012-03-13",NA,NA,"KB",NA,NA,NA,NA,NA,"2015-10-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Body not found, presumed dead","dead"
"174","Curaco","Cur","Spot","M",NA,NA,"2012-04-14",NA,NA,"KB",NA,NA,"2012-04-14",NA,NA,"2012-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Probably born 2010; also unclearif mistaken for another juvenile - would NOT recommend using his data\",NA
"175","Styx","Sty","Little Evil","M",NA,NA,"2012-04-14",NA,NA,"KB",NA,NA,"2014-05-12","NH","2014-05-24","2016-03-29","Iceland",NA,"2016-07-12",NA,NA,NA,NA,NA,NA,NA,"Probably born 2009; left NH with split to form Iceland",NA
"176","Nala","Nala",NA,"F",NA,NA,"2012-04-18",NA,NA,"LT",NA,NA,NA,NA,NA,"2015-07-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born 2008, fate unknown, presumed dead","dead"
"177","Tweed","Twe","Fluffy","M","3",NA,"2012-04-20",NA,NA,"KB",NA,NA,"2014-05-10","NH","2014-05-24","2019-09-06","AK","2020-04-02","2020-10-01",NA,NA,NA,NA,NA,NA,NA,"Probably born Dec 2010.",NA
"178","Chernobyl","Che",NA,"M",NA,NA,"2012-04-28",NA,NA,NA,NA,NA,NA,"NH","2012-04-28","2014-05-26","BD","2014-06-09","2016-08-06",NA,NA,NA,NA,NA,NA,NA,"Seen once in NH on 2014/07/29, unclear if error or not, 2012/05/08 is first time recorded officially in NH in logbook; seen 3 times after official BD dept date but over 5 months so unclear if errors or not  ",NA
"179","Amur","Amur",NA,"F",NA,NA,"2012-05-09",NA,NA,"KB","Amazon",NA,NA,NA,NA,"2018-12-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born Dec 2011; Probably dead, body not found.","dead"
"180","Medjerda","Med",NA,"M",NA,NA,"2012-05-09",NA,NA,NA,NA,NA,NA,"KB",NA,"2013-06-19","KB","2014-02-20","2015-12-15",NA,NA,NA,NA,NA,NA,"No","left KB for unk group then later returned, briefly named ""Oo"" before recognised as Med, disappeared with 'Z' matriline and 'Pearl' (LAlm), presumably to form new split group",NA
"181","Pikito","Pik",NA,"M",NA,NA,"2012-05-09",NA,NA,"KB",NA,NA,"2014-01-28",NA,NA,"2014-01-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2009",NA
"182","Zambezi","Zam",NA,"M",NA,NA,"2012-05-09",NA,NA,"KB","Zeia","Nile","2015-06-22",NA,NA,"2015-06-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born Dec 2011; likely migrated to unk group","migrated"
"183","Gelosi","Gel",NA,"M",NA,NA,"2012-05-14",NA,NA,"AK","Gagasa",NA,"2012-06-01","LT","2012-06-04","2013-10-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2007",NA
"184","Heleza","Hele",NA,"F",NA,NA,"2012-05-14",NA,NA,"AK","Hamba","Sanbonani",NA,NA,NA,"2014-11-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prob born in 2008; disappeared with fresh wounds (broken tail), no body found, presumed dead","dead"
"185","Mpukuvane","Mpu",NA,"M",NA,NA,"2012-05-14",NA,NA,"AK","Mamoobi",NA,"2013-05-16",NA,NA,"2013-05-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2008",NA
"186","Danube","Dan",NA,"M","10",NA,"2012-05-25",NA,NA,NA,NA,NA,NA,"KB",NA,"2014-05-12","BD","2014-05-28","2014-08-30","IN","2014-09-08","2015-06-20","AK","2015-06-24","2015-10-13",NA,NA,NA
"187","Shakespeare","Sha","Ouagadougou","M",NA,NA,"2012-06-08",NA,NA,NA,NA,NA,NA,"LT","2012-06-08","2015-02-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Unclear if 1st seen is same as immigrated. Oua was originally called Shakespeare in tablet - an ID error - he is not Shakespeare from LT","migrated"
"188","Edward","Edw",NA,"M",NA,NA,"2012-06-12",NA,NA,NA,NA,NA,NA,"LT","2012-06-12","2014-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear if 1st seen is same as immigrated","migrated"
"189","Tugela","Tug",NA,"M",NA,NA,"2012-07-03",NA,NA,"KB","Tanganika","Danube","2015-07-23",NA,NA,"2015-07-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born Dec 2011; likely migrated to unk group","migrated"
"190","Darwin","Dar","Zazoo","M",NA,NA,"2012-07-31",NA,NA,"LT",NA,NA,"2016-09-02",NA,NA,"2016-09-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2010",NA
"191","Nessie","Ness",NA,"F",NA,NA,"2012-08-01",NA,NA,"KB",NA,NA,NA,NA,NA,"2020-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born Dec 2011, died Sep2020. posssibly by Caracal","dead"
"192","Uvac","Uva",NA,"M",NA,NA,"2012-08-01",NA,NA,NA,NA,NA,NA,"KB",NA,"2015-02-13","Intaka","2015-02-19","2016-06-15",NA,NA,NA,NA,NA,NA,NA,"May have remained with Intaka longer, but group not followed",NA
"193","Selenge","Sel",NA,"M",NA,NA,"2012-08-10",NA,NA,NA,NA,NA,NA,"KB",NA,"2013-04-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Double Spot","Dou",NA,"M",NA,NA,"2012-08-13",NA,NA,"KB",NA,NA,"2014-05-10",NA,NA,"2014-05-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born Dec 2009",NA
"195","Zeia","Zeia","Jucar","F",NA,NA,"2012-08-31",NA,NA,"KB",NA,NA,"2015-12-15","KBSplit",NA,"2015-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Had baby in 2015 but it died- carried for >/= 1day","dead"
"196","Hola","Hol",NA,"M",NA,"2012-09-11","2012-09-11",NA,NA,"AK","Hamba","Sanbonani","2018-02-15",NA,NA,"2018-03-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Lennon","Len",NA,"M",NA,"2012-09-19","2012-09-19",NA,NA,"LT","Lizz",NA,"2018-02-10",NA,NA,"2018-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Yoogali","Yoog",NA,"F","20","2012-09-22","2012-09-22",NA,NA,"NH","Yaounde",NA,"2016-04-19","Iceland",NA,"2016-06-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Split group",NA
"199","Valerie","Vale","Squishy","F",NA,"2012-09-24","2012-09-24",NA,NA,"LT","Victoria",NA,NA,NA,NA,"2015-05-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fate unknown",NA
"200","Baby Dag 2012","BDag12",NA,"M",NA,"2012-09-25","2012-09-25",NA,NA,"BD","Dagga",NA,"2012-11-29","InBetweeners",NA,"2012-11-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumably was in new split group with mother",NA
"201","Baby Cam 2012","BCam12",NA,NA,NA,"2012-09-29","2012-09-29",NA,NA,"LT","Camilla",NA,NA,NA,NA,"2013-05-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fate unknown",NA
"202","Geleza","Gele",NA,"F",NA,"2012-09-29","2012-09-29",NA,NA,"AK","Gagasa","Yster",NA,NA,NA,"2018-01-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gele was eaten by rock python 22nd-23rd Jan ",NA
"203","Bullebak","Bul",NA,"M",NA,"2012-10-01","2012-10-01",NA,NA,"BD","Beminde",NA,"2017-12-07",NA,NA,"2017-12-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded a few more times in BD months after official dept date, but maybe errors",NA
"204","Nurks","Nurk",NA,"F",NA,"2012-10-01","2012-10-01",NA,"BD","BD","Numbies","Pik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Siele","Siel",NA,"F",NA,"2012-10-01","2012-10-01",NA,NA,"BD","Snortjie","Pik",NA,NA,NA,"2022-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Baby Emm 2012","BEmm12",NA,"M",NA,"2012-10-08","2012-10-08",NA,NA,"LT","Emma",NA,"2013-05-22",NA,NA,"2013-05-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fate unknown",NA
"207","Delilah","Deli","Rainbow","F",NA,"2012-10-08","2012-10-08",NA,"LT","LT","Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Baby Tip 2012","BTip12",NA,NA,NA,"2012-10-09","2012-10-09",NA,NA,"BD","Tipies",NA,"2012-11-13","InBetweeners",NA,"2012-11-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumably was in new split group with mother",NA
"209","Ijinja","Iji",NA,"M",NA,"2012-10-09","2012-10-09",NA,NA,"AK","Isilonda","Sanbonani","2016-03-03","Ifamily",NA,"2016-06-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.06.2016 = last recorded date of IFamily",NA
"210","Garoua","Gar",NA,"M","20","2012-10-11","2012-10-11",NA,NA,"NH","Geneva",NA,"2016-06-23","5males","2016-07-14","2016-07-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen 14/07/2016 in gp of 5 sub males",NA
"211","Tirroan","Tir",NA,"M",NA,"2012-10-11","2012-10-11",NA,NA,"NH","Troia","Auckland","2017-12-30",NA,NA,"2017-12-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen again in NH 04/01/2018 being chased by NH mon",NA
"212","Heyi","Hey",NA,"M",NA,"2012-10-15","2012-10-15",NA,NA,"AK","Heleza","Yster","2017-04-24",NA,NA,"2017-04-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Jillin","Jill",NA,"F",NA,"2012-10-15","2012-10-15",NA,NA,"NH","Jakarta",NA,"2016-04-19","Iceland",NA,"2016-07-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Split group",NA
"214","Mungunya","Mun",NA,"M",NA,"2012-10-15","2012-10-15",NA,NA,"AK","Mamoobi","Arthur","2016-01-09",NA,NA,"2016-01-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"probably dead, body not found","dead"
"215","Baby Bog 2012","BBog12",NA,"F",NA,"2012-10-18","2012-10-18",NA,NA,"NH","Bogota",NA,NA,NA,NA,"2012-12-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baby not seen after grp encounter with BD",NA
"216","Wurm","Wur",NA,"M",NA,"2012-10-18","2012-10-18",NA,NA,"BD","Wietnie","Rusk","2018-05-31",NA,NA,"2018-05-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded a few more times in BD months after official dept date, but maybe errors",NA
"217","Baby Upp 2012","BUpp12",NA,"M",NA,"2012-10-19","2012-10-19",NA,NA,"NH","Uppsala",NA,"2012-11-03",NA,NA,"2012-11-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead, no body","dead"
"218","Onbeskof","Onb",NA,"M",NA,"2012-10-19","2012-10-19",NA,NA,"BD","Oulik","Pik","2016-03-11",NA,NA,"2016-03-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","dead"
"219","Hippie","Hipp",NA,"F",NA,"2012-10-22","2012-10-22",NA,NA,"BD","Hakie","Pik",NA,NA,NA,"2020-03-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assume that she died","dead"
"220","Nyoni","Nyo",NA,"M",NA,"2012-10-22","2012-10-22",NA,NA,"AK","Nkosikasi","Yster","2017-05-16","BD","2017-05-16","2018-11-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Unwabo","Unw",NA,"M",NA,"2012-10-22","2012-10-22",NA,NA,"AK","Ulaka","Yster","2017-05-03","BD","2017-05-04","2017-12-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Alsiende","Alsi",NA,"F",NA,"2012-10-23","2012-10-23",NA,NA,"BD","Asis",NA,NA,NA,NA,"2015-12-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","dead"
"223","Rheban","Rhe",NA,"M","1","2012-10-27","2012-10-27",NA,NA,"NH","Roma","Auckland","2017-12-05","BD","2017-12-05","2021-09-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Went back to NH a few times shortly after migration","migrated"
